date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2017-12-02 00:00:00.000,Player2,86.7,8.0,2.7,2017-12-02 20:46:23.520,game,True,2017-12-02 22:37:39.647,6.8935,57.6,26,744.9999999999999,95.7,26.4,18.9,39.9,65.7,185.129,352.50000000000006,25,14,0.0,0.0,167.37100000000007,79.5098,0,5.932,,,,0,192,56,12,2,,43071,0,137,58,21,4,6.8935,79.5098,2.8469,0.4109,0.0583,0.0093,0.0015,3.0757,0.406,0.0828,0.0216,0.0042,1.8763,1.3699,0.8007,0.3925,0.1542,0.0766,0.0514,0.0205,0.0112,2.1253,0.0386,2.451,3.8423,0.4387,0.1276,0.0576,5202,771.5716,1,0,648,9,0,10,,537.5367,Bancu,0,15,8,2,1,26,5.932,,,FC Viitorul,43071.94282,game,43071.86555,185.129, game,3219.7,209.1,28.1,3.8,0.5,2389,175.5,30.8,7.7,0.9,0,0,0,,0,,0,3916.8,504.4,223.9,94.3,35.4,16.9,10.1,4,2.3,1249.5,7.5,4362.1,1583.4,90.6,21.5,7.5,8.969,23.9616,,,
2017-12-02 00:00:00.000,Player2,40.63333333333333,0.0,0.6,2017-12-02 20:46:23.520,1st.half,True,2017-12-02 21:37:12.576,3.1835,1.4,8,256.69999999999993,0.0,8.5,8.3,17.5,64.7,37.316,111.69999999999999,11,6,0.0,0.0,74.38399999999999,78.3463,0,5.8292,,,,0,87,28,4,2,,43071,0,71,20,9,2,3.1835,78.3463,1.3165,0.1751,0.0226,0.0031,0.0015,1.4463,0.1804,0.0271,0.0102,0.0006,0.8542,0.6667,0.3784,0.145,0.0628,0.0222,0.0102,0.0049,0.0043,1.0275,0.0073,1.156,1.8314,0.1587,0.0359,0.0014,2438,353.7652,0,0,336,2,0,2,,252.9321,Bancu,0,5,3,0,0,8,5.8292,,,FC Viitorul,43071.90084,1st.half,43071.86555,37.316, game,1091.4,94.2,12.2,1.5,0.5,1144.6,79.9,10.3,3.3,0.2,0,0,0,,0,,0,1406.1,244.5,107.4,36.6,14.5,5.7,2.7,0.9,1.1,616.8,1.8,1638.6,760.4,32.9,6,0.2,6.8156,23.666,,,
2017-12-02 00:00:00.000,Player2,46.06666666666667,0.0,0.9,2017-12-02 21:51:34.847,2nd.half,True,2017-12-02 22:37:39.647,3.71,56.099999999999994,18,488.20000000000005,0.0,17.9,10.6,23.5,66.6,147.813,240.7,14,8,0.0,0.0,92.887,80.5361,0,6.0226,,,,0,105,28,8,0,,43071,0,66,38,12,2,3.71,80.5361,1.5201,0.2351,0.0357,0.0062,0,1.6173,0.225,0.0557,0.0114,0.0035,0.9996,0.7026,0.4222,0.2475,0.0914,0.0544,0.0412,0.0156,0.0069,1.0973,0.0312,1.272,2.0103,0.28,0.0917,0.0561,2764,417.8063,1,0,304,7,0,8,,284.6046,Bancu,0,10,5,2,1,18,6.0226,,,FC Viitorul,43071.94282,2nd.half,43071.91082,147.813, game,1299.8,113.9,15.9,2.3,0,1211.8,95.1,20.5,4.4,0.7,0,0,0,,0,,0,1649,259.5,116.5,57.7,20.9,11.2,7.4,3.1,1.2,632.2,5.7,1861.3,822.6,57.7,15.5,7.3,8.969,24.2223,,,
2017-12-02 00:00:00.000,Player6,43.15,6.0,1.6,2017-12-02 21:22:26.112,game,True,2017-12-02 22:20:55.679,3.8529,1.4,18,574.1999999999999,58.2,16.6,16.7,20.1,73.2,103.251,279.8,21,12,0.0,0.0,176.549,89.2918,0,6.9724,,,,0,134,43,9,3,,43071,0,93,48,16,5,3.8529,89.2918,1.5219,0.3055,0.0571,0.0053,0.0014,1.554,0.3349,0.0743,0.0186,0.0036,0.8755,0.8209,0.5401,0.2944,0.1335,0.0631,0.0378,0.0167,0.0105,1.0659,0.0182,1.1791,2.2494,0.3449,0.1018,0.0014,2589,449.4837,0,0,116,7,0,6,,240.1888,Burlacu,0,9,6,2,1,18,6.9724,,,FC Viitorul,43071.9312,game,43071.89058,103.251, game,2039.7,138.3,25.2,3.1,0.7,1134.5,133.1,26.8,6,1.3,0,0,0,,0,,0,2274,302.5,156.1,70.6,31.5,15.3,9,4.1,2.6,638.7,4.3,2512.3,908.1,71,17.1,0.2,6.6712,28.6702,,,
2017-12-02 00:00:00.000,Player6,13.75,0.0,0.4,2017-12-02 21:22:26.112,1st.half,True,2017-12-02 21:36:15.551,1.3607,0.7,4,278.90000000000003,0.0,7.1,7.7,7.8,83.4,77.482,148.1,12,6,0.0,0.0,70.618,98.9597,0,8.1784,,,,0,67,22,3,3,,43071,0,40,26,10,2,1.3607,98.9597,0.4748,0.1467,0.0287,0.0019,0.0014,0.5079,0.1524,0.0378,0.0079,0.0013,0.2213,0.2781,0.2159,0.1308,0.0692,0.0337,0.0215,0.0085,0.0061,0.3666,0.0091,0.3354,0.8146,0.1332,0.0768,0.0007,825,165.6976,0,0,41,3,0,2,,72.6931,Burlacu,0,0,1,2,1,4,8.1784,,,FC Viitorul,43071.90018,1st.half,43071.89058,77.482, game,343.6,66.9,13.1,1.6,0.7,322,59.9,13.7,2.6,0.5,0,0,0,,0,,0,361.1,102.2,65,31.4,16,7.9,4.9,2,1.5,230.4,2.2,451.9,332.4,27.3,12.9,0.1,6.6712,33.4829,,,
2017-12-02 00:00:00.000,Player6,29.4,0.0,0.5,2017-12-02 21:51:30.528,2nd.half,True,2017-12-02 22:20:55.679,2.4922,0.7,14,295.00000000000006,0.0,10.1,9.1,12.7,68.4,25.769,131.39999999999998,9,6,0.0,0.0,105.63099999999997,84.7703,0,6.4088,,,,0,67,21,6,0,,43071,0,53,22,6,3,2.4922,84.7703,1.0378,0.1581,0.0276,0.0035,0,1.0352,0.1812,0.0359,0.0107,0.0023,0.6344,0.542,0.3238,0.1636,0.0638,0.0295,0.0164,0.0082,0.0044,0.6971,0.0091,0.8224,1.4324,0.2117,0.0251,0.0007,1764,283.7861,0,0,75,4,0,4,,167.4957,Burlacu,0,9,5,0,0,14,6.4088,,,FC Viitorul,43071.9312,2nd.half,43071.91077,25.769, game,807.6,70.4,11.6,1.5,0,784,72.4,12.8,3.4,0.8,0,0,0,,0,,0,995.7,199.9,90.8,39.2,15.3,7.4,4.1,2.1,1.1,406.8,2.1,1141.9,574.6,43.7,4.2,0.1,6.5178,26.4211,,,
2017-12-02 00:00:00.000,Player16,96.88333333333334,8.0,2.8,2017-12-02 20:46:23.520,game,True,2017-12-02 22:37:39.647,7.4791,4.8999999999999995,16,369.0999999999999,101.0,19.0,12.6,46.9,65.6,82.125,173.0,10,12,0.0,0.0,90.875,77.1973,0,5.5548,,,,0,218,34,11,1,,43071,0,157,47,9,1,7.4791,77.1973,3.2255,0.3215,0.0339,0.006,0.0002,3.5454,0.3461,0.0517,0.0089,0,2.0127,1.5075,0.5166,0.1961,0.0838,0.0415,0.0229,0.0102,0.0056,3.1332,0.009,2.8068,4.4617,0.1885,0.0772,0.0049,5813,809.937,0,0,290,7,0,5,,599.241,Kelic,0,13,0,3,0,16,5.5548,,,FC Viitorul,43071.94282,game,43071.86555,82.125, game,3504.4,184,16.2,3,0.2,2776,167.8,21.2,3.1,0,0,0,0,,0,,0,4055.8,565.6,152.7,50.7,19.6,9.3,5.1,2.3,1.4,1811.2,2.2,4661.6,1961.9,38.9,12.8,0.7,7.0223,23.1022,,,
2017-12-02 00:00:00.000,Player16,50.81666666666667,0.0,0.8,2017-12-02 20:46:23.520,1st.half,True,2017-12-02 21:37:12.576,3.9316,4.8999999999999995,10,218.70000000000002,0.0,11.7,6.3,24.9,65.7,58.971,110.4,3,6,0.0,0.0,51.42900000000001,77.3692,0,5.5509,,,,0,105,12,5,1,,43071,0,78,20,2,1,3.9316,77.3692,1.6906,0.1548,0.0188,0.0039,0.0002,1.8593,0.1778,0.0208,0.0054,0,1.0169,0.7275,0.248,0.1083,0.0521,0.0289,0.0157,0.0045,0.0032,1.7205,0.006,1.4598,2.2982,0.1147,0.0541,0.0049,3049,424.2874,0,0,148,4,0,4,,329.7196,Kelic,0,8,0,2,0,10,5.5509,,,FC Viitorul,43071.90084,1st.half,43071.86555,58.971, game,1431.6,87.3,8.5,1.8,0.2,1426.4,83.3,8.3,1.5,0,0,0,0,,0,,0,1654.5,272.6,73.8,26.7,11.6,6.1,3.3,1,0.8,997,1.5,1990,1025.9,23.4,8.9,0.7,7.0223,22.6278,,,
2017-12-02 00:00:00.000,Player16,46.06666666666667,0.0,0.3,2017-12-02 21:51:34.847,2nd.half,True,2017-12-02 22:37:39.647,3.5475,0.0,6,150.50000000000003,0.0,7.3,6.5,0.0,65.6,23.154,62.69999999999999,7,6,0.0,0.0,39.54599999999999,77.0077,0,5.5591,,,,0,113,22,6,0,,43071,0,79,27,7,0,3.5475,77.0077,1.5108,0.1613,0.015,0.0021,0,1.6556,0.1682,0.0308,0.0036,0,0.9594,0.7785,0.2633,0.0878,0.0317,0.0127,0.0072,0.0057,0.0024,1.3959,0.003,1.3055,2.145,0.0738,0.0232,0,2764,385.6497,0,0,131,1,0,1,,269.5214,Kelic,0,5,0,1,0,6,5.5591,,,FC Viitorul,43071.94282,2nd.half,43071.91082,23.154, game,1260.4,93.9,7.7,1.2,0,1302.2,84.5,12.9,1.6,0,0,0,0,,0,,0,1551.4,292.5,76.6,24,8,3.2,1.8,1.3,0.6,804.3,0.7,1818.2,926.8,15.5,3.9,0,6.4401,23.6254,,,
2017-12-02 00:00:00.000,Player18,96.1,8.0,4.4,2017-12-02 20:46:34.752,game,True,2017-12-02 22:37:39.647,9.3751,161.6,65,2057.7999999999997,100.6,76.5,103.0,67.3,85.9,664.461,1329.0,119,101,0.0,0.0,664.539,97.5557,0,8.2146,,,,0,332,203,75,26,,43071,0,304,225,83,36,9.3751,97.5557,3.2446,1.0106,0.2833,0.0653,0.0195,3.2223,1.0831,0.3858,0.114,0.039,1.819,2.0453,1.3612,0.7288,0.4787,0.271,0.1731,0.1094,0.0827,2.1841,0.2141,2.5629,5.3826,0.8576,0.5029,0.1616,5766,1188.5693,0,0,301,10,0,10,,535.0007,Martic,0,28,29,7,2,65,8.2146,,,FC Viitorul,43071.94282,game,43071.86568,664.461, game,3186.5,449.6,113.9,26.8,7.9,2271.3,439.4,125.9,34,9.7,0,0,0,,0,,0,3740.5,748.8,385.4,181.9,110.9,61.4,37.6,23.6,17.4,1310.4,47.1,4333,2051.4,177,82,21.6,8.8223,32.3206,,,
