date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2017-09-09 00:00:00.000,Player1,15.7,0.0,0.3,2017-09-09 17:13:58.656,Warm-up,True,2017-09-09 17:29:40.416,0.8704,0.0,2,85.8,0.0,2.2,7.8,0.0,45.3,12.166,38.10000000000001,5,9,0.0,0.0,25.934000000000008,55.442,0,4.3064,,,,0,20,15,5,4,,42987,0,21,19,2,3,0.8704,55.442,0.3216,0.0611,0.0124,0.0051,0.0018,0.3672,0.0741,0.0222,0.0029,0.002,0.2996,0.1603,0.0892,0.0477,0.0126,0.0134,0.0053,0.0025,0.0006,0.2355,0.0037,0.3899,0.4278,0.0405,0.0122,0,942,101.768,0,0,72,0,0,0,,70.2015,Baluta,0,0,2,0,0,2,4.3064,,,GD-1,42987.72894,Warm-up,42987.71804,12.166, training,424.4,36.6,7.2,3.2,0.9,423.5,34.9,9.3,1,0.7,0,0,0,,0,,0,688.3,60.3,26.4,12.7,3.7,3.7,1.7,0.8,0.2,142.5,1.4,759.7,171.6,8.3,2.1,0,5.8112,14.9942,,,
2017-09-09 00:00:00.000,Player1,22.733333333333334,0.0,0.7,2017-09-09 17:32:35.807,10v11,True,2017-09-09 17:55:20.064,1.9293,33.4,14,448.7,0.0,13.9,13.8,13.8,70.8,139.986,273.3,16,6,0.0,0.0,133.31400000000002,84.8657,0,6.8797,,,,0,50,30,4,2,,42987,0,36,32,9,7,1.9293,84.8657,0.7271,0.1916,0.0476,0.0049,0.0016,0.7066,0.1545,0.0625,0.0184,0.0144,0.4074,0.3841,0.3313,0.1754,0.1078,0.0569,0.0287,0.0254,0.0172,0.3576,0.0373,0.5516,1.0386,0.1991,0.1066,0.0334,1364,235.5053,0,0,94,0,0,0,,108.9929,Baluta,0,7,3,2,2,14,6.8797,,,GD-1,42987.74676,10v11,42987.73097,139.986, training,638.5,72.1,15.2,2.1,0.5,552.9,54.7,20,4.7,3.4,0,0,0,,0,,0,820.5,133.1,93.3,43.1,22.9,11.5,6.1,5,3.8,217,7.8,929.2,372.1,40.7,17.6,4.5,7.9912,26.7502,,,
2017-09-09 00:00:00.000,Player1,41.55,3.0,1.1,2017-09-09 17:13:54.335,Session,True,2017-09-09 17:55:27.840,2.8586,33.4,16,534.5999999999999,28.9,16.1,20.0,17.5,56.9,152.152,311.49999999999994,21,15,0.0,0.0,159.34799999999996,68.7981,0,5.4814,,,,0,70,45,9,6,,42987,0,57,51,11,10,2.8586,68.7981,1.077,0.2529,0.0601,0.0099,0.0034,1.104,0.2288,0.0846,0.0214,0.0164,0.7651,0.5444,0.4205,0.2231,0.1204,0.0703,0.034,0.028,0.0178,0.5939,0.041,1.0004,1.4664,0.2396,0.1188,0.0334,2493,343.0097,0,0,166,0,0,0,,188.0185,Baluta,0,7,5,2,2,16,5.4814,,,GD-1,42987.74685,Session,42987.71799,152.152, training,1159,108.9,22.4,5.3,1.4,1067.4,90,29.3,5.7,4.1,0,0,0,,0,,0,1695.8,193.4,119.7,55.8,26.6,15.2,7.8,5.8,4,360.2,9.2,1876.6,543.7,49,19.7,4.5,7.9912,20.2968,,,
2017-09-09 00:00:00.000,Player2,15.7,0.0,0.2,2017-09-09 17:13:58.656,Warm-up,True,2017-09-09 17:29:40.416,0.8483,0.0,2,75.1,0.0,2.3,5.8,0.0,44.9,7.381,31.599999999999998,3,7,0.0,0.0,24.218999999999998,54.0331,0,4.0739,,,,0,33,9,6,1,,42987,0,23,13,2,1,0.8483,54.0331,0.3273,0.0588,0.011,0.0039,0,0.3604,0.0735,0.0099,0.0021,0.0013,0.2752,0.1701,0.0576,0.0435,0.0161,0.0102,0.0049,0.0004,0,0.2703,0,0.3756,0.4269,0.0384,0.0074,0,942,96.2751,0,0,81,1,0,1,,63.7867,Bancu,0,0,2,0,0,2,4.0739,,,GD-1,42987.72894,Warm-up,42987.71804,7.381, ,457.8,34.2,7.6,2.6,0,399.5,34.2,4.3,1,0.5,0,0,0,,0,,0,674,65.6,17.9,11.1,4.5,3.2,1.5,0.2,0,163.7,0,752,180.6,7.8,1.3,0,5.8045,14.2614,,,
2017-09-09 00:00:00.000,Player2,22.733333333333334,0.0,0.9,2017-09-09 17:32:35.807,10v11,True,2017-09-09 17:55:20.064,1.8124,48.599999999999994,17,443.4,0.0,18.1,21.0,16.1,70.5,188.338,306.79999999999995,29,20,0.0,0.0,118.46199999999996,79.7257,0,6.7701,,,,0,52,40,16,4,,42987,0,46,32,15,14,1.8124,79.7257,0.5945,0.1959,0.0639,0.0138,0.0023,0.6515,0.1864,0.0619,0.0276,0.0147,0.3551,0.3993,0.2684,0.1366,0.0993,0.0707,0.041,0.0261,0.0166,0.3463,0.0531,0.4599,1.0116,0.1526,0.1397,0.0486,1364,231.7413,0,0,147,1,0,1,,106.4634,Bancu,0,9,6,1,1,17,6.7701,,,GD-1,42987.74676,10v11,42987.73097,188.338, ,699.5,81.6,25.8,5.8,1.2,447.2,70.3,20,8.4,4.2,0,0,0,,0,,0,840.2,144.7,77.6,34.2,20.6,14.2,9.9,5.3,3.4,202.6,11.3,925.2,378,31.3,22.8,6.7,7.7334,26.7229,,,
2017-09-09 00:00:00.000,Player2,41.55,2.0,1.1,2017-09-09 17:13:54.335,Session,True,2017-09-09 17:55:27.840,2.7158,48.599999999999994,19,518.5,19.3,20.4,26.5,19.7,56.5,195.718,338.4,32,27,0.0,0.0,142.682,65.3613,0,5.3271,,,,0,85,49,22,5,,42987,0,70,45,17,15,2.7158,65.3613,0.9484,0.2548,0.075,0.0177,0.0023,1.04,0.26,0.0718,0.0297,0.016,0.6824,0.5694,0.326,0.1801,0.1154,0.0809,0.0459,0.0265,0.0166,0.6195,0.0531,0.8903,1.4388,0.191,0.1471,0.0486,2493,333.3397,0,0,228,2,0,2,,174.4048,Bancu,0,9,8,1,1,19,5.3271,,,GD-1,42987.74685,Session,42987.71799,195.718, ,1281,116.3,33.4,8.4,1.2,910.1,104.7,24.3,9.4,4.7,0,0,0,,0,,0,1699.7,210.3,95.5,45.3,25.1,17.4,11.4,5.5,3.4,368.6,11.3,1864.8,558.8,39.1,24.1,6.7,7.7334,20.004,,,
2017-09-09 00:00:00.000,Player3,41.55,2.0,1.0,2017-09-09 17:13:54.335,Session,True,2017-09-09 17:55:27.840,2.7658,48.9,18,541.1999999999999,19.3,17.5,26.7,18.3,56.2,179.412,357.20000000000005,28,33,0.0,0.0,177.78800000000004,66.566,0,5.5126,,,,0,70,61,19,14,,42987,0,75,48,15,13,2.7658,66.566,0.9793,0.261,0.0757,0.0228,0.0071,1.0157,0.2818,0.079,0.0293,0.014,0.7029,0.5094,0.3009,0.184,0.1226,0.0749,0.0384,0.0242,0.0296,0.7114,0.0675,0.9445,1.428,0.2139,0.1305,0.0489,2493,344.9571,0,0,158,3,0,3,,194.1526,Barbut,0,9,7,2,0,18,5.5126,,,GD-1,42987.74685,Session,42987.71799,179.412, training,1179.8,111.2,28.9,9.8,3.6,1007.3,114.9,26,8,4,0,0,0,,0,,0,1667.2,189.9,88.7,46.1,28.7,16.1,8,6.2,6.3,420.7,15.6,1853.2,568.5,43.6,21.8,6.4,8.4067,20.1805,,,
2017-09-09 00:00:00.000,Player3,22.733333333333334,0.0,0.8,2017-09-09 17:32:35.807,10v11,True,2017-09-09 17:55:20.064,1.7698,48.9,15,417.19999999999993,0.0,14.2,19.4,14.1,66.8,149.551,294.7,23,22,0.0,0.0,145.149,77.8488,0,6.6536,,,,0,41,47,15,7,,42987,0,53,31,14,9,1.7698,77.8488,0.5925,0.1931,0.0616,0.0159,0.0041,0.6056,0.1932,0.0656,0.0272,0.0108,0.3551,0.3288,0.2196,0.1225,0.0918,0.064,0.0314,0.0218,0.0258,0.4489,0.0599,0.5133,0.9419,0.165,0.1006,0.0489,1364,227.7675,0,0,95,2,0,2,,112.8869,Barbut,0,9,4,2,0,15,6.6536,,,GD-1,42987.74676,10v11,42987.73097,149.551, training,651.3,74.6,22.4,6.1,1.8,504.5,72.5,20.7,7.3,2.9,0,0,0,,0,,0,816.7,120.4,64.2,30.6,21.6,13.2,6.1,5.3,5.3,267.7,13,937.7,369.6,33.8,16.6,6.4,8.4067,24.6756,,,
2017-09-09 00:00:00.000,Player3,15.7,0.0,0.3,2017-09-09 17:13:58.656,Warm-up,True,2017-09-09 17:29:40.416,0.9319,0.0,3,123.8,0.0,3.4,7.7,0.0,48.9,29.861,62.300000000000004,5,11,0.0,0.0,32.43900000000001,59.3574,0,4.6934,,,,0,29,14,4,7,,42987,0,22,17,1,4,0.9319,59.3574,0.3567,0.0678,0.0141,0.0068,0.003,0.3767,0.0881,0.0134,0.0021,0.0032,0.2867,0.1806,0.0813,0.0615,0.0307,0.0109,0.007,0.0024,0.0037,0.2596,0.0076,0.3671,0.4861,0.0489,0.0299,0,942,110.9195,0,0,63,1,0,1,,73.1721,Barbut,0,0,3,0,0,3,4.6934,,,GD-1,42987.72894,Warm-up,42987.71804,29.861, training,435.6,36,6.5,3.7,1.8,409.1,41.8,5.3,0.7,1.1,0,0,0,,0,,0,665.1,69.5,24.5,15.5,7.1,2.9,1.9,0.9,1,150.6,2.6,727.7,198.9,9.8,5.2,0,6.0356,17.6933,,,
2017-09-09 00:00:00.000,Player5,15.7,0.0,0.3,2017-09-09 17:13:58.656,Warm-up,True,2017-09-09 17:29:40.416,0.8372,0.0,2,102.1,0.0,3.1,7.7,0.0,45.3,24.936,53.900000000000006,6,9,0.0,0.0,28.964000000000006,53.3257,0,4.2037,,,,0,23,11,3,6,,42987,0,11,15,3,3,0.8372,53.3257,0.2949,0.0669,0.0124,0.0044,0.0031,0.3513,0.0783,0.0197,0.0037,0.0024,0.2356,0.1534,0.0733,0.0482,0.0226,0.0117,0.0073,0.0042,0.002,0.2728,0.0061,0.336,0.4428,0.0335,0.0249,0,942,99.3412,0,0,74,0,0,0,,54.9273,Briceag,0,0,2,0,0,2,4.2037,,,GD-1,42987.72894,Warm-up,42987.71804,24.936, ,497.6,38.7,6.8,2.7,2,343,40.7,8,1.4,0.8,0,0,0,,0,,0,666.1,58.5,22.2,11.9,5.8,3.1,2,1.1,0.7,168.1,2.2,743.5,187.1,6.8,4.3,0,6.0445,13.911,,,
