playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-12-16,5,5,5,5,5
Player24,2017-12-16,5,5,5,5,5
Player8,2017-12-16,4,4,5,4,5
Player21,2017-12-16,4,4,4,4,4
Player3,2017-12-16,4,4,4,4,4
Player22,2017-12-16,5,5,5,4,5
Player17,2017-12-16,5,5,5,5,5
Player14,2017-12-16,5,5,5,5,5
Player1,2017-12-16,4,4,4,4,4
Player19,2017-12-16,5,5,5,4,5
Player32,2017-12-16,5,5,4,5,5
Player2,2017-12-16,5,5,5,5,5
Player5,2017-12-16,5,5,5,5,5
Player10,2017-12-16,5,5,5,5,5
Player30,2017-12-16,4,5,5,4,5
Player16,2017-12-16,5,5,5,5,5
Player25,2017-12-16,5,5,5,4,5
Player23,2017-12-16,5,5,5,5,5
Player26,2017-12-16,5,5,5,5,5
