playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player9,2017-12-11,4,5,5,5,5
Player24,2017-12-11,4,4,4,4,5
Player8,2017-12-11,4,4,5,3,5
Player21,2017-12-11,2,2,3,2,3
Player3,2017-12-11,3,3,3,3,3
Player22,2017-12-11,5,5,5,4,5
Player17,2017-12-11,5,5,5,4,5
Player14,2017-12-11,3,5,4,4,4
Player1,2017-12-11,2,4,3,4,3
Player19,2017-12-11,2,5,4,3,5
Player32,2017-12-11,5,5,5,4,5
Player2,2017-12-11,3,4,3,4,4
Player5,2017-12-11,3,4,3,3,4
Player10,2017-12-11,3,4,4,4,4
Player30,2017-12-11,5,5,5,4,5
Player16,2017-12-11,4,4,4,3,4
Player25,2017-12-11,4,4,4,4,4
Player29,2017-12-11,3,4,3,3,4
Player26,2017-12-11,4,4,4,4,4
