;Go_score;Player_Load;cardioWorkload;date;exercises;giorni_dopo_game;giorni_prima_game;intensity;kinematicWorkload;mechanicalWorkload;metabolicWorkload;perceivedWorkload;playerName;rpe;workload;giorno;mese;Go_score+1
5;;193.5923;0.0;2017-06-17;['Session', 'Warm-up', '11vs1'];-2.0;-2.0;29.797157183421497;19.20307681413259;31.12115484146863;15.570077665783124;11.682068186763052;Player1;1.0;1.0356708192745303;17;6;
6;;133.8555;0.0;2017-06-18;['Session', 'Intermittent-run'];-2.0;-2.0;38.570187818891355;0.0;45.16735183736146;11.61781286231207;9.678427047479287;Player1;1.0;1.3749955144827086;18;6;
7;;635.2108000000001;0.0;2017-06-19;['Second-half-game', 'First-aerobic work', 'First-half game', '11vs1', 'Session', 'Warm-up', 'Second-aerobic wor', 'Aerobic-work plus ', 'Session', 'Warm-up plus mov. ', '1vs1-2vs2 4vs4 4vs'];-4.0;-4.0;99.64796857644625;128.82404181477227;231.1395281510797;110.68342968214372;143.6671216354367;Player1;11.0;8.036559243431673;19;6;
8;;419.9335;0.0;2017-06-20;['Game-11vs11', 'Session', 'First-half', 'Second-half', 'Functional-trainin', 'Warm-up pre match'];-2.0;-2.0;48.788045621439764;47.00676338654788;110.679257507689;40.272964047673284;104.434868724749;Player1;7.0;4.107012850393288;20;6;
9;;85.279;0.0;2017-06-21;['Session'];-2.0;-2.0;18.654375201816297;0.0;1.4815082404990756;0.0;4.89925748689559;Player1;0.5;0.18096128933272287;21;6;
10;;601.1195;0.0;2017-06-22;['Session', 'Set-pieces', 'Hand-ball', 'Warm-up', 'Preparation-to the', 'Aerobic-circuit', 'Build-up', 'Game-position 4vs3', 'Warm-up', 'Session', 'Boxes'];-4.0;-4.0;85.90587804309783;61.84578165438663;222.51510954253905;79.84153278402123;55.55202831025408;Player1;4.0;6.295795758314101;22;6;
11;;88.9135;0.0;2017-06-23;['Session'];-2.0;-2.0;14.571045635415091;0.0;3.8481552509448367;0.0;61.084783389751436;Player1;6.0;2.1639544417016463;23;6;
13;;645.2614;0.0;2017-06-25;['First-intermittent', 'Second-game 9vs9', 'Possession-game 6v', 'First-game 9vs9', 'Warm-up', 'Third-intermittent', 'Second-intermitten', 'Session', 'Session', 'Warm-up', 'Offensive-combinat', '4vs6-last 20 m'];-4.0;-4.0;100.95733563116683;71.63186092100831;271.1654235589886;94.12304769116258;71.59620161699964;Player1;6.0;7.635590528028313;25;6;
14;;327.1953;0.0;2017-06-26;['Boxes-5vs2', 'Warm-up', '6vs8', 'Third-game', 'Tournament-6vs6', 'Second-game', 'Session', 'Fourth-game', 'Fiveth-game', 'sixth-game', 'First-game', '4vs6'];-2.0;-2.0;50.209906160759665;35.92742265294905;88.18631642240389;30.927066801122237;60.968210046645915;Player1;5.0;2.9305729175206716;26;6;
15;;291.4747;0.0;2017-06-27;['Agility', 'Preparation-to the', 'Session', '11vs1', 'Warm-up', 'Hand-ball', 'Set-pieces offensi'];-2.0;-2.0;48.021123800841636;34.95542647217884;95.58846037355484;35.794347279775685;0.0;Player1;0.0;3.114518541393912;27;6;
16;;485.5267;0.0;2017-06-28;['Boxes', 'Session', 'Set-pieces', '2nd.half', 'game', '1st.half'];-4.0;-4.0;114.2175087255824;73.63862954528561;154.45458365379034;67.39814678128346;70.4031759450349;Player1;6.5;4.932773691455231;28;6;
18;;271.3202;0.0;2017-06-30;['Session', 'Preparation-to the', 'Set-pieces', 'Hand-ball', 'Agility', 'Warm-up'];-2.0;-2.0;52.89891813018927;32.79202210870884;79.89753658245013;33.615946971023476;22.214867684962424;Player1;2.0;2.3825492260052386;30;6;
21;;247.0496;0.0;2017-07-03;['Warm-up', 'Session', 'Passing-drill squa', 'Defensive-on count'];-2.0;-2.0;46.9053301670834;25.88797191570575;57.484684316769574;24.45275010024789;32.663662071858965;Player1;3.0;1.8774197433440385;3;7;
22;;203.898;0.0;2017-07-04;['Warm-up', 'Agility', 'Session', 'Set-pieces', 'Preparation-to the'];-2.0;-2.0;57.322452503799106;23.220615750135735;66.70789917851438;24.191463832680913;30.37984120363653;Player1;3.0;2.0151461613479142;4;7;
23;;358.2167;0.0;2017-07-05;['2nd.half', '1st.half', 'game'];-2.0;-2.0;90.75790661149034;64.95768126805473;139.67189513502908;61.46839739012928;76.04444730809416;Player1;7.0;4.561308782194338;5;7;
25;;231.9323;0.0;2017-07-07;['Offensive-combinat', 'Session', 'Intermittent-run', 'Warm-up'];-2.0;-2.0;52.95100664421259;0.0;83.95298984463473;37.433355631629134;32.63923171352277;Player1;3.0;2.8158302601166607;7;7;
28;;297.1591;0.0;2017-07-10;['Game-11vs11', '10vs10-conquer lin', 'Passing-drill squa', 'Session'];-2.0;-2.0;66.43643636158568;31.514936603350144;83.67669739429262;31.134203625737968;42.965488953312644;Player1;4.0;2.599321160458936;10;7;4.4
29;4.4;281.6455;0.0;2017-07-11;['Defensive-line', 'Session', 'Game-11vs11', 'Warm-up'];-2.0;-2.0;58.338322683768986;35.311321621562705;97.11005951265705;41.25546399782324;56.14375375172156;Player1;5.0;3.1156246853784064;11;7;4.4
