,splitName,playerName,workload,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,cardioWorkload
0,Run-2,Player2,,0.0,0.0,0.0,0.0,0
1,Run-3,Player2,,0.0,0.0,0.0,0.0,0
2,Passing-drill 3,Player2,,0.0,0.0,0.0,0.0,0
3,Session,Player2,2.3,77.2,3.7,25.3,0.0,0
4,Passing-drill 2,Player2,0.5,0.0,2.5,14.3,0.0,0
5,Run-and passing dr,Player2,0.9,0.0,3.7,25.3,0.0,0
6,Run-1,Player2,,0.0,0.0,0.0,0.0,0
7,Passing-drill 1,Player2,,0.0,0.0,0.0,0.0,0
8,Passing-drill 1,Player5,0.5,0.0,0.0,10.5,0.0,0
9,Run-2,Player5,,0.0,0.0,0.0,0.0,0
10,Passing-drill 2,Player5,0.3,0.0,0.0,6.4,0.0,0
11,Run-3,Player5,,0.0,0.0,0.0,0.0,0
12,Run-and passing dr,Player5,0.8,0.0,0.0,17.0,0.0,0
13,Passing-drill 3,Player5,,0.0,0.0,0.0,0.0,0
14,Session,Player5,2.0,55.1,0.0,17.0,0.0,0
15,Run-1,Player5,,0.0,0.0,0.0,0.0,0
16,Session,Player6,2.5,66.1,0.0,25.8,0.0,0
17,Run-2,Player6,,0.0,0.0,0.0,0.0,0
18,Passing-drill 1,Player6,,0.0,0.0,0.0,0.0,0
19,Passing-drill 3,Player6,0.1,0.0,0.0,1.3,0.0,0
20,Run-3,Player6,,0.0,0.0,0.0,0.0,0
21,Run-and passing dr,Player6,1.3,0.0,0.0,25.8,0.0,0
22,Run-1,Player6,,0.0,0.0,0.0,0.0,0
23,Passing-drill 2,Player6,,0.0,0.0,0.0,0.0,0
24,Run-1,Player7,,0.0,0.0,0.0,0.0,0
25,Run-and passing dr,Player7,1.4,0.0,6.5,38.2,0.0,0
26,Run-3,Player7,,0.0,0.0,0.0,0.0,0
27,Session,Player7,2.4,71.6,6.5,38.2,0.0,0
28,Passing-drill 1,Player7,0.5,0.0,3.4,15.0,0.0,0
29,Run-2,Player7,,0.0,0.0,0.0,0.0,0
30,Passing-drill 3,Player7,0.4,0.0,0.0,8.9,0.0,0
31,Passing-drill 2,Player7,0.7,0.0,0.0,14.0,0.0,0
32,Run-1,Player10,,0.0,0.0,0.0,0.0,0
33,Run-2,Player10,,0.0,0.0,0.0,0.0,0
34,Run-3,Player10,,0.0,0.0,0.0,0.0,0
35,Passing-drill 1,Player10,0.5,0.0,0.0,9.7,0.0,0
36,Passing-drill 2,Player10,0.1,0.0,1.9,0.0,0.0,0
37,Session,Player10,1.7,55.1,4.5,18.7,0.0,0
38,Run-and passing dr,Player10,0.7,0.0,4.5,18.7,0.0,0
39,Passing-drill 3,Player10,,0.0,0.0,0.0,0.0,0
40,Passing-drill 1,Player14,0.3,0.0,0.0,5.2,0.0,0
41,Run-1,Player14,,0.0,0.0,0.0,0.0,0
