date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,rpeTl
2017-09-18 00:00:00.000,Player1,25.883333333333333,0,1.2485279104616969,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,1.5173,0.0,9,377.0999999999999,0.0,10.472648510038653,33.72508247205136,0.0,44.70421609540652,93.859,121.39999999999999,11,3,0,0,283.24099999999993,58.6197,0,4.4146,0,31,17,2,1,42996,0,33,10,9,2,1.5173,58.6197,0.6156,0.0955,0.019,0.0011,0.0002,0.6527,0.0966,0.0251,0.0107,0.0007,0.3385,0.2293,0.1941,0.2557,0.0796,0.0208,0.0083,0.0061,0.0029,0.3782,0.0037,0.4755,0.7052,0.2427,0.0939,0,1553,172.0715,0,0,53,0,0,0,98.2747,Baluta,0,4,2,0,3,9,4.4146,GD-1,42996.75432,10v11,42996.73634,93.859, training,883.8,45.2,8.7,0.6,0.2,562.6,38.6,9.1,4.1,0.3,0,0,0,0,0,1103.9,82.1,53.9,54,17.9,4.8,2,1.5,0.7,231.7,0.7,1207.6,281,48.1,16.5,0,6.1089,16.5336,False,
2017-09-18 00:00:00.000,Player1,62.9,3,2.7,2017-09-18 17:24:15.552,Session,2017-09-18 18:27:09.503,4.0611,2.1,22,1299.1000000000001,31.8,33.7,89.5,33.1,49.0,526.293,468.29999999999995,14,8,0,0,772.8070000000001,64.5651,0,4.8099,0,57,41,6,2,42996,0,64,28,11,3,4.0611,64.5651,1.6951,0.2245,0.0433,0.0032,0.0004,1.8064,0.2227,0.0503,0.0134,0.0018,0.8862,0.453,0.3935,0.8308,0.3321,0.0843,0.0213,0.0163,0.0067,1.0294,0.0076,1.3849,1.4529,0.697,0.5242,0.0021,3774,455.5374,0,0,156,0,0,0,240.7946,Baluta,0,6,4,0,12,22,4.8099,GD-1,42996.76886,Session,42996.72518,526.293, training,2094.7,102.6,21.1,1.8,0.3,1437.9,91.1,19,4.9,0.6,0,0,0,0,0,2578.4,163,107.6,166.1,66.9,18.1,4.9,4,1.7,661.8,1.5,2949.1,596.4,137.1,91.1,0.3,7.0045,15.8956,False,188.7
2017-09-18 00:00:00.000,Player1,14.966666666666667,0,0.46763823243725183,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,1.0358,0.0,4,154.00000000000003,0.0,5.034695915640087,12.231118108605884,0.0,53.029729873102845,54.542,83.5,3,5,0,0,99.45800000000003,69.2046,0,5.2736,0,20,17,4,1,42996,0,17,15,2,1,1.0358,69.2046,0.4048,0.0758,0.0173,0.0022,0.0001,0.4363,0.075,0.0205,0.0027,0.0011,0.3375,0.1874,0.1061,0.0705,0.0466,0.0199,0.0076,0.0055,0.0025,0.2508,0.0014,0.4634,0.4558,0.0621,0.0545,0,898,118.8149,0,0,72,0,0,0,65.6484,Baluta,0,2,2,0,0,4,5.2736,GD-1,42996.73568,Warm-up,42996.72529,54.542, training,405.1,39.3,9.1,1.2,0.1,398.2,35.1,8.6,0.8,0.3,0,0,0,0,0,600.1,67.9,31.1,17,10.6,4.7,1.7,1.5,0.7,162.1,0.4,696.8,179,12.8,9.2,0,6.2801,16.7966,False,
2017-09-18 00:00:00.000,Player2,25.883333333333333,0,1.6948033344420186,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,2.2421,26.200000000000003,21,535.5999999999999,0.0,18.620721615487447,53.38576411054417,15.813251650903219,68.66569477780473,127.715,294.40000000000003,27,22,0,0,407.8849999999999,86.6216,0,7.1452,0,51,43,16,6,42996,0,47,40,17,10,2.2421,86.6216,0.7815,0.2055,0.0685,0.0135,0.0029,0.8324,0.2459,0.0613,0.0199,0.0107,0.3943,0.5022,0.372,0.2412,0.1192,0.0666,0.0413,0.0252,0.0139,0.438,0.0282,0.5615,1.2637,0.2891,0.1015,0.0262,1553,278.5024,0,0,153,1,0,1,122.6439,Bancu,0,12,7,2,0,21,7.1452,GD-1,42996.75432,10v11,42996.73634,127.715, training,736,85.3,31.1,6.9,1.5,566.9,94.8,21.7,6,3,0,0,0,0,0,881.4,179,102.4,56.2,29.5,15.4,9.7,5.9,3.4,263.2,7.1,1013,460.1,59.4,17.2,3.5,7.6401,29.3845,False,
2017-09-18 00:00:00.000,Player2,41.25,2,1.7,2017-09-18 17:24:20.736,Session,2017-09-18 18:05:35.231,3.1688,26.200000000000003,24,634.0999999999999,19.3,21.8,59.5,18.5,60.2,142.205,335.5,29,22,0,0,491.89499999999987,76.8206,0,6.1693,0,78,59,16,6,42996,0,68,53,19,10,3.1688,76.8206,1.1373,0.2795,0.0804,0.0136,0.0029,1.222,0.3236,0.0764,0.0224,0.0107,0.6977,0.6604,0.4519,0.2986,0.1448,0.074,0.0457,0.0277,0.0143,0.7249,0.029,0.9765,1.7119,0.3382,0.116,0.0262,2475,383.1442,0,0,222,1,0,1,183.9877,Bancu,0,13,9,2,0,24,6.1693,GD-1,42996.75388,Session,42996.72524,142.205, training,1137.6,128.8,36.9,7,1.5,994.4,130.9,27.9,6.8,3,0,0,0,0,0,1516.9,239.2,126.7,69.8,36,17.5,10.9,6.5,3.5,440.5,7.3,1735.6,646.7,69.2,19.8,3.5,7.6401,24.0949,False,82.5
2017-09-18 00:00:00.000,Player2,14.966666666666667,0,0.15027561838662146,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,0.9254,0.0,3,98.60000000000001,0.0,3.0055123677324294,0.0,0.0,47.083427285298704,14.489,41.2,2,0,0,0,84.111,61.8321,0,4.6392,0,27,16,0,0,42996,0,21,13,2,0,0.9254,61.8321,0.3549,0.074,0.0119,0.0001,0,0.3888,0.078,0.0152,0.0025,0,0.3019,0.1582,0.0798,0.0574,0.0256,0.0073,0.0044,0.0025,0.0005,0.2869,0.0009,0.4136,0.4482,0.0491,0.0145,0,898,104.5338,0,0,69,0,0,0,60.8735,Bancu,0,1,2,0,0,3,4.6392,GD-1,42996.73568,Warm-up,42996.72529,14.489, training,396.4,43.5,5.8,0.1,0,408.5,36.6,6.2,0.8,0,0,0,0,0,0,611.8,60.2,24.3,13.6,6.5,2.1,1.2,0.6,0.1,177.3,0.2,698.9,186.6,9.8,2.6,0,5.6,15.5808,False,
2017-09-18 00:00:00.000,Player3,14.966666666666667,0,0.5468455833976184,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,0.9767,0.0,5,123.2,0.0,4.32547259674422,14.84999530235616,0.0,50.549335747366655,14.694,68.3,1,11,0,0,108.506,65.2596,0,5.104,0,25,15,8,3,42996,0,22,17,0,1,0.9767,65.2596,0.3518,0.0701,0.0198,0.0043,0.0017,0.4194,0.0897,0.019,0.0005,0.0003,0.2789,0.2052,0.1071,0.0549,0.0268,0.0152,0.0062,0.008,0.0045,0.2625,0.0076,0.3586,0.5141,0.0893,0.0147,0,898,115.0083,0,0,87,1,0,1,70.1226,Barbut,0,3,1,1,0,5,5.104,GD-1,42996.73568,Warm-up,42996.72529,14.694, training,380.6,37,8.8,2.1,0.8,423,38.3,7,0.2,0.1,0,0,0,0,0,606.7,77.2,30.6,13.4,6.6,3.7,1.7,1.9,1.4,152.6,2.1,667.7,209.2,18.4,2.6,0,5.5734,19.6124,False,
2017-09-18 00:00:00.000,Player3,41.25,2,1.9,2017-09-18 17:24:20.736,Session,2017-09-18 18:05:35.231,3.2763,61.800000000000004,28,755.3000000000001,19.3,27.0,62.6,23.5,62.9,257.219,472.4,31,34,0,0,498.0810000000001,79.4256,0,6.5326,0,78,56,26,8,42996,0,67,53,19,12,3.2763,79.4256,1.1641,0.2945,0.0912,0.0223,0.0051,1.237,0.3091,0.1084,0.0303,0.0144,0.6808,0.648,0.4084,0.2829,0.1704,0.1012,0.0673,0.0363,0.0258,0.7837,0.0714,0.9351,1.7441,0.3399,0.1954,0.0618,2475,405.7097,0,0,206,1,0,1,203.9087,Barbut,0,18,6,2,2,28,6.5326,GD-1,42996.75388,Session,42996.72524,257.219, training,1099,124.9,35.5,8.8,2.2,1034.9,122.4,35.3,8.1,3.7,0,0,0,0,0,1491.4,237.3,115.8,66.3,37.3,22.4,13.6,7.5,6.1,461.6,15.5,1687.3,677.8,69.2,32.7,7.8,8.8112,25.5293,False,82.5
2017-09-18 00:00:00.000,Player3,25.883333333333333,0,1.8179334868905959,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,2.3175,61.800000000000004,23,632.3,0.0,23.100643710768143,52.63013878314718,25.734944086293556,71.49281681322039,242.525,404.2,30,23,0,0,389.775,89.5377,0,7.5051,0,54,41,18,5,42996,0,45,36,19,11,2.3175,89.5377,0.8204,0.2246,0.0714,0.0179,0.0034,0.8268,0.2197,0.0894,0.0299,0.0141,0.4112,0.4428,0.3013,0.2281,0.1436,0.086,0.0612,0.0283,0.0213,0.5299,0.0638,0.5888,1.2357,0.2506,0.1807,0.0618,1553,292.5323,0,0,119,0,0,0,132.9099,Barbut,0,15,5,1,2,23,7.5051,GD-1,42996.75432,10v11,42996.73634,242.525, training,703.2,88.4,26.8,6.7,1.4,602.3,84.6,28.3,7.9,3.6,0,0,0,0,0,855.2,160.1,85.2,52.9,30.7,18.7,11.9,5.6,4.7,314.8,13.4,992.5,472,50.8,30.1,7.8,8.8112,29.3394,False,
2017-09-18 00:00:00.000,Player5,41.25,2,1.5,2017-09-18 17:24:20.736,Session,2017-09-18 18:05:35.231,3.0267,57.1,19,589.8,19.3,20.6,50.6,21.2,57.7,195.535,369.2,41,28,0,0,394.265,73.3753,0,5.9462,0,64,65,18,10,42996,0,51,45,22,19,3.0267,73.3753,1.1116,0.258,0.0807,0.0195,0.0048,1.1452,0.2618,0.0917,0.0355,0.018,0.7444,0.5282,0.3645,0.2206,0.1259,0.0899,0.0516,0.0346,0.0141,0.7999,0.0531,1.1149,1.4722,0.2441,0.1384,0.0571,2475,369.2792,0,0,176,0,0,0,174.2163,Briceag,0,11,6,2,0,19,5.9462,GD-1,42996.75388,Session,42996.72524,195.535, training,1128,124.9,35.3,8.8,2.3,1011.1,114.1,33.3,11.8,5.1,0,0,0,0,0,1532.4,193.7,104.7,53.8,28.4,19.1,11,8.1,3.3,508.3,11.9,1816.2,578.1,49.9,23,7.5,8.3467,19.6994,False,82.5
2017-09-18 00:00:00.000,Player5,25.883333333333333,0,1.4409099662810585,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,2.0635,55.7,13,429.99999999999994,0.0,15.17022473526739,42.51230242035827,21.30807972378504,63.00205096143475,153.159,268.1,32,22,0,0,276.84099999999995,79.723,0,6.5307,0,55,37,12,10,42996,0,43,28,15,17,2.0635,79.723,0.7711,0.1789,0.0551,0.0147,0.0048,0.7557,0.1689,0.07,0.0278,0.0166,0.4593,0.3813,0.2472,0.1619,0.0853,0.0673,0.0385,0.0224,0.0097,0.5458,0.0449,0.7128,1.0242,0.1733,0.0974,0.0557,1553,254.5491,0,0,115,0,0,0,115.4799,Briceag,0,7,4,2,0,13,6.5307,GD-1,42996.75432,10v11,42996.73634,153.159, training,712.6,85.3,23.5,6.3,2.3,609,74.7,25.5,9.3,4.7,0,0,0,0,0,898.1,139.7,71.1,39.1,19,13.9,7.8,5.3,2.1,347.2,9.9,1092.8,401.5,35.3,16.3,7.3,8.3467,22.2508,False,
2017-09-18 00:00:00.000,Player5,14.966666666666667,0,0.5083696765963176,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,0.9608,1.4,6,159.7,0.0,5.837640619291324,15.635529401974209,5.619594826958038,49.97848787887765,42.376,101.1,9,6,0,0,117.32399999999998,64.1983,0,5.081,0,9,28,6,0,42996,0,8,17,7,2,0.9608,64.1983,0.3398,0.079,0.0256,0.0048,0,0.3881,0.0928,0.0217,0.0077,0.0013,0.2833,0.147,0.1173,0.0586,0.0406,0.0226,0.0131,0.0122,0.0044,0.2535,0.0082,0.3997,0.448,0.0708,0.041,0.0014,898,114.4891,0,0,61,0,0,0,58.7643,Briceag,0,4,2,0,0,6,5.081,GD-1,42996.73568,Warm-up,42996.72529,42.376, training,389.7,39.5,11.8,2.5,0,404.5,39.2,7.8,2.5,0.4,0,0,0,0,0,611.2,54,33.6,14.7,9.4,5.2,3.2,2.8,1.2,160.6,2,699.8,176.6,14.6,6.7,0.2,6.8578,15.8035,False,
2017-09-18 00:00:00.000,Player6,41.25,3,2.0,2017-09-18 17:24:20.736,Session,2017-09-18 18:05:35.231,3.2933,113.10000000000001,30,852.6,28.9,30.9,58.2,31.2,63.3,374.746,582.0000000000001,27,24,0,0,477.85400000000004,79.8369,0,6.5984,0,79,54,15,9,42996,0,73,59,12,15,3.2933,79.8369,1.1812,0.3132,0.1011,0.0189,0.0047,1.1849,0.3301,0.1038,0.0324,0.0231,0.7486,0.5422,0.3773,0.2706,0.1969,0.1225,0.0903,0.0517,0.0296,0.7727,0.091,1.0434,1.5541,0.321,0.2616,0.1131,2475,409.7916,0,0,109,0,0,0,168.9689,Burlacu,0,15,10,4,1,30,6.5984,GD-1,42996.75388,Session,42996.72524,374.746, training,1199.7,130.1,39.1,7.5,2.4,922.1,125.8,33.6,8.7,5.8,0,0,0,0,0,1512.8,200.5,107.1,63.5,40.3,24,17.7,10.2,6.4,472.9,19.4,1739.2,612.3,65.4,43,14.9,8.2801,22.6847,False,123.75
2017-09-18 00:00:00.000,Player6,14.966666666666667,0,0.48432292919352116,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,0.9481,0.0,5,127.89999999999999,0.0,4.156363724147275,13.052953703536478,0.0,48.679305959454844,17.127,57.199999999999996,2,3,0,0,110.773,63.3504,0,4.8604,0,24,19,2,1,42996,0,18,19,1,1,0.9481,63.3504,0.3597,0.0686,0.02,0.0008,0.0004,0.3883,0.0875,0.0198,0.0027,0.0003,0.3081,0.1568,0.1137,0.0707,0.0251,0.0115,0.0077,0.0067,0.0031,0.2416,0.0031,0.4064,0.4479,0.0767,0.0171,0,898,109.507,0,0,35,0,0,0,54.1665,Burlacu,0,3,2,0,0,5,4.8604,GD-1,42996.73568,Warm-up,42996.72529,17.127, training,423.6,36.8,9.8,0.5,0.3,381.4,37,7.4,0.9,0.1,0,0,0,0,0,624.7,58.7,32.4,17.5,6.1,2.9,1.9,1.9,0.8,150,0.9,700.8,178.3,15.7,3,0,5.88,16.3399,False,
2017-09-18 00:00:00.000,Player6,25.883333333333333,0,1.9951317596774754,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,2.3569,113.10000000000001,25,724.6,0.0,27.93713439001799,48.48583014462404,40.5623185164412,73.14964047161334,357.619,524.6999999999999,25,21,0,0,366.981,91.0587,0,7.7342,0,55,35,13,8,42996,0,55,40,11,14,2.3569,91.0587,0.8284,0.2445,0.0811,0.0181,0.0042,0.8015,0.2427,0.084,0.0296,0.0228,0.4523,0.3854,0.2636,0.1999,0.1718,0.111,0.0826,0.045,0.0264,0.531,0.0879,0.6487,1.1062,0.2444,0.2445,0.1131,1553,301.4421,0,0,74,0,0,0,115.535,Burlacu,0,12,8,4,1,25,7.7342,GD-1,42996.75432,10v11,42996.73634,357.619, training,743.7,93,29.3,7,2.1,549.5,88.8,26.2,7.8,5.7,0,0,0,0,0,864.2,141.8,74.7,46,34.2,21.1,15.8,8.3,5.6,322.9,18.5,1014.5,434,49.7,40,14.9,8.2801,26.7014,False,
2017-09-18 00:00:00.000,Player7,14.966666666666667,0,0.6218787630208128,2017-09-18 17:24:25.056,Warm-up,2017-09-18 17:39:22.751,0.9726,0.0,5,160.3,0.0,5.5200378957368015,16.70077059140286,0.0,50.75998977735317,46.674,93.89999999999999,6,13,0,0,113.626,64.9861,0,5.1833,0,21,18,9,4,42996,0,10,21,6,0,0.9726,64.9861,0.3504,0.0683,0.0261,0.009,0.0009,0.3922,0.0813,0.0408,0.0038,0,0.2908,0.1387,0.0978,0.0664,0.0367,0.0161,0.0134,0.0095,0.0036,0.2848,0.0146,0.3783,0.4797,0.0679,0.0467,0,898,116.7804,0,0,56,0,0,0,67.4196,Buzan,0,3,2,0,0,5,5.1833,GD-1,42996.73568,Warm-up,42996.72529,46.674, training,432.3,34,12.1,4.1,0.4,362.2,37.1,14.3,1.3,0,0,0,0,0,0,610.2,52.7,26.7,15.8,8.4,4.1,3.5,2.5,1.1,168.9,3.9,677.3,198.5,14.1,7.9,0,6.3334,17.3424,False,
2017-09-18 00:00:00.000,Player7,25.883333333333333,0,2.185323022850821,2017-09-18 17:40:19.776,10v11,2017-09-18 18:06:13.248,2.3349,0.0,19,529.2,0.0,17.699045816507024,59.22206639882356,0.0,72.01829047795086,87.571,272.99999999999994,30,29,0,0,441.629,90.2074,0,7.5591,0,56,49,21,8,42996,0,58,46,17,13,2.3349,90.2074,0.8099,0.2103,0.0766,0.0219,0.0028,0.8586,0.2405,0.0805,0.0241,0.0097,0.2938,0.5014,0.4124,0.2562,0.1025,0.0583,0.0311,0.026,0.0159,0.5982,0.0392,0.4642,1.4701,0.313,0.0876,0,1553,294.6019,0,0,57,0,0,0,134.6782,Buzan,0,14,3,2,0,19,7.5591,GD-1,42996.75432,10v11,42996.73634,87.571, training,797.4,83.6,31,9.3,1.2,503.6,88.5,27.6,7.8,3,0,0,0,0,0,780.4,179.7,112.7,59.7,25.1,14.6,8,7.1,4.2,350.6,10.9,910.9,562.8,64.3,15,0,6.4801,31.8223,False,
2017-09-18 00:00:00.000,Player7,41.25,3,2.3,2017-09-18 17:24:20.736,Session,2017-09-18 18:05:35.231,3.2981,0.0,24,689.4999999999999,28.9,24.0,71.0,0.0,63.4,134.245,366.9,36,42,0,0,555.2549999999999,79.9538,0,6.6093,0,77,67,30,12,42996,0,68,67,23,13,3.2981,79.9538,1.1546,0.2786,0.1027,0.0309,0.0036,1.247,0.3217,0.1213,0.0279,0.0097,0.5753,0.6401,0.5102,0.3226,0.1392,0.0744,0.0445,0.0355,0.0195,0.8829,0.0538,0.8331,1.9499,0.3809,0.1342,0,2475,410.4539,0,0,113,0,0,0,202.2652,Buzan,0,17,5,2,0,24,6.6093,GD-1,42996.75388,Session,42996.72524,134.245, training,1242.2,117.6,43.1,13.4,1.6,877.2,125.6,41.9,9.1,3,0,0,0,0,0,1414.6,232.4,139.4,75.5,33.5,18.7,11.5,9.6,5.3,519.4,14.8,1612.1,761.3,78.4,22.9,0,6.4801,26.2618,False,123.75
