date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty
2017-11-26 00:00:00.000,Player1,53.666666666666664,2,0.7566381617861575,2017-11-26 15:14:58.560,Session,2017-11-26 16:08:38.688,2.0199,5.6,7,188.1,20.737780873457883,6.499671740998982,17.716882381878964,11.393545671308267,28.609790569316285,66.64,104.29999999999998,9,12,0,0,121.46,37.6373,0,2.8116,0,35,32,10,2,43065,0,32,28,7,2,2.0199,37.6373,0.7566,0.1247,0.0298,0.0067,0.0006,0.9056,0.1485,0.036,0.0099,0.0014,1.0648,0.2478,0.1341,0.0838,0.0486,0.0218,0.0117,0.0092,0.0048,0.3851,0.0082,1.2469,0.6283,0.078,0.061,0.0056,3220,227.2248,0,0,68,3,0,3,179.933,Baluta,0,3,4,0,0,7,2.8116,GD 2,43065.67267,Session,43065.6354,66.64, training,1593.9,107.8,19.6,4.9,0.4,1377.1,97.8,15,3.5,0.5,0,0,0,0,0,2791.1,93.9,42.3,21,10.3,5,2.9,2.3,1,248.6,2.1,2939.4,254.1,16,10.2,0.8,7.0223,6.5176,False
2017-11-26 00:00:00.000,Player1,9.716666666666667,0,0.32477528024660257,2017-11-26 15:24:01.152,11v1,2017-11-26 15:33:44.352,0.5032,0.0,4,89.9,0.0,2.956678216186887,8.697197252755242,0.0,39.957279842310626,19.402,37.3,3,3,0,0,70.498,51.7891,0,4.0125,0,15,7,3,0,43065,0,9,12,3,0,0.5032,51.7891,0.1997,0.0339,0.0079,0.0028,0,0.2078,0.0327,0.0156,0.0027,0,0.1343,0.0952,0.0626,0.0526,0.0189,0.0078,0.0046,0.0014,0.0006,0.1211,0.004,0.1817,0.2405,0.0616,0.0194,0,583,58.7394,0,0,25,0,0,0,39.8709,Baluta,0,2,2,0,0,4,4.0125,GD 2,43065.64843,11v1,43065.64168,19.402, training,321.3,17.1,4,1.3,0,218.5,14.5,5.7,1,0,0,0,0,0,0,436.2,35.5,17.5,11.8,3.9,2,1.1,0.5,0.2,73.6,1.1,472.8,94.6,12.6,3.4,0,5.8467,14.964,False
2017-11-26 00:00:00.000,Player1,7.483333333333333,0,0.24916686446181005,2017-11-26 15:15:09.792,Warm-up,2017-11-26 15:22:39.072,0.5697,5.6,3,91.49999999999999,0.0,3.417386915953962,6.620422588727499,4.358029718600983,59.47118623964262,47.238,63.0,3,5,0,0,44.261999999999986,76.1229,0,6.0745,0,12,17,5,0,43065,0,13,12,3,0,0.5697,76.1229,0.1726,0.0613,0.0159,0.0012,0,0.2366,0.0634,0.0147,0.0041,0,0.1367,0.1352,0.0667,0.0285,0.0291,0.013,0.0062,0.0072,0.0042,0.1395,0.0033,0.1897,0.3163,0.0164,0.0416,0.0056,449,68.4755,0,0,21,0,0,0,37.2667,Baluta,0,1,2,0,0,3,6.0745,GD 2,43065.64073,Warm-up,43065.63553,47.238, training,159.6,35.9,9.5,0.8,0,206.5,30.4,5.5,1,0,0,0,0,0,0,271.7,49.9,22.6,8.1,6,2.6,1.4,1.5,0.8,84,0.6,314.6,123.6,3.4,6.8,0.8,7.0223,24.0873,False
2017-11-26 00:00:00.000,Player1,30.333333333333332,0,0.18452213056071803,2017-11-26 15:38:07.007,Football-tennis,2017-11-26 16:08:26.592,0.8489,0.0,0,6.7,0.0,0.0,3.6904426112143605,0.0,20.821998831298767,0.0,4.0,3,4,0,0,6.7,27.9859,0,1.9776,0,8,8,2,2,43065,0,9,4,1,2,0.8489,27.9859,0.3387,0.0287,0.006,0.0026,0.0006,0.4106,0.0514,0.0058,0.0031,0.0014,0.7065,0.0174,0.0048,0.0027,0.0006,0.0011,0.0009,0.0006,0,0.1135,0.0008,0.7804,0.0685,0,0,0,1820,90.3307,0,0,21,2,0,2,93.5424,Baluta,0,0,0,0,0,0,1.9776,GD 2,43065.67253,Football-tennis,43065.65147,0, training,851.4,53.1,6.1,2.8,0.4,848.4,52.2,3.8,1.5,0.5,0,0,0,0,0,1723.4,8.5,2.2,1.1,0.4,0.4,0.4,0.3,0,83.1,0.4,1786,34.2,0,0,0,3.5556,0.7691,False
2017-11-26 00:00:00.000,Player2,30.333333333333332,0,,2017-11-26 15:38:07.007,Football-tennis,2017-11-26 16:08:26.592,0.5581,0.0,0,3.5,0.0,0.0,0.0,0.0,13.596129784255062,0.0,1.5999999999999999,0,1,0,0,3.5,18.3982,0,1.2764,0,6,7,1,0,43065,0,8,7,0,0,0.5581,18.3982,0.2167,0.0182,0.0054,0.001,0,0.2812,0.0313,0.0043,0,0,0.4528,0.0136,0.0025,0.0019,0.0006,0.0003,0.0007,0,0,0.0857,0,0.5031,0.055,0,0,0,1820,58.298,0,0,12,2,0,2,69.0847,Bancu,0,0,0,0,0,0,1.2764,GD 2,43065.67253,Football-tennis,43065.65147,0, training,933.4,31.9,5.6,0.9,0,818.1,27.7,2.5,0,0,0,0,0,0,0,1749.5,6.8,1.4,1,0.3,0.1,0.3,0,0,60.7,0,1791.5,28.6,0,0,0,3.42,0.5879,False
2017-11-26 00:00:00.000,Player2,53.666666666666664,2,0.6604101582567616,2017-11-26 15:14:58.560,Session,2017-11-26 16:08:38.688,1.6963,4.3,5,134.2,20.737780873457883,4.673690016504129,12.567193070318712,9.380471619985899,23.957292060165926,46.425,75.89999999999999,9,5,0,0,87.77499999999999,31.6087,0,2.344,0,37,26,4,1,43065,0,33,19,7,2,1.6963,31.6087,0.6493,0.0988,0.0192,0.0071,0.0008,0.7684,0.1187,0.0251,0.0074,0.0015,0.8261,0.2513,0.1028,0.0583,0.0322,0.0162,0.0092,0.0036,0.0027,0.3818,0.012,0.9536,0.6284,0.0679,0.0422,0.0043,3220,189.4397,0,0,57,2,0,2,145.3437,Bancu,0,2,3,0,0,5,2.344,GD 2,43065.67267,Session,43065.6354,46.425, training,1716.7,78.6,13.5,3.4,0.4,1327.1,67.6,10,2.6,0.6,0,0,0,0,0,2830.5,99.3,31.8,14.4,7,3.7,2.3,0.7,0.5,227.6,2.7,2935.2,263.8,13.9,7,0.6,7.1823,6.7816,False
2017-11-26 00:00:00.000,Player2,7.483333333333333,0,0.09386707701930506,2017-11-26 15:15:09.792,Warm-up,2017-11-26 15:22:39.072,0.5584,0.0,2,60.39999999999999,0.0,1.8773415403861013,0.0,0.0,56.85551545972577,20.512,25.8,2,0,0,0,39.88799999999999,74.6202,0,5.6071,0,22,7,0,0,43065,0,15,9,2,0,0.5584,74.6202,0.2041,0.0497,0.0034,0.0001,0,0.2464,0.0465,0.0068,0.0016,0,0.158,0.1326,0.0378,0.0346,0.0147,0.0061,0.0028,0.0014,0.0004,0.1697,0.0004,0.2063,0.3024,0.0292,0.0205,0,449,63.2097,0,0,20,0,0,0,38.0089,Bancu,0,0,2,0,0,2,5.6071,GD 2,43065.64073,Warm-up,43065.63553,20.512, training,180.9,32.6,2.4,0.1,0,205.6,23.5,3.5,0.6,0,0,0,0,0,0,273.1,52.9,12.8,7.6,3,1.2,0.7,0.3,0.1,97.4,0.1,312.4,127.5,5.7,3.6,0,5.9689,23.642,False
2017-11-26 00:00:00.000,Player2,9.716666666666667,0,0.2561088858575088,2017-11-26 15:24:01.152,11v1,2017-11-26 15:33:44.352,0.5072,4.3,3,70.5,0.0,2.7355681920459105,7.769223958671806,3.2963524454881994,40.758441617698466,25.913,48.6,7,4,0,0,44.587,52.2005,0,4.16,0,9,12,3,1,43065,0,10,3,5,2,0.5072,52.2005,0.1952,0.0308,0.0104,0.0061,0.0008,0.2014,0.0409,0.0141,0.0059,0.0015,0.1442,0.1051,0.0625,0.0219,0.0169,0.0099,0.0057,0.0022,0.0024,0.1248,0.0115,0.1718,0.2709,0.0387,0.0217,0.0043,583,60.8937,0,0,25,0,0,0,33.4965,Bancu,0,2,1,0,0,3,4.16,GD 2,43065.64843,11v1,43065.64168,25.913, training,315.3,13.7,5.5,2.4,0.4,223,16.4,4,2,0.6,0,0,0,0,0,441.3,39.6,17.6,5.8,3.7,2.4,1.3,0.4,0.4,68.2,2.6,463.5,107.6,8.2,3.4,0.6,7.1823,17.401,False
2017-11-26 00:00:00.000,Player5,9.716666666666667,0,0.303156631937443,2017-11-26 15:24:01.152,11v1,2017-11-26 15:33:44.352,0.6512,2.1,4,99.9,0.0,3.6816287860834804,9.074618449279287,3.7923134979411532,52.34501698376857,26.45,62.9,2,4,0,0,73.45,67.0225,0,5.3444,0,14,13,3,1,43065,0,17,10,2,0,0.6512,67.0225,0.2177,0.0485,0.0197,0.0016,0.0009,0.283,0.0661,0.0111,0.0025,0,0.1283,0.1613,0.0801,0.037,0.0304,0.0098,0.0063,0.0066,0.0014,0.1814,0.0084,0.1917,0.3934,0.0397,0.0243,0.0021,583,78.2446,0,0,24,0,0,0,39.1819,Briceag,0,2,2,0,0,4,5.3444,GD 2,43065.64843,11v1,43065.64168,26.45, training,304.9,21.8,10.1,1.2,0.6,213.3,26.9,3.9,0.7,0,0,0,0,0,0,370.5,56.7,23.7,9.8,7.4,2.7,1.7,1.7,0.3,107,1.9,418.6,152.3,8.2,4,0.3,6.9201,22.1118,False
2017-11-26 00:00:00.000,Player5,53.68333333333333,2,0.7874682276563671,2017-11-26 15:14:58.560,Session,2017-11-26 16:08:38.688,2.393,2.1,6,190.7,20.739541527392543,6.828968405365592,18.51399003456575,13.13920530554625,34.20849720202519,65.995,121.6,8,14,0,0,124.70499999999998,44.5763,0,3.4092,0,64,49,10,4,43065,0,64,50,7,1,2.393,44.5763,0.8414,0.1702,0.0498,0.0056,0.0018,1.0315,0.2436,0.0418,0.0062,0.0011,1.0779,0.3627,0.1469,0.0691,0.0606,0.0208,0.0138,0.009,0.005,0.6148,0.0124,1.3548,0.9181,0.0541,0.0639,0.0021,3221,275.5381,0,0,115,7,0,6,199.4504,Briceag,0,2,4,0,0,6,3.4092,GD 2,43065.67267,Session,43065.6354,65.995, training,1580.2,151.4,38.7,4.8,1.5,1255,163.2,22.8,2.5,0.5,0,0,0,0,0,2588.6,140.4,49.3,19.5,14.5,5.3,3.3,2.5,1.2,393,3,2814.2,384.5,11.1,10.5,0.3,6.9201,8.8648,False
