date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,gdType
2018-01-14 00:00:00.000,Player1,57.43333333333333,0,2.4,2018-01-14 11:01:07.968,1st.half,2018-01-14 11:58:33.600,6.0204,160.6,44,1582.1000000000001,0,49.0,47.7,46.7,81.5,457.05,813.4,55,21,0,0,356.34999999999997,104.8244,0,8.2614,0,126,67,14,7,43114,0,105,52,31,24,6.0204,104.8244,2.4404,0.5053,0.0957,0.0151,0.0045,2.3077,0.3955,0.1553,0.0694,0.0315,1.0238,0.9695,0.8537,0.7687,0.2969,0.2108,0.1056,0.0557,0.0446,1.5914,0.0998,1.6878,2.9132,0.9624,0.2964,0.1606,3446,714.4049,0,0,196,3,0,3,280.5021,Baluta,0,22,9,5,8,44,8.2614,FS Meppen,43114.499,1st.half,43114.45912,457.05, game,1616.3,185.5,37.6,6.4,1.9,1374.2,149.6,45.8,20.7,7.9,0,0,0,0,0,1527.6,342.4,230,172.4,64.5,41,19.3,10.8,8.3,1009.9,19.7,2025,1154.8,195.4,49.3,21.4,8.6445,29.0461,False,GD
2018-01-14 00:00:00.000,Player1,57.43333333333333,0,2.4,2018-01-14 11:01:07.968,game,2018-01-14 11:58:33.600,6.0204,160.6,44,1582.1000000000001,0,49.0,47.7,46.7,81.5,457.05,813.4,55,21,0,0,356.34999999999997,104.8244,0,8.2614,0,126,67,14,7,43114,0,105,52,31,24,6.0204,104.8244,2.4404,0.5053,0.0957,0.0151,0.0045,2.3077,0.3955,0.1553,0.0694,0.0315,1.0238,0.9695,0.8537,0.7687,0.2969,0.2108,0.1056,0.0557,0.0446,1.5914,0.0998,1.6878,2.9132,0.9624,0.2964,0.1606,3446,714.4049,0,0,196,3,0,3,280.5021,Baluta,0,22,9,5,8,44,8.2614,FS Meppen,43114.499,game,43114.45912,457.05, game,1616.3,185.5,37.6,6.4,1.9,1374.2,149.6,45.8,20.7,7.9,0,0,0,0,0,1527.6,342.4,230,172.4,64.5,41,19.3,10.8,8.3,1009.9,19.7,2025,1154.8,195.4,49.3,21.4,8.6445,29.0461,False,GD
2018-01-14 00:00:00.000,Player2,57.43333333333333,0,3.1,2018-01-14 11:01:07.968,game,2018-01-14 11:58:33.600,5.6276,247.79999999999998,58,1939.3,0,62.6,65.5,60.5,78.3,695.568,1075.1,76,62,0,0,379.5319999999999,97.9846,0,8.2383,0,129,88,47,15,43114,0,130,74,41,35,5.6276,97.9846,2.0341,0.5109,0.1781,0.045,0.0099,2.0099,0.5518,0.1731,0.0663,0.0485,0.9167,0.9754,0.8494,0.8642,0.3977,0.2445,0.1451,0.081,0.0484,0.9467,0.1584,1.2534,2.596,1.0826,0.4478,0.2478,3446,712.3901,0,0,414,2,0,2,316.8529,Bancu,0,26,17,5,10,58,8.2383,FS Meppen,43114.499,game,43114.45912,695.568, game,1582.4,221.4,74.6,19.6,5.1,1234.7,213.4,59.2,22.3,13.1,0,0,0,0,0,1878.4,353.5,230.5,190,83.6,48.1,27.7,15.2,9.7,575.6,33.5,2149,970.2,219.6,74.6,32.4,8.8712,31.2119,False,GD
2018-01-14 00:00:00.000,Player2,57.43333333333333,0,3.1,2018-01-14 11:01:07.968,1st.half,2018-01-14 11:58:33.600,5.6276,247.79999999999998,58,1939.3,0,62.6,65.5,60.5,78.3,695.568,1075.1,76,62,0,0,379.5319999999999,97.9846,0,8.2383,0,129,88,47,15,43114,0,130,74,41,35,5.6276,97.9846,2.0341,0.5109,0.1781,0.045,0.0099,2.0099,0.5518,0.1731,0.0663,0.0485,0.9167,0.9754,0.8494,0.8642,0.3977,0.2445,0.1451,0.081,0.0484,0.9467,0.1584,1.2534,2.596,1.0826,0.4478,0.2478,3446,712.3901,0,0,414,2,0,2,316.8529,Bancu,0,26,17,5,10,58,8.2383,FS Meppen,43114.499,1st.half,43114.45912,695.568, game,1582.4,221.4,74.6,19.6,5.1,1234.7,213.4,59.2,22.3,13.1,0,0,0,0,0,1878.4,353.5,230.5,190,83.6,48.1,27.7,15.2,9.7,575.6,33.5,2149,970.2,219.6,74.6,32.4,8.8712,31.2119,False,GD
2018-01-14 00:00:00.000,Player3,57.43333333333333,0,2.9,2018-01-14 11:01:07.968,game,2018-01-14 11:58:33.600,6.4015,247.4,52,1943.8000000000002,0,62.0,46.0,66.1,87.5,825.933,1128.6000000000001,38,41,0,0,302.66700000000014,111.4588,0,8.9989,0,125,83,25,16,43114,0,137,83,26,12,6.4015,111.4588,2.4304,0.5685,0.1321,0.0259,0.0056,2.4802,0.5259,0.1617,0.0498,0.0214,0.8646,1.3467,0.9336,0.8152,0.4055,0.2592,0.1408,0.0976,0.0689,1.3128,0.1566,1.3208,3.3587,0.896,0.5786,0.2474,3446,778.176,0,0,217,3,0,3,359.0624,Barbut,0,29,10,2,11,52,8.9989,FS Meppen,43114.499,game,43114.45912,825.933, game,1551.7,203.4,47.2,10,2.7,1370.5,194.1,49.1,12.4,4.8,0,0,0,0,0,1538.6,469.9,255,177.6,82.2,50,26.1,18.5,13.2,785.4,29.4,1884.5,1251.5,180.8,97,32.1,8.8667,37.3139,False,GD
2018-01-14 00:00:00.000,Player3,57.43333333333333,0,2.9,2018-01-14 11:01:07.968,1st.half,2018-01-14 11:58:33.600,6.4015,247.4,52,1943.8000000000002,0,62.0,46.0,66.1,87.5,825.933,1128.6000000000001,38,41,0,0,302.66700000000014,111.4588,0,8.9989,0,125,83,25,16,43114,0,137,83,26,12,6.4015,111.4588,2.4304,0.5685,0.1321,0.0259,0.0056,2.4802,0.5259,0.1617,0.0498,0.0214,0.8646,1.3467,0.9336,0.8152,0.4055,0.2592,0.1408,0.0976,0.0689,1.3128,0.1566,1.3208,3.3587,0.896,0.5786,0.2474,3446,778.176,0,0,217,3,0,3,359.0624,Barbut,0,29,10,2,11,52,8.9989,FS Meppen,43114.499,1st.half,43114.45912,825.933, game,1551.7,203.4,47.2,10,2.7,1370.5,194.1,49.1,12.4,4.8,0,0,0,0,0,1538.6,469.9,255,177.6,82.2,50,26.1,18.5,13.2,785.4,29.4,1884.5,1251.5,180.8,97,32.1,8.8667,37.3139,False,GD
2018-01-14 00:00:00.000,Player4,57.43333333333333,0,2.8,2018-01-14 11:01:07.968,game,2018-01-14 11:58:33.600,6.618,119.3,49,1762.7999999999997,0,57.0,57.2,51.6,90.4,515.343,911.7,54,42,0,0,396.3570000000001,115.2296,0,9.2749,0,202,88,34,8,43114,0,175,99,30,24,6.618,115.2296,2.5584,0.5818,0.1317,0.0245,0.0026,2.4625,0.6189,0.1582,0.0552,0.0242,0.8574,1.4541,1.1742,0.8511,0.4038,0.1964,0.1159,0.0704,0.0409,1.3696,0.0843,1.2787,3.7459,1.0781,0.396,0.1193,3446,802.024,0,0,668,3,0,3,382.7635,Bic,0,22,9,9,9,49,9.2749,FS Meppen,43114.499,game,43114.45912,515.343, game,1481.1,240.1,55.3,11.4,1.3,1350.3,230.6,52.3,17.1,6.3,0,0,0,0,0,1419.8,528.7,320.9,189.6,87.2,42.9,23.1,13.3,8.1,794.4,17.8,1745.4,1398.7,219.6,66.5,15.6,8.5778,41.6043,False,GD
2018-01-14 00:00:00.000,Player4,57.43333333333333,0,2.8,2018-01-14 11:01:07.968,1st.half,2018-01-14 11:58:33.600,6.618,119.3,49,1762.7999999999997,0,57.0,57.2,51.6,90.4,515.343,911.7,54,42,0,0,396.3570000000001,115.2296,0,9.2749,0,202,88,34,8,43114,0,175,99,30,24,6.618,115.2296,2.5584,0.5818,0.1317,0.0245,0.0026,2.4625,0.6189,0.1582,0.0552,0.0242,0.8574,1.4541,1.1742,0.8511,0.4038,0.1964,0.1159,0.0704,0.0409,1.3696,0.0843,1.2787,3.7459,1.0781,0.396,0.1193,3446,802.024,0,0,668,3,0,3,382.7635,Bic,0,22,9,9,9,49,9.2749,FS Meppen,43114.499,1st.half,43114.45912,515.343, game,1481.1,240.1,55.3,11.4,1.3,1350.3,230.6,52.3,17.1,6.3,0,0,0,0,0,1419.8,528.7,320.9,189.6,87.2,42.9,23.1,13.3,8.1,794.4,17.8,1745.4,1398.7,219.6,66.5,15.6,8.5778,41.6043,False,GD
2018-01-14 00:00:00.000,Player6,62.7,0,2.9,2018-01-14 11:55:12.288,2nd.half,2018-01-14 12:57:55.008,6.9033,155.20000000000002,61,2083.2,0,65.0,50.7,55.3,86.1,686.493,1042.7,55,34,0,0,356.207,110.1009,0,8.7981,0,124,89,22,12,43114,0,115,74,39,16,6.9033,110.1009,2.7456,0.5415,0.1321,0.0277,0.0091,2.6281,0.5594,0.1769,0.0621,0.0209,0.9714,1.1265,1.1468,1.0405,0.4341,0.2677,0.1144,0.0775,0.0442,1.5753,0.1048,1.5963,3.3901,1.2304,0.5313,0.1552,3762,830.6307,0,0,107,1,0,1,305.7842,Burlacu,0,29,15,6,11,61,8.7981,FS Meppen,43114.54022,2nd.half,43114.49667,686.493, game,1672.6,215.2,52.5,11.8,3.5,1519.7,205.2,57.9,18.6,5.1,0,0,0,0,0,1632.5,398.8,307.6,223.2,88.9,51.8,23.3,15.5,9.2,987.1,24.2,2101.2,1302.9,248.4,88.3,21.3,7.8378,32.9444,False,GD
2018-01-14 00:00:00.000,Player6,62.7,0,2.9,2018-01-14 11:55:12.288,game,2018-01-14 12:57:55.008,6.9033,155.20000000000002,61,2083.2,0,65.0,50.7,55.3,86.1,686.493,1042.7,55,34,0,0,356.207,110.1009,0,8.7981,0,124,89,22,12,43114,0,115,74,39,16,6.9033,110.1009,2.7456,0.5415,0.1321,0.0277,0.0091,2.6281,0.5594,0.1769,0.0621,0.0209,0.9714,1.1265,1.1468,1.0405,0.4341,0.2677,0.1144,0.0775,0.0442,1.5753,0.1048,1.5963,3.3901,1.2304,0.5313,0.1552,3762,830.6307,0,0,107,1,0,1,305.7842,Burlacu,0,29,15,6,11,61,8.7981,FS Meppen,43114.54022,game,43114.49667,686.493, game,1672.6,215.2,52.5,11.8,3.5,1519.7,205.2,57.9,18.6,5.1,0,0,0,0,0,1632.5,398.8,307.6,223.2,88.9,51.8,23.3,15.5,9.2,987.1,24.2,2101.2,1302.9,248.4,88.3,21.3,7.8378,32.9444,False,GD
