date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2018-02-15 00:00:00.000,Player1,53.03333333333333,3.0,1.2,2018-02-15 11:38:01.536,Session,True,2018-02-15 12:31:03.647,3.5961,17.0,23,571.5,30.4,18.3,23.9,19.0,55.3,114.594,278.9,28,19,0.0,0.0,164.30599999999998,67.8087,0,5.2359,,,,0,92,57,14,5,,43146,0,68,48,25,3,3.5961,67.8087,1.3775,0.2926,0.0582,0.011,0.0026,1.453,0.2747,0.0968,0.0263,0.0034,1.24,0.6089,0.4533,0.2926,0.1152,0.0579,0.0361,0.0254,0.0164,0.7225,0.0279,1.5726,1.61,0.299,0.0976,0.017,3182,388.3008,0,0,186,2,0,2,,219.9897,Baluta,0,14,7,2,0,23,5.2359,,,GD-1,43146.52157,Session,43146.48474,114.594, training,1533.3,136.4,27.8,5.5,1.4,1325,111.8,31.6,8.7,1,0,0,0,,0,,0,2244.9,220.7,128.1,72.4,27,13.6,8.7,5.8,3.5,451.1,6.7,2502.1,600.2,61.5,16.4,2.3,7.7356,17.348,,GD+4-1,159.1
2018-02-15 00:00:00.000,Player1,10.266666666666667,0.0,0.2,2018-02-15 11:38:10.176,Warm-up,True,2018-02-15 11:48:26.208,0.7491,0.0,4,63.70000000000001,0.0,2.6,4.6,0.0,59.7,0.0,23.9,3,5,0.0,0.0,23.9,72.9665,0,5.6733,,,,0,34,15,2,3,,43146,0,20,14,3,0,0.7491,72.9665,0.259,0.063,0.0099,0.003,0.0015,0.3304,0.067,0.0141,0.0011,0,0.1758,0.1841,0.0902,0.0398,0.0097,0.0034,0.0031,0.0017,0.0006,0.2353,0.0054,0.2495,0.4514,0.0482,0,0,616,81.4503,0,0,72,0,0,0,,55.3552,Baluta,0,3,1,0,0,4,5.6733,,,GD-1,43146.49197,Warm-up,43146.48484,0, training,258.8,36.8,5.6,1.2,0.7,275.6,31.7,5.4,0.3,0,0,0,0,,0,,0,363.6,69,27.3,10.4,2.6,1,0.9,0.5,0.2,138.8,1.8,422.2,183.7,10.2,0,0,5.1045,23.9572,,GD+4-1,
2018-02-15 00:00:00.000,Player1,39.71666666666667,0.0,0.9,2018-02-15 11:51:11.232,10v11,True,2018-02-15 12:30:55.008,2.7525,17.0,19,507.69999999999993,0.0,15.9,19.7,15.2,56.6,114.594,254.9,25,14,0.0,0.0,140.306,69.3036,0,5.3685,,,,0,58,42,12,2,,43146,0,48,34,22,3,2.7525,69.3036,1.0764,0.2287,0.0482,0.008,0.0011,1.0721,0.2067,0.0827,0.0252,0.0034,0.9789,0.4247,0.3631,0.2528,0.1055,0.0545,0.033,0.0236,0.0158,0.478,0.0225,1.2293,1.1578,0.2508,0.0976,0.017,2383,298.175,0,0,114,2,0,2,,156.3854,Baluta,0,11,6,2,0,19,5.3685,,,GD-1,43146.52147,10v11,43146.49388,114.594, training,1186.6,98,21.9,4.3,0.7,957.2,79.2,26.2,8.4,1,0,0,0,,0,,0,1705.6,151.6,100.8,62,24.4,12.6,7.8,5.3,3.3,305.2,4.9,1897.4,416.1,51.3,16.4,2.3,7.7356,16.9625,,GD+4-1,
2018-02-15 00:00:00.000,Player2,10.266666666666667,0.0,0.1,2018-02-15 11:38:10.176,Warm-up,True,2018-02-15 11:48:26.208,0.7998,0.0,1,57.8,0.0,1.6,2.9,0.0,65.0,0.0,21.2,2,3,0.0,0.0,21.2,77.9046,0,5.9164,,,,0,29,14,2,1,,43146,0,24,11,2,0,0.7998,77.9046,0.2979,0.0563,0.012,0.0023,0.0002,0.3535,0.069,0.0079,0.0007,0,0.1775,0.1996,0.0902,0.0366,0.0123,0.0023,0.0021,0.0005,0.0006,0.2748,0.0034,0.2838,0.4796,0.0364,0,0,616,94.0872,0,0,62,0,0,0,,50.7082,Bancu,0,0,1,0,0,1,5.9164,,,GD-1,43146.49197,Warm-up,43146.48484,0, training,267.5,34.8,6.8,1.1,0.1,269.2,32.5,3.8,0.3,0,0,0,0,,0,,0,329.9,73.7,26.4,10.4,3.5,0.8,0.7,0.2,0.2,169.2,1.1,411.5,196.9,7.7,0,0,5.04,23.0482,,GD+4-1,
2018-02-15 00:00:00.000,Player2,39.733333333333334,0.0,1.2,2018-02-15 11:51:11.232,10v11,True,2018-02-15 12:30:55.008,2.7783,43.3,19,561.7999999999998,0.0,21.3,28.9,20.2,60.6,217.232,358.29999999999995,27,32,0.0,0.0,141.06799999999996,69.9231,0,5.7164,,,,0,63,35,27,5,,43146,0,57,41,17,10,2.7783,69.9231,0.9682,0.2217,0.0844,0.0268,0.0031,1.0953,0.2592,0.0816,0.0249,0.0132,0.6605,0.5075,0.3887,0.2035,0.1267,0.077,0.0531,0.0244,0.0181,0.6599,0.059,0.9364,1.4003,0.2243,0.1739,0.0433,2384,351.703,0,0,151,0,0,0,,151.695,Bancu,0,10,7,2,0,19,5.7164,,,GD-1,43146.52147,10v11,43146.49388,217.232, training,1161.5,100.8,34.8,11.8,1.4,933.9,99.5,28.6,7.8,3.5,0,0,0,,0,,0,1555,183.1,108.6,49.2,27.3,16.8,12.1,5.5,4.4,408.1,13.5,1767,535.7,46.3,28.7,5.9,7.9023,20.0621,,GD+4-1,
2018-02-15 00:00:00.000,Player2,53.03333333333333,2.0,1.3,2018-02-15 11:38:01.536,Session,True,2018-02-15 12:31:03.647,3.6546,43.3,20,619.4,20.2,22.8,31.7,24.0,59.1,217.232,379.4,29,35,0.0,0.0,162.16799999999998,68.9121,0,5.5225,,,,0,93,49,29,6,,43146,0,83,52,19,10,3.6546,68.9121,1.2987,0.2787,0.0965,0.0291,0.0033,1.4893,0.3302,0.0899,0.0256,0.0132,0.9003,0.7072,0.4788,0.24,0.139,0.0793,0.0552,0.0249,0.0186,0.9489,0.0624,1.2892,1.8876,0.2607,0.1739,0.0433,3182,453.6571,0,0,214,0,0,0,,207.7361,Bancu,0,10,8,2,0,20,5.5225,,,GD-1,43146.52157,Session,43146.48474,217.232, training,1528.4,137.2,41.9,12.9,1.5,1282.5,133.8,32.7,8.1,3.5,0,0,0,,0,,0,2057.8,256.9,135,59.6,30.8,17.6,12.8,5.7,4.6,587.1,14.6,2356.8,737.1,54,28.7,5.9,7.9023,19.513,,GD+4-1,106.06666666666666
2018-02-15 00:00:00.000,Player3,39.733333333333334,0.0,1.0,2018-02-15 11:51:11.232,10v11,True,2018-02-15 12:30:55.008,2.8841,69.6,22,538.3,0.0,18.9,16.1,21.7,60.2,232.58,366.5,16,18,0.0,0.0,133.92,72.5858,0,5.8128,,,,0,79,33,14,4,,43146,0,53,51,10,6,2.8841,72.5858,1.0571,0.2362,0.0797,0.014,0.0023,1.1173,0.2566,0.089,0.0239,0.008,0.8234,0.5525,0.3107,0.1718,0.1184,0.0739,0.0453,0.0355,0.0278,0.6591,0.0656,1.0745,1.3909,0.1861,0.163,0.0696,2384,312.931,0,0,126,1,0,1,,154.2042,Barbut,0,10,11,1,0,22,5.8128,,,GD-1,43146.52147,10v11,43146.49388,232.58, training,1072.8,103.4,29.9,6.1,0.9,1035.4,97.8,28.7,6.5,2.1,0,0,0,,0,,0,1573.7,203.1,89.3,42,24.7,14.4,9.9,7.3,5.9,399.9,13.4,1767.8,541.7,38.1,26.5,9.5,7.9534,20.4313,,GD+4-1,
2018-02-15 00:00:00.000,Player3,53.03333333333333,2.0,1.1,2018-02-15 11:38:01.536,Session,True,2018-02-15 12:31:03.647,3.7763,69.6,23,602.2,20.2,20.5,19.1,25.0,58.7,232.58,399.59999999999997,17,21,0.0,0.0,167.01999999999995,71.206,0,5.6232,,,,0,119,47,17,4,,43146,0,83,63,11,6,3.7763,71.206,1.3779,0.3055,0.092,0.0152,0.0023,1.5268,0.3249,0.0989,0.0247,0.008,1.063,0.7566,0.406,0.2026,0.1339,0.0842,0.0472,0.0378,0.0298,0.9487,0.0667,1.392,1.9297,0.222,0.163,0.0696,3182,404.1885,0,0,189,1,0,1,,214.185,Barbut,0,10,12,1,0,23,5.6232,,,GD-1,43146.52157,Session,43146.48474,232.58, training,1415.7,144.5,35.8,6.8,0.9,1406.2,130.8,33,6.7,2.1,0,0,0,,0,,0,2081.1,280.5,117,50.4,29.2,17,10.6,8.1,6.5,568.4,13.7,2336.6,764.3,45.6,26.5,9.5,7.9534,20.6222,,GD+4-1,106.06666666666666
2018-02-15 00:00:00.000,Player3,10.266666666666667,0.0,0.1,2018-02-15 11:38:10.176,Warm-up,True,2018-02-15 11:48:26.208,0.8095,0.0,1,63.9,0.0,1.6,3.1,0.0,63.9,0.0,33.099999999999994,1,3,0.0,0.0,33.099999999999994,78.8482,0,6.0088,,,,0,39,13,3,0,,43146,0,28,12,1,0,0.8095,78.8482,0.284,0.0671,0.0121,0.0012,0,0.369,0.0655,0.0098,0.0008,0,0.1734,0.2016,0.0953,0.0308,0.0155,0.0103,0.0019,0.0023,0.002,0.2756,0.0011,0.2457,0.5279,0.0359,0,0,616,83.612,0,0,61,0,0,0,,52.9294,Barbut,0,0,1,0,0,1,6.0088,,,GD-1,43146.49197,Warm-up,43146.48484,0, training,254.1,38.2,5.7,0.7,0,282.2,30.8,4.2,0.2,0,0,0,0,,0,,0,334.9,75.9,27.7,8.4,4.5,2.6,0.7,0.8,0.6,159.7,0.3,391.9,216.7,7.5,0,0,5.2245,27.0898,,GD+4-1,
2018-02-15 00:00:00.000,Player5,39.71666666666667,0.0,0.8,2018-02-15 11:51:11.232,10v11,True,2018-02-15 12:30:55.008,2.6472,1.4,19,357.3,0.0,16.1,19.3,14.6,55.7,48.111,182.4,20,19,0.0,0.0,134.28900000000002,66.6523,0,5.0804,,,,0,34,35,12,7,,43146,0,58,20,16,4,2.6472,66.6523,1.0573,0.16,0.048,0.0096,0.0023,1.1133,0.1873,0.0545,0.0109,0.0039,0.8749,0.4298,0.329,0.1749,0.0746,0.0386,0.0237,0.0177,0.009,0.6562,0.0188,1.2033,1.1617,0.234,0.0467,0.0014,2383,342.9715,0,0,97,0,0,0,,148.556,Briceag,0,14,5,0,0,19,5.0804,,,GD-1,43146.52147,10v11,43146.49388,48.111, training,1202.6,74.7,21,4.4,1.4,978.5,77.1,18.5,4,1.3,0,0,0,,0,,0,1628.1,151.9,91,42.8,18,10.1,5.9,4.5,2.2,424.1,4.9,1875.6,451.3,48.5,7.9,0.2,6.7112,15.4605,,GD+4-1,
