playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-10-25,5,5,5,5,5
Player6,2017-10-25,3,4,3,4,4
Player21,2017-10-25,4,4,4,3,4
Player3,2017-10-25,5,5,4,5,5
Player17,2017-10-25,5,5,5,5,5
Player14,2017-10-25,5,5,4,5,5
Player7,2017-10-25,4,5,4,5,5
Player19,2017-10-25,3,5,4,3,5
Player29,2017-10-25,3,5,3,4,4
Player32,2017-10-25,5,5,5,5,5
Player2,2017-10-25,5,5,5,5,5
Player20,2017-10-25,4,4,4,4,4
Player5,2017-10-25,3,4,3,3,4
Player10,2017-10-25,4,5,5,5,5
Player11,2017-10-25,2,4,3,3,4
Player30,2017-10-25,4,5,5,4,5
Player16,2017-10-25,5,5,5,5,5
Player9,2017-10-25,2,5,1,4,3
Player1,2017-10-25,4,4,4,4,4
Player26,2017-10-25,5,5,4,4,5
