date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2017-06-13 00:00:00.000,Player2,6.35,0.0,0.6,2017-06-13 19:33:15.264,First-half game,True,2017-06-13 19:39:36.288,1.008,53.199999999999996,10,319.99999999999994,0.0,11.8,12.2,11.8,144.4,108.62,203.0,14,11,0.0,0.0,94.38,158.7403,0,14.1555,,,,0,27,14,9,2,,42899,0,20,15,7,7,1.008,158.7403,0.3273,0.1277,0.0405,0.0106,0.0011,0.3184,0.1106,0.0346,0.0253,0.0119,0.0655,0.2206,0.2293,0.117,0.0504,0.0411,0.0312,0.0235,0.0102,0.1726,0.0466,0.1263,0.6195,0.1536,0.0554,0.0532,381,135.4852,0,0,119,2,0,2,,55.3919,Bancu,0,6,4,0,0,10,14.1555,,,General,42899.81917,First-half game,42899.81476,108.62, training,136.4,42.2,13.8,4,0.7,126.9,38.5,10.4,5.6,2.9,0,0,0,,0,,0,69,78.9,60.3,28.9,12.2,8.7,5.9,4.8,2.5,101.2,9,115.8,217.5,31.9,9.4,6.8,8.6712,61.0121,,,
2017-06-13 00:00:00.000,Player2,27.733333333333334,0.0,0.6,2017-06-13 18:36:50.112,Square-5vs5 20x20m,True,2017-06-13 19:04:34.176,1.7485,0.0,0,69.7,0.0,0.0,12.6,0.0,53.4,0.0,31.3,15,14,0.0,0.0,31.3,63.0482,0,4.9286,,,,0,111,58,14,0,,42899,0,108,50,13,2,1.7485,63.0482,0.6149,0.1611,0.0364,0.0047,0,0.691,0.1926,0.0371,0.01,0.0009,0.3685,0.4453,0.1119,0.0384,0.0161,0.0071,0.0056,0.0016,0.0009,0.7531,0,0.5573,1.1867,0.0046,0,0,1664,205.833,0,0,179,0,0,0,,145.356,Bancu,0,0,0,0,0,0,4.9286,,,General,42899.79484,Square-5vs5 20x20m,42899.77558,0, training,745.8,106.1,25.5,3.6,0,653.1,107.2,18.4,4.2,0.3,0,0,0,,0,,0,981,179.9,42,15,5.9,2.9,1.9,0.6,0.3,434.7,0,1134.4,528.8,1,0,0,4.5956,21.2234,,,
2017-06-13 00:00:00.000,Player2,17.133333333333333,0.0,1.0,2017-06-13 19:33:11.808,Theme-game 10vs10 ,True,2017-06-13 19:50:19.968,1.9726,69.6,18,559.5,0.0,21.0,22.7,18.5,102.8,185.763,367.09999999999997,29,19,0.0,0.0,181.33699999999996,115.1326,0,9.9467,,,,0,49,30,15,4,,42899,0,41,29,17,12,1.9726,115.1326,0.658,0.2447,0.0689,0.0141,0.0025,0.6385,0.2125,0.0741,0.0418,0.0176,0.2566,0.3965,0.3751,0.1924,0.1111,0.0763,0.0491,0.0411,0.0179,0.3849,0.0716,0.3899,1.1302,0.2668,0.1161,0.0696,1028,256.6769,0,0,208,2,0,2,,112.196,Bancu,0,9,8,1,0,18,9.9467,,,General,42899.82662,Theme-game 10vs10 ,42899.81472,185.763, training,450.4,82.6,24.6,5.7,1.3,352.4,73.3,22.6,10.7,4.7,0,0,0,,0,,0,429.6,143.5,101,47.2,25.2,16.3,9.8,8.5,4.3,228.7,14.2,532.1,412.8,55.2,19.2,9,8.6712,40.3092,,,
2017-06-13 00:00:00.000,Player2,5.916666666666667,0.0,0.4,2017-06-13 19:44:24.863,Second-half game,True,2017-06-13 19:50:19.968,0.8074,16.5,7,236.1,0.0,8.8,10.2,6.6,122.1,77.144,161.2,14,8,0.0,0.0,84.05599999999998,136.4669,0,11.8223,,,,0,21,15,6,2,,42899,0,20,14,9,5,0.8074,136.4669,0.2646,0.1132,0.0284,0.0036,0.0013,0.2394,0.0971,0.0384,0.0158,0.0056,0.0775,0.1653,0.1394,0.0749,0.0599,0.0352,0.0168,0.0167,0.0076,0.1891,0.025,0.1329,0.4879,0.1095,0.0607,0.0165,355,105.3517,0,0,86,0,0,0,,47.1311,Bancu,0,3,3,1,0,7,11.8223,,,General,42899.82662,Second-half game,42899.82251,77.144, training,138.4,39.1,10.8,1.7,0.6,113.8,32.3,11.8,4.8,1.8,0,0,0,,0,,0,91.2,60.9,39,18.2,12.8,7.6,3.6,3.5,1.8,111.3,5.2,134.4,186.2,22.5,9.8,2.2,7.8045,49.3382,,,
2017-06-13 00:00:00.000,Player2,103.18333333333334,6.0,2.8,2017-06-13 18:07:08.544,Session,True,2017-06-13 19:50:19.968,6.6159,86.5,39,1110.0,78.3,42.1,57.9,41.6,55.4,289.649,678.4,70,55,0.0,0.0,388.751,64.1175,0,5.2203,,,,0,240,141,43,12,,42899,0,213,136,50,20,6.6159,64.1175,2.3247,0.6517,0.1829,0.0299,0.0053,2.425,0.6899,0.2118,0.0721,0.0226,1.5708,1.3905,0.7978,0.4316,0.237,0.138,0.0845,0.0674,0.0475,1.7466,0.104,2.1557,3.6606,0.5099,0.2031,0.0865,6191,811.0436,0,0,667,5,0,5,,476.5683,Bancu,0,26,10,3,0,39,5.2203,,,General,42899.82662,Session,42899.75496,289.649, training,3017.7,316.2,84.7,15.1,2.9,2342.1,308.6,75.2,22.1,6.4,0,0,0,,0,,0,4120.5,522.8,231.6,111.5,57.7,32.7,19.1,15,11.5,1046.5,22.1,4585.2,1455.7,105.2,33.6,11.3,8.6712,19.7965,,,
2017-06-13 00:00:00.000,Player2,28.1,0.0,0.0,2017-06-13 18:07:10.271,warm-up and mov sk,True,2017-06-13 18:35:15.936,0.742,0.0,0,3.1,0.0,0.0,0.9,0.0,21.3,0.0,2.1999999999999997,1,1,0.0,0.0,2.1999999999999997,26.4043,0,1.8639,,,,0,26,12,1,0,,42899,0,13,15,1,0,0.742,26.4043,0.302,0.0291,0.0065,0.0004,0.0004,0.3451,0.0476,0.0108,0.0002,0,0.4919,0.0182,0.0031,0.0009,0.0009,0.0007,0,0,0,0.2257,0.0006,0.6261,0.1159,0,0,0,1686,78.8755,0,0,68,1,0,1,,88.6925,Bancu,0,0,0,0,0,0,1.8639,,,General,42899.77449,warm-up and mov sk,42899.75498,0, training,818.6,42.5,7.8,0.3,0.3,766.7,43.3,6.7,0.1,0,0,0,0,,0,,0,1514.4,10.2,1.7,0.5,0.5,0.3,0,0,0,158.4,0.3,1620.7,65.6,0,0,0,3.1467,0.8006,,,
2017-06-13 00:00:00.000,Player2,16.75,0.0,0.9,2017-06-13 19:10:27.551,Possession-10vs10 ,True,2017-06-13 19:27:11.520,1.8782,16.9,20,476.9,0.0,19.3,22.8,11.9,99.8,103.885,277.40000000000003,25,21,0.0,0.0,173.51500000000004,112.1328,0,9.6269,,,,0,54,40,13,8,,42899,0,49,41,19,6,1.8782,112.1328,0.6243,0.2159,0.0706,0.0107,0.0024,0.6095,0.2309,0.0895,0.0202,0.0041,0.2176,0.5243,0.3038,0.1995,0.1083,0.0539,0.0299,0.0247,0.0287,0.3556,0.0319,0.3237,1.2139,0.2368,0.087,0.0169,1005,242.7213,0,0,210,2,0,2,,111.3178,Bancu,0,17,1,2,0,20,9.6269,,,General,42899.81055,Possession-10vs10 ,42899.79893,103.885, training,434.9,83.7,26.5,5.5,1.3,335.4,81.5,27.4,7.1,1.4,0,0,0,,0,,0,411.6,187,85.9,48.6,25.9,13.2,7.4,5.9,6.9,204.7,7.6,496.7,442.7,48.6,14.4,2.3,7.7245,43.8439,,,
2017-06-13 00:00:00.000,Player5,27.733333333333334,0.0,0.3,2017-06-13 18:36:50.112,Square-5vs5 20x20m,True,2017-06-13 19:04:34.176,1.7564,0.0,1,79.80000000000001,0.0,2.3,9.5,0.0,52.8,0.0,40.300000000000004,7,11,0.0,0.0,40.300000000000004,63.3323,0,4.8152,,,,0,96,34,10,1,,42899,0,90,38,6,1,1.7564,63.3323,0.6664,0.1201,0.0288,0.0071,0.0003,0.7387,0.164,0.0271,0.003,0.001,0.5399,0.2965,0.0941,0.0395,0.0149,0.0094,0.0069,0.0029,0.0033,0.7461,0.0029,0.7312,1.0036,0.0216,0,0,1664,201.1097,0,0,102,0,0,0,,126.969,Briceag,0,1,0,0,0,1,4.8152,,,General,42899.79484,Square-5vs5 20x20m,42899.77558,0, training,740,80.1,16.1,4.2,0.2,720.5,88.8,12.7,1.4,0.3,0,0,0,,0,,0,1047.4,118.5,31.3,14.3,4.9,3.4,2.1,1.1,1.2,439.2,0.9,1200.1,459.5,4.7,0,0,4.8134,16.908,,,
2017-06-13 00:00:00.000,Player5,5.916666666666667,0.0,0.3,2017-06-13 19:44:24.863,Second-half game,True,2017-06-13 19:50:19.968,0.6811,0.0,8,136.09999999999997,0.0,6.7,6.7,0.0,101.1,40.481,79.0,7,7,0.0,0.0,38.519,115.1189,0,9.6462,,,,0,20,9,3,4,,42899,0,12,13,2,5,0.6811,115.1189,0.2514,0.0655,0.0169,0.0055,0.0022,0.2364,0.0673,0.0232,0.0049,0.0077,0.112,0.1832,0.074,0.0571,0.0216,0.0164,0.0091,0.0086,0.0046,0.1757,0.0187,0.1833,0.3877,0.0696,0.0405,0,355,85.9594,0,0,45,0,0,0,,35.8457,Briceag,0,7,1,0,0,8,9.6462,,,General,42899.82662,Second-half game,42899.82251,40.481, training,147,28.3,7.1,2.3,1,129.8,27.9,8.1,1.3,2.3,0,0,0,,0,,0,128.5,66.7,22,12.6,4.5,4,2.1,2.1,1.1,107,4.5,183.5,150.7,14.1,6.8,0,6.5912,38.3836,,,
2017-06-13 00:00:00.000,Player5,103.18333333333334,5.0,2.2,2017-06-13 18:07:08.544,Session,True,2017-06-13 19:50:19.968,5.9116,34.6,27,660.1,65.2,26.9,40.4,34.3,48.4,195.855,417.8,45,42,0.0,0.0,221.94500000000002,57.2925,0,4.4701,,,,0,221,100,29,13,,42899,0,180,101,23,22,5.9116,57.2925,2.2778,0.4538,0.1081,0.0272,0.0057,2.3292,0.5078,0.1369,0.0362,0.0289,2.0139,0.9528,0.4947,0.2423,0.133,0.0949,0.0677,0.0422,0.023,1.7902,0.057,2.6392,2.814,0.2626,0.1612,0.0346,6191,693.2843,0,0,406,0,0,0,,419.6908,Briceag,0,20,7,0,0,27,4.4701,,,General,42899.82662,Session,42899.75496,195.855, training,2848.7,254.4,53.1,13.7,2.7,2693.2,253,52.5,11.8,7.9,0,0,0,,0,,0,4417.7,366.7,151.9,65.1,32,22.2,15.1,9.9,5.6,1091.4,13.4,4909.9,1195.9,54,26.4,4.8,7.4889,14.169,,,
