date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2017-07-15 00:00:00.000,Player3,6.2,0.0,0.5,2017-07-15 11:24:18.295,Third-game,True,2017-07-15 11:30:30.540,0.8366,0.7,12,316.09999999999997,0.0,10.4,12.9,6.3,117.7,95.134,188.20000000000002,22,12,0.0,0.0,93.06600000000002,134.9303,0,11.9102,,,,0,18,14,7,5,,42931,0,9,10,11,11,0.8366,134.9303,0.2885,0.1046,0.0276,0.0078,0.0021,0.2583,0.0717,0.0422,0.0244,0.0094,0.0946,0.1567,0.1414,0.1279,0.0824,0.0389,0.0244,0.0163,0.0081,0.128,0.0181,0.1377,0.4428,0.1609,0.0944,0.0007,372,111.212,0,0,52,0,0,0,,47.1211,Barbut,0,5,6,1,0,12,11.9102,,,GD 1,42931.479520139,Third-game, 42931.475211759,95.134, training,142.5,38.3,10.5,3.5,1,126.9,26.4,13,7.4,2.8,0,0,0,,0,,0,130.5,57.6,39.2,28.5,16.5,8.7,5.9,3.9,1.9,75.1,4.5,164.6,159.4,32.6,15.6,0.1,6.7978,48.4287,,,
2017-07-15 00:00:00.000,Player3,6.05,0.0,0.4,2017-07-15 11:07:16.167,First-game,True,2017-07-15 11:13:18.596,0.6945,0.0,2,103.2,0.0,2.9,9.9,0.0,98.9,10.412,62.59999999999999,16,11,0.0,0.0,52.18799999999999,114.8002,0,9.9054,,,,0,27,23,7,4,,42931,0,21,22,11,5,0.6945,114.8002,0.2325,0.0779,0.0265,0.0081,0.0011,0.2218,0.0726,0.0409,0.0088,0.0045,0.0916,0.1718,0.0962,0.0406,0.0199,0.0149,0.0094,0.005,0.0024,0.2317,0.011,0.1701,0.4775,0.0366,0.0104,0,363,90.1087,0,0,45,1,0,1,,43.3438,Barbut,0,2,0,0,0,2,9.9054,,,GD 1,42931.467576354,First-game, 42931.463381574,10.412, training,137.3,35.8,12,3.7,0.4,122.7,31.3,15.1,2.8,1.4,0,0,0,,0,,0,100,65.1,29.2,11.9,5.9,4.5,2.8,1.3,0.7,138.2,2.9,161,192.1,7.7,1.7,0,6.3778,41.4897,,,
2017-07-15 00:00:00.000,Player3,50.45,5.0,2.0,2017-07-15 10:49:47.014,Session,True,2017-07-15 11:40:13.877,4.1628,3.5,31,906.1000000000001,50.0,28.2,48.8,23.5,70.0,214.673,514.8000000000001,76,53,0.0,0.0,300.12700000000007,82.5131,0,6.9165,,,,0,126,80,33,20,,42931,0,100,72,46,30,4.1628,82.5131,1.4871,0.4258,0.1227,0.0359,0.0074,1.4407,0.3797,0.1641,0.0704,0.0291,0.8815,0.8494,0.5621,0.3913,0.2151,0.0967,0.0662,0.0381,0.0197,0.9637,0.079,1.201,2.3018,0.4453,0.2112,0.0035,3027,525.3096,0,0,222,3,0,3,,274.0631,Barbut,0,16,11,4,0,31,6.9165,,,GD 1,42931.486271736,Session, 42931.451238588,214.673, training,1343.2,190.4,50.4,15.8,3.3,1174.5,162,57.8,21.3,8.2,0,0,0,,0,,0,1759.4,314.3,162.2,94.5,48.9,24.3,16.9,9.6,4.7,573.3,18.8,2012,888.4,91,35,0.5,6.8112,26.8261,,,
2017-07-15 00:00:00.000,Player3,15.95,0.0,0.1,2017-07-15 10:49:51.764,Warm-up,True,2017-07-15 11:05:48.201,0.5721,0.0,2,69.2,0.0,1.9,3.3,0.0,28.9,9.509,28.600000000000005,4,4,0.0,0.0,19.091000000000005,35.8689,0,2.7065,,,,0,27,4,4,0,,42931,0,24,4,4,0,0.5721,35.8689,0.2233,0.0384,0.0069,0.0019,0.0001,0.247,0.0473,0.0058,0.0015,0,0.2184,0.0692,0.0328,0.0406,0.018,0.0058,0.0026,0.0016,0.0003,0.1824,0.0003,0.2751,0.2386,0.0489,0.0095,0,957,64.9713,0,0,16,0,0,0,,51.8829,Barbut,0,0,1,1,0,2,2.7065,,,GD 1,42931.462363449,Warm-up, 42931.451293565,9.509, training,499.3,27.5,4.1,1.5,0.2,392.7,27.5,3.1,0.7,0,0,0,0,,0,,0,791.7,28.7,9.8,9,4.2,1.7,0.9,0.6,0.1,109.8,0.1,838.1,107,9.8,1.7,0,5.6,8.5093,,,
2017-07-15 00:00:00.000,Player3,6.183333333333334,0.0,0.4,2017-07-15 11:16:06.374,Second-game,True,2017-07-15 11:22:17.593,0.9062,0.7,8,240.50000000000003,0.0,7.2,12.5,5.2,127.1,51.871,122.30000000000001,17,15,0.0,0.0,70.429,146.5485,0,12.8009,,,,0,26,17,8,7,,42931,0,22,20,10,7,0.9062,146.5485,0.3071,0.1101,0.0302,0.0089,0.0026,0.281,0.0994,0.0396,0.0168,0.0106,0.0566,0.2419,0.1735,0.1182,0.0516,0.0207,0.0152,0.0057,0.006,0.1936,0.0231,0.113,0.6167,0.1246,0.0512,0.0007,371,119.2757,0,0,53,2,0,2,,53.8014,Barbut,0,4,3,1,0,8,12.8009,,,GD 1,42931.473814734,Second-game, 42931.469518218,51.871, training,132.5,44.1,12.3,4,1.1,116.8,38.6,14.1,5,2.8,0,0,0,,0,,0,64.3,87.1,49.2,28.6,12.2,5.5,3.6,1.4,1.3,112.5,5.6,109.1,227.8,25.7,8.6,0.1,6.8045,59.0897,,,
2017-07-15 00:00:00.000,Player3,6.066666666666666,0.0,0.4,2017-07-15 11:33:58.415,Fourth-game,True,2017-07-15 11:40:02.772,0.7769,2.1,7,176.89999999999998,0.0,6.0,10.5,4.6,111.5,47.748,112.9,17,11,0.0,0.0,65.15200000000002,128.068,0,11.2611,,,,0,25,22,7,4,,42931,0,23,16,10,7,0.7769,128.068,0.2542,0.0924,0.0315,0.0093,0.0016,0.2435,0.0853,0.0357,0.0189,0.0046,0.078,0.2058,0.1183,0.064,0.0432,0.0164,0.0146,0.0094,0.0029,0.1979,0.0264,0.1425,0.5124,0.0743,0.0456,0.0021,364,102.9501,0,0,55,0,0,0,,47.1407,Barbut,0,5,1,1,0,7,11.2611,,,GD 1,42931.486143206,Fourth-game, 42931.481926111,47.748, training,130.8,42.1,11.5,3.1,0.6,123,34.1,12.5,5.4,1.2,0,0,0,,0,,0,95.5,74.1,34.8,16.5,10.1,3.9,3.7,2.4,0.7,116.9,5.7,146.4,195,15.2,7.4,0.3,6.8112,48.6687,,,
2017-07-15 00:00:00.000,Player6,50.45,3.0,1.5,2017-07-15 10:49:47.014,Session,True,2017-07-15 11:40:13.877,4.339,10.1,32,825.9,30.0,26.8,40.7,23.1,72.3,145.317,455.6000000000001,47,46,0.0,0.0,310.2830000000001,86.0052,0,7.0651,,,,0,102,104,30,16,,42931,0,104,90,38,9,4.339,86.0052,1.5587,0.4372,0.1132,0.0247,0.0055,1.5329,0.4527,0.167,0.038,0.009,0.7688,0.9241,0.6963,0.3703,0.1908,0.1022,0.0628,0.0381,0.024,1.124,0.0377,1.2022,2.572,0.4194,0.1352,0.0101,3027,536.6233,0,0,198,0,0,0,,238.4519,Burlacu,0,19,13,0,0,32,7.0651,,,GD 1,42931.486271736,Session, 42931.451238588,145.317, training,1337.5,192,51.8,13.4,3.5,1157.6,194.3,59.8,14.4,2.6,0,0,0,,0,,0,1596.7,333.7,193.9,96.3,47.4,25.9,16.5,9.5,5.8,691.1,10.1,1931.2,984.2,87.6,22.5,1.4,7.3289,27.5562,,,
2017-07-15 00:00:00.000,Player6,6.066666666666666,0.0,0.3,2017-07-15 11:33:58.415,Fourth-game,True,2017-07-15 11:40:02.772,0.6897,0.0,1,99.70000000000002,0.0,2.6,7.9,0.0,97.3,11.803,57.800000000000004,12,9,0.0,0.0,45.997,113.685,0,9.6831,,,,0,21,24,5,4,,42931,0,26,15,9,3,0.6897,113.685,0.222,0.0804,0.0209,0.0061,0.0016,0.2329,0.088,0.0263,0.0083,0.0032,0.0878,0.2039,0.1189,0.0419,0.0214,0.0113,0.007,0.0064,0.0037,0.1794,0.008,0.1526,0.4943,0.031,0.0118,0,364,88.5286,0,0,26,0,0,0,,36.6678,Burlacu,0,1,0,0,0,1,9.6831,,,GD 1,42931.486143206,Fourth-game, 42931.481926111,11.803, training,131.2,37.8,10,3.4,0.8,126.1,40.5,10.4,3.2,0.9,0,0,0,,0,,0,117.8,74.3,34.4,12.7,6.3,3.4,1.8,1.7,1.1,108.7,2.1,170,185.9,6.5,1.9,0,6.5956,42.0807,,,
2017-07-15 00:00:00.000,Player6,15.95,0.0,0.1,2017-07-15 10:49:51.764,Warm-up,True,2017-07-15 11:05:48.201,0.6072,0.0,3,68.3,0.0,2.2,0.0,0.0,30.6,13.02,25.5,0,2,0.0,0.0,12.48,38.0712,0,2.8614,,,,0,18,10,2,0,,42931,0,18,6,0,0,0.6072,38.0712,0.2359,0.039,0.0085,0.0008,0,0.2718,0.0439,0.007,0.0003,0,0.2068,0.0907,0.0385,0.0428,0.0126,0.0094,0.0029,0.0006,0,0.2029,0,0.2762,0.278,0.04,0.013,0,957,68.6477,0,0,13,0,0,0,,48.4727,Burlacu,0,2,1,0,0,3,2.8614,,,GD 1,42931.462363449,Warm-up, 42931.451293565,13.02, training,497.3,27.1,5.9,0.9,0.3,394.9,26.3,3.7,0.2,0,0,0,0,,0,,0,769.4,34.9,12.1,10.2,3.2,2.2,0.9,0.2,0,123.5,0,824.7,121.4,8.2,2.3,0,5.7423,9.3456,,,
2017-07-15 00:00:00.000,Player6,6.05,0.0,0.3,2017-07-15 11:07:16.167,First-game,True,2017-07-15 11:13:18.596,0.7427,0.0,2,89.80000000000001,0.0,2.3,8.0,0.0,104.6,0.0,42.4,10,10,0.0,0.0,42.4,122.7669,0,10.3559,,,,0,28,29,6,4,,42931,0,26,30,9,1,0.7427,122.7669,0.253,0.0855,0.0227,0.0034,0.0015,0.2362,0.1024,0.0292,0.0078,0.001,0.0632,0.2476,0.115,0.0474,0.0209,0.0082,0.0069,0.0023,0.0007,0.2271,0.0034,0.1283,0.6,0.0144,0,0,363,94.2071,0,0,46,0,0,0,,41.4105,Burlacu,0,2,0,0,0,2,10.3559,,,GD 1,42931.467576354,First-game, 42931.463381574,0, training,133.2,39.3,11.9,2.6,1.1,113.6,45.9,11.5,3.1,0.3,0,0,0,,0,,0,76,89.5,36.3,15.7,6.9,3.1,2.3,0.7,0.2,130.6,1.2,127.2,232.2,3.1,0,0,4.8178,51.3655,,,
