date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,rpeTl
2017-11-07 00:00:00.000,Player3,14.55,0.0,1.281841156306038,2017-11-07 18:15:56.448,Passing-drill square,2017-11-07 18:30:29.088,1.0449,0.0,0,96.2,0.0,0.0,25.636823126120756,0.0,56.89436665657089,0.0,57.60000000000001,1,32,0,0,96.2,71.8143,0,5.916,0,6,26,24,8,43046,0,55,19,0,1,1.0449,71.8143,0.2512,0.0758,0.048,0.0114,0.0023,0.5107,0.1346,0.0095,0.0009,0.0006,0.3276,0.2902,0.0908,0.0386,0.0221,0.0133,0.0069,0.0056,0.0033,0.2401,0.0064,0.394,0.6407,0.0102,0,0,873,129.6239,0,0,34,0,0,0,90.5601,Barbut,0,0,0,0,0,0,5.916,GD-3,43046.77117,Passing-drill square,43046.76107,0, training,300.9,47.5,28.5,7.3,1.5,413.5,68.5,4.9,0.3,0.2,0,0,0,0,0,567.8,101.4,31.7,14.8,8.4,5.2,2.4,1.8,1.2,136.1,2.3,623.7,247.2,2.2,0,0,4.8267,23.113,False,
2017-11-07 00:00:00.000,Player3,15.05,0.0,0.9369496395409018,2017-11-07 18:33:55.584,Possession-10v10 conquer line,2017-11-07 18:48:59.327,1.5148,5.7,11,283.00000000000006,0.0,10.276018828464794,29.39696710546856,9.147202549415178,79.83839061763618,72.975,174.2,19,13,0,0,210.02500000000006,100.6482,0,8.3147,0,39,38,8,5,43046,0,44,29,14,5,1.5148,100.6482,0.5335,0.1544,0.0472,0.005,0.0018,0.5409,0.1528,0.0612,0.0155,0.0024,0.2471,0.3548,0.2105,0.1088,0.065,0.0333,0.0227,0.0148,0.0127,0.4192,0.0257,0.3748,0.9461,0.1209,0.0673,0.0057,903,188.4804,0,0,68,3,0,3,96.3292,Barbut,0,8,3,0,0,11,8.3147,GD-3,43046.78402,Possession-10v10 conquer line,43046.77356,72.975, training,383.9,67.2,17.2,2.4,1,343.3,62.7,19.5,5.4,0.7,0,0,0,0,0,397.9,130.1,60.5,27.4,15.1,7.9,6.1,3.7,2.9,245.9,5.8,498,368.5,24.9,11.1,0.8,7.1134,35.8796,False,
2017-11-07 00:00:00.000,Player3,16.916666666666668,0.0,0.8954813883380396,2017-11-07 18:51:46.944,Game-11v11,2017-11-07 19:08:42.143,1.6702,6.4,7,240.69999999999996,0.0,8.343160996133742,28.403138330121195,9.269179997409704,77.37194760755924,41.195,145.7,19,13,0,0,199.50499999999997,98.731,0,7.9349,0,44,41,8,5,43046,0,50,30,14,5,1.6702,98.731,0.6109,0.1671,0.0334,0.0087,0.003,0.6058,0.1716,0.0494,0.0159,0.0044,0.4082,0.345,0.1949,0.095,0.0673,0.0329,0.0167,0.0084,0.0038,0.4815,0.0166,0.6141,0.915,0.0999,0.0348,0.0064,1015,202.127,0,0,70,0,0,0,105.8025,Barbut,0,5,2,0,0,7,7.9349,GD-3,43046.79771,Game-11v11,43046.78596,41.195, training,422.8,73.4,16.6,3.7,1.2,398.5,74,18.3,5.2,1.3,0,0,0,0,0,469.9,128.4,59.2,26,17,8.3,4.2,2,1,294.9,4.1,627.7,359.9,20.7,5.8,0.9,7.0689,29.7143,False,
2017-11-07 00:00:00.000,Player3,52.93333333333333,4.0,2.2,2017-11-07 18:15:55.583,Session,2017-11-07 19:08:51.648,4.3621,12.1,18,620.0000000000001,40.5,20.5,70.9,23.6,64.9,114.169,377.59999999999997,39,58,0,0,505.83100000000013,82.407,0,6.69,0,90,105,40,18,43046,0,150,78,28,11,4.3621,82.407,1.458,0.3983,0.1286,0.0251,0.0071,1.7242,0.461,0.1201,0.0322,0.0074,1.1095,0.9908,0.4962,0.2424,0.1544,0.0795,0.0464,0.0288,0.0198,1.1456,0.0487,1.513,2.5039,0.231,0.1021,0.0121,3176,533.286,0,0,172,3,0,3,311.621,Barbut,0,13,5,0,0,18,6.69,GD-3,43046.79782,Session,43046.76106,114.169, training,1328.9,189.4,62.3,13.4,3.7,1315.8,207.2,42.7,10.9,2.2,0,0,0,0,0,1816.8,360.4,151.4,68.2,40.5,21.4,12.7,7.5,5.1,680.3,12.2,2133.4,976.7,47.8,16.9,1.7,7.1134,26.0696,False,211.73333333333332
2017-11-07 00:00:00.000,Player5,14.55,0.0,1.129558394535965,2017-11-07 18:15:56.448,Passing-drill square,2017-11-07 18:30:29.088,0.975,0.0,0,98.8,0.0,0.0,22.591167890719298,0.0,53.319429021296024,0.0,54.699999999999996,1,27,0,0,98.8,67.008,0,5.5741,0,10,31,22,5,43046,0,48,14,1,0,0.975,67.008,0.2398,0.0832,0.0377,0.0136,0.0011,0.4466,0.1396,0.0132,0.0001,0,0.2996,0.2707,0.1181,0.0441,0.0207,0.0098,0.0095,0.0038,0.0046,0.1877,0.0063,0.362,0.5977,0.0152,0,0,873,122.1307,0,0,41,0,0,0,69.8393,Briceag,0,0,0,0,0,0,5.5741,GD-3,43046.77117,Passing-drill square,43046.76107,0, training,307,56.7,24.5,8.3,1,393.9,75.9,5.7,0.1,0,0,0,0,0,0,595.2,95.4,38.5,15.7,7.6,3.6,3.3,1.4,1.7,108.5,2.2,648.1,221.7,3.3,0,0,4.7867,21.4638,False,
2017-11-07 00:00:00.000,Player5,52.93333333333333,4.0,2.4,2017-11-07 18:15:55.583,Session,2017-11-07 19:08:51.648,4.1929,58.6,24,732.5,40.5,26.0,76.6,25.9,63.4,180.467,473.0,55,67,0,0,552.033,79.2116,0,6.684,0,77,116,48,19,43046,0,109,79,35,20,4.1929,79.2116,1.3227,0.4213,0.1594,0.0441,0.0071,1.5644,0.4496,0.1457,0.0498,0.0289,1.0706,0.8971,0.4838,0.2595,0.1482,0.0858,0.0738,0.0393,0.0274,1.0091,0.0985,1.4887,2.2778,0.246,0.1219,0.0586,3176,532.8068,0,0,224,0,0,0,249.47,Briceag,0,19,4,1,0,24,6.684,GD-3,43046.79782,Session,43046.76106,180.467, training,1319.2,206.5,74.7,20.6,4.3,1268.6,210.8,49,15.4,7.4,0,0,0,0,0,1889.3,323.6,147.6,73.3,40,22.1,17.3,10,7,624,22.3,2217.8,879.9,50.9,20.2,7.7,8.1623,23.1953,False,211.73333333333332
2017-11-07 00:00:00.000,Player5,16.916666666666668,0.0,1.2993476622929574,2017-11-07 18:51:46.944,Game-11v11,2017-11-07 19:08:42.143,1.6962,25.5,13,345.4,0.0,12.827060954900805,41.28424884400022,12.531660769959156,81.09816837475226,84.136,226.3,30,25,0,0,261.264,100.266,0,8.6421,0,36,49,17,8,43046,0,31,43,17,13,1.6962,100.266,0.5483,0.1852,0.0776,0.0166,0.0021,0.5629,0.1887,0.0724,0.0252,0.0171,0.3632,0.3437,0.2111,0.1191,0.0698,0.0429,0.0366,0.0202,0.0133,0.4328,0.0435,0.5457,0.9409,0.1254,0.0587,0.0255,1015,220.1267,0,0,117,0,0,0,94.2563,Briceag,0,9,3,1,0,13,8.6421,GD-3,43046.79771,Game-11v11,43046.78596,84.136, training,387.3,83,32.6,7,1.5,385.2,80.8,25,8.1,4.5,0,0,0,0,0,467.1,123.3,63.4,32.7,19,11.3,8,4.8,3.2,272.2,10,610.5,365.5,25.9,9.8,3.3,8.1623,29.803,False,
2017-11-07 00:00:00.000,Player5,15.05,0.0,0.9999230936691301,2017-11-07 18:33:55.584,Possession-10v10 conquer line,2017-11-07 18:48:59.327,1.3918,33.099999999999994,11,288.09999999999997,0.0,10.802456483322397,30.12516375855905,13.25129708177048,74.22393544048299,96.331,191.8,24,15,0,0,191.76899999999995,92.4807,0,7.8394,0,30,35,9,6,43046,0,30,22,17,7,1.3918,92.4807,0.4741,0.1514,0.044,0.0139,0.0039,0.4889,0.1193,0.0601,0.0244,0.0118,0.3257,0.2821,0.1546,0.0963,0.0576,0.0331,0.0277,0.0153,0.0094,0.3413,0.0487,0.4659,0.7242,0.1054,0.0632,0.0331,903,177.7056,0,0,66,0,0,0,76.016,Briceag,0,10,1,0,0,11,7.8394,GD-3,43046.78402,Possession-10v10 conquer line,43046.77356,96.331, training,369.2,64.7,17.2,5.3,1.8,364.8,51.8,18.3,7.2,2.9,0,0,0,0,0,475.1,104.5,45.7,24.9,13.4,7.2,6,3.8,2.1,210.4,10.1,583.3,283.4,21.7,10.4,4.4,8.1623,27.2919,False,
2017-11-07 00:00:00.000,Player7,14.55,0.0,1.169720550672966,2017-11-07 18:15:56.448,Passing-drill square,2017-11-07 18:30:29.088,1.1712,0.0,0,127.6,0.0,0.0,23.39441101345932,0.0,64.28326320619286,0.0,80.3,3,25,0,0,127.6,80.4971,0,6.7494,0,22,37,16,9,43046,0,50,27,3,0,1.1712,80.4971,0.3142,0.1103,0.0457,0.0115,0.0033,0.474,0.1944,0.0167,0.0012,0,0.3248,0.2969,0.1424,0.0473,0.0274,0.0233,0.0106,0.0075,0.0046,0.2796,0.0069,0.4263,0.7235,0.0215,0,0,873,147.8835,0,0,44,0,0,0,99.8543,Buzan,0,0,0,0,0,0,6.7494,GD-3,43046.77117,Passing-drill square,43046.76107,0, training,306.2,69.2,25.6,7.1,1.7,355.5,99.5,7.8,0.5,0,0,0,0,0,0,510.8,104.4,43.6,16.7,9.3,8,3.5,2.5,1.7,170.1,2.5,595.7,272.7,4.7,0,0,4.5334,25.1289,False,
2017-11-07 00:00:00.000,Player7,15.05,0.0,1.5040428641944183,2017-11-07 18:33:55.584,Possession-10v10 conquer line,2017-11-07 18:48:59.327,1.9078,17.8,23,484.5,0.0,17.88284922198631,47.20013646364454,12.919936002860716,101.34981920741036,109.892,280.1,18,19,0,0,374.608,126.7618,0,10.6563,0,54,38,15,4,43046,0,59,34,7,11,1.9078,126.7618,0.6836,0.2034,0.0531,0.0122,0.0019,0.6434,0.2269,0.0574,0.0197,0.0061,0.126,0.4584,0.3241,0.2044,0.1066,0.0646,0.0331,0.0248,0.0171,0.5148,0.0339,0.2248,1.3009,0.2722,0.0921,0.0178,903,241.561,0,0,26,0,0,0,113.8949,Buzan,0,16,7,0,0,23,10.6563,GD-3,43046.78402,Possession-10v10 conquer line,43046.77356,109.892, training,392.3,77,20.4,4.6,1,303,79.6,18.4,5.4,1.6,0,0,0,0,0,245.5,166.5,91.1,48.5,24.3,14.5,7.3,5.9,3.6,287.8,8.3,322,508,55.7,15.2,2.4,7.6223,50.2934,False,
