date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,gdType,rpeTl
2018-01-12 00:00:00.000,Player1,67.86666666666666,2.0,0.6,2018-01-12 10:06:07.487,Session,2018-01-12 11:13:59.520,3.1633,0.0,0,10.5,21.7,0.0,2.8,0.0,34.3,0.0,5.1000000000000005,6,2,,,10.5,46.6101,0,3.2066,43112,0,51,7,2,0,43112,0,63,10,6,0,3.1633,46.6101,1.4957,0.0514,0.0088,0.0007,0,1.5126,0.0812,0.0105,0.0025,0,0.931,0.3592,0.042,0.0054,0.0028,0.0019,0,0.0004,0,1.8207,0,1.2689,1.8944,0,0,0,4072,327.6856,0,0,43,0,0,0,236.1014,Baluta,0,0,0,0,0,0,3.2066,GD-2 (morning),43112.46805,Session,43112.42092,0, training,2206.7,50.6,7,0.4,0,1743.5,56.5,6.3,1.2,0,0,0,0,43112,43112,2908.6,149.3,14.2,2.1,1.1,0.7,0,0.1,0,996.1,0,3164.9,907.3,0,0,0,4.1623,14.9698,True,GD-2,135.73333333333332
2018-01-12 00:00:00.000,Player1,17.766666666666666,0.0,0.1,2018-01-12 10:06:06.624,Boxes-6v2,2018-01-12 10:23:52.800,0.6067,0.0,0,6.1,0.0,0.0,2.6,0.0,25.5,0.0,3.3,6,2,,,6.1,34.1477,0,2.4469,43112.00454,0,22,6,2,0,43112,0,15,8,6,0,0.6067,34.1477,0.238,0.0301,0.0075,0.0007,0,0.2789,0.0401,0.0089,0.0025,0,0.4399,0.0268,0.006,0.0028,0.0028,0.0005,0,0,0,0.1279,0,0.5056,0.1011,0,0,0,1066,65.4703,0,0,33,0,0,0,59.7145,Baluta,0,0,0,0,0,0,2.4469,GD-2 (morning),43112.43325,Boxes-6v2,43112.42091,0, training,504.7,37.3,6.6,0.4,0,474.8,35.6,5.6,1.2,0,0,0,0,43112,43112,959.8,12.4,2.8,1.3,1.1,0.3,0,0,0,88.5,0,1015.5,50.7,0,0,0,3.7667,2.1572,False,GD-2,
2018-01-12 00:00:00.000,Player2,29.666666666666668,0.0,0.5,2018-01-12 10:25:05.376,11v1,2018-01-12 10:54:46.080,1.5658,18.9,9,221.60000000000002,0.0,8.1,17.3,9.5,40.4,74.276,135.1,5,4,,,147.324,52.7801,0,4.0087,43112,0,40,20,3,1,43112,0,27,25,5,0,1.5658,52.7801,0.5996,0.1286,0.015,0.0038,0.0004,0.6575,0.1188,0.0375,0.0046,0,0.532,0.3352,0.151,0.0865,0.0649,0.0291,0.0138,0.0102,0.0067,0.3261,0.0104,0.6501,0.7415,0.1,0.0554,0.0189,1780,179.0866,0,0,110,0,0,0,97.1547,Bancu,0,3,6,0,0,9,4.0087,GD-2 (morning),43112.4547,11v1,43112.43409,74.276, training,993.4,62.6,10.5,2.6,0.2,639.4,55.8,14.3,1.4,0,0,0,0,43112.00035,43112,1367.5,121.8,44.7,21.2,14.1,6.1,3.3,2,1.3,196.2,2,1460.8,287.1,20.6,9.1,2.6,7.4823,14.5939,False,GD-2,
2018-01-12 00:00:00.000,Player2,17.766666666666666,0.0,0.2,2018-01-12 10:06:06.624,Boxes-6v2,2018-01-12 10:23:52.800,0.8011,0.0,0,9.799999999999999,0.0,0.0,5.2,0.0,34.3,0.0,4.800000000000001,9,6,,,9.799999999999999,45.088,0,3.3806,43112.01494,0,35,25,6,0,43112,0,26,22,7,2,0.8011,45.088,0.2896,0.0588,0.0146,0.0017,0.0001,0.3296,0.0857,0.0166,0.0037,0.0007,0.4645,0.0652,0.0155,0.005,0.0019,0.0022,0.0004,0,0,0.2461,0.0003,0.5869,0.2142,0,0,0,1066,90.4523,0,0,46,0,0,0,83.727,Bancu,0,0,0,0,0,0,3.3806,GD-2 (morning),43112.43325,Boxes-6v2,43112.42091,0, training,459.1,65,13.5,1.6,0.1,447,67.8,10,1.8,0.3,0,0,0,43112.00052,43112,856.7,32,7.7,2.7,0.9,0.9,0.2,0,0,165,0.1,959.4,106.8,0,0,0,3.1734,5.0084,False,GD-2,
2018-01-12 00:00:00.000,Player2,17.45,0.0,1.2,2018-01-12 10:56:31.488,Game-11v11,2018-01-12 11:13:58.656,1.9073,0.0,14,397.6000000000001,0.0,13.4,39.6,0.0,86.9,80.794,213.79999999999998,22,20,,,316.8060000000001,109.3032,0,9.0754,43112.00001,0,54,43,18,2,43112,0,55,42,13,9,1.9073,109.3032,0.6466,0.1852,0.0655,0.0124,0.0008,0.6925,0.2093,0.068,0.0176,0.0097,0.3657,0.4264,0.3126,0.1838,0.0915,0.0451,0.0266,0.022,0.0122,0.405,0.0164,0.5013,1.1317,0.1936,0.0808,0,1047,238.4524,0,0,165,1,0,1,106.8436,Bancu,0,10,4,0,0,14,9.0754,GD-2 (morning),43112.46804,Game-11v11,43112.45592,80.794, training,405.5,83.8,27.9,6.2,0.5,407.8,82.6,24.2,5.9,2.6,0,0,0,43112.00094,43112.00258,462.2,153.3,88.8,45.8,22.3,11.8,7.1,5.6,3.3,242.6,4.2,570.1,423.2,40.1,13.6,0,6.6889,36.7335,False,GD-2,
2018-01-12 00:00:00.000,Player2,67.86666666666666,3.0,1.7,2018-01-12 10:06:07.487,Session,2018-01-12 11:13:59.520,4.3828,18.9,23,629.0,32.6,21.7,59.5,24.4,50.1,155.071,353.70000000000005,36,30,,,473.929,64.5791,0,5.0753,43112,0,129,88,27,3,43112,0,108,89,25,11,4.3828,64.5791,1.5862,0.3729,0.0951,0.0179,0.0013,1.7371,0.414,0.1221,0.0258,0.0103,1.4627,0.8267,0.4792,0.2753,0.1582,0.0765,0.0408,0.0322,0.019,0.9852,0.027,1.8464,2.0877,0.2936,0.1362,0.0189,4072,518.6402,0,0,321,2,0,2,294.3249,Bancu,0,13,10,0,0,23,5.0753,GD-2 (morning),43112.46805,Session,43112.42092,155.071, training,1955.4,212.4,51.9,10.4,0.8,1574.2,206.5,48.5,9.1,2.9,0,0,0,43112.00286,43112.00453,2858.8,307.1,141.2,69.7,37.3,18.8,10.6,7.6,4.6,610.1,6.3,3168.8,817.3,60.7,22.7,2.6,7.4823,17.1361,False,GD-2,203.59999999999997
2018-01-12 00:00:00.000,Player3,67.86666666666666,3.0,2.0,2018-01-12 10:06:07.487,Session,2018-01-12 11:13:59.520,4.9561,62.300000000000004,24,810.6999999999999,32.6,26.9,70.7,31.3,57.0,293.173,493.2,43,53,,,517.5269999999999,73.027,0,5.8103,43112.00001,0,138,84,39,14,43112,0,135,102,27,16,4.9561,73.027,1.8496,0.4002,0.1098,0.027,0.0074,1.9334,0.4336,0.1356,0.0451,0.0143,1.519,0.8276,0.4352,0.3175,0.1715,0.1081,0.0548,0.0479,0.03,1.3635,0.0809,2.064,2.2723,0.3266,0.2309,0.0623,4072,593.0973,0,0,210,2,0,2,338.5336,Barbut,0,8,13,3,0,24,5.8103,GD-2 (morning),43112.46805,Session,43112.42092,293.173, training,1807.6,206.8,52.2,12.7,3.8,1710.2,207.8,51.6,15,4.3,0,0,0,43112.00819,43112.00478,2603.4,311.3,131.4,77.1,37.6,23.5,11.9,10.5,6.8,840.4,18.1,3026.8,932.2,66.3,38.4,8.3,8.2067,18.7426,False,GD-2,203.59999999999997
2018-01-12 00:00:00.000,Player3,17.45,0.0,0.9,2018-01-12 10:56:31.488,Game-11v11,2018-01-12 11:13:58.656,1.8418,5.1000000000000005,9,312.59999999999997,0.0,10.2,32.9,10.2,83.8,68.248,185.29999999999998,22,23,,,244.35199999999998,105.5444,0,8.7424,43112.00009,0,48,39,17,6,43112,0,65,36,14,8,1.8418,105.5444,0.6446,0.1814,0.051,0.0088,0.0053,0.6847,0.1727,0.0642,0.0222,0.0068,0.3321,0.4307,0.252,0.1273,0.0687,0.0376,0.0189,0.0165,0.0157,0.5142,0.0279,0.5158,1.1327,0.1251,0.0632,0.0051,1047,229.0374,0,0,88,1,0,1,104.1463,Barbut,0,6,3,0,0,9,8.7424,GD-2 (morning),43112.46804,Game-11v11,43112.45592,68.248, training,408.3,77,22.5,4.5,2.5,432.6,67.8,22.6,7.2,1.9,0,0,0,43112.00152,43112.00334,431.8,156.9,74.5,34,17.1,9.5,4.7,4.1,3.6,303.5,7.2,572.8,437.1,25.8,10.5,0.7,7.2512,36.355,False,GD-2,
2018-01-12 00:00:00.000,Player3,29.666666666666668,0.0,1.0,2018-01-12 10:25:05.376,11v1,2018-01-12 10:54:46.080,2.0698,57.2,15,470.5,0.0,16.1,30.2,18.0,54.1,224.925,295.09999999999997,11,15,,,245.575,69.7671,0,5.4648,43112,0,41,15,10,5,43112,0,31,20,4,7,2.0698,69.7671,0.8118,0.143,0.0375,0.0138,0.0015,0.8516,0.1472,0.0409,0.0161,0.0065,0.5993,0.3035,0.1573,0.1754,0.0978,0.0664,0.0344,0.0305,0.0137,0.5391,0.0523,0.8064,0.837,0.2015,0.1677,0.0572,1780,244.1313,0,0,64,1,0,1,125.5226,Barbut,0,2,10,3,0,15,5.4648,GD-2 (morning),43112.4547,11v1,43112.43409,224.925, training,854.9,56.9,12.4,4.4,0.7,777.4,54,12.7,4.7,2,0,0,0,43112.00191,43112.00001,1199.9,112.5,44.7,36.7,18.3,12.2,6.6,6,2.9,329.7,10.6,1355.3,348.8,40.5,27.9,7.6,8.2067,17.3979,False,GD-2,
2018-01-12 00:00:00.000,Player3,17.766666666666666,0.0,0.4,2018-01-12 10:06:06.624,Boxes-6v2,2018-01-12 10:23:52.800,0.9093,0.0,0,27.500000000000004,0.0,0.0,10.9,0.0,39.6,0.0,12.7,10,15,,,27.500000000000004,51.1804,0,3.9859,43112,0,49,30,12,3,43112,0,39,46,9,1,0.9093,51.1804,0.3274,0.0756,0.0213,0.0044,0.0007,0.3281,0.1134,0.0306,0.0068,0.0011,0.4625,0.093,0.026,0.0148,0.005,0.004,0.0015,0.0009,0.0006,0.3004,0.0007,0.6091,0.3002,0,0,0,1066,106.6482,0,0,58,0,0,0,99.2562,Barbut,0,0,0,0,0,0,3.9859,GD-2 (morning),43112.43325,Boxes-6v2,43112.42091,0, training,454.3,72.4,17.3,3.8,0.6,412.6,85.4,16.3,3.1,0.4,0,0,0,43112.002,43112.00037,800.3,41.7,12.2,6.4,2.2,1.8,0.6,0.4,0.3,200,0.3,921.3,144.9,0,0,0,3.7423,6.7905,False,GD-2,
