date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,gdType,rpeTl
2018-01-17 00:00:00.000,Player1,4.866666666666666,0.0,0.5,2018-01-17 18:03:29.952,1st-block,2018-01-17 18:08:21.120,0.7606,0.0,9,595.2999999999998,0.0,15.3,0.0,0.0,121.7,213.229,217.8,0,7,,,4.570999999999998,156.2817,0,12.3694,,0,5,2,7,0,1st block,43117,0,10,7,0,0,0.7606,156.2817,0.2973,0.031,0.0159,0.0026,0,0.3523,0.0557,0.0057,0,0,0.0464,0.0302,0.0734,0.3775,0.1529,0.0444,0.0113,0.0073,0.0015,0.0153,0.0004,0.0515,0.1085,0.3873,0.2132,0,292,90.6088,0,0,11,0,0,0,30.7167,Baluta,0,0,0,0,9,9,12.3694,108,0,GD-4 (afternoon),43117.7558,1st-block,43117.75243,213.229, training,109.3,10.5,7.8,1.9,0,143.3,17.1,2,0,0,0,0,0,108,0,139.5,10,17,71.8,30.2,9.4,2.7,1.9,0.3,9,0.1,144.4,34.7,75.5,37.3,0,6.1934,49.2292,False,GD+3-4,
2018-01-17 00:00:00.000,Player1,59.833333333333336,5.5,2.0,2018-01-17 17:20:33.503,Session,2018-01-17 18:20:24.288,4.4132,0.0,31,1925.5,57.5,50.0,27.5,0.0,57.2,711.767,722.4,19,41,,,10.632999999999925,73.7589,0,5.7805,,0,52,41,33,8,3rd block,43117,0,76,50,12,7,4.4132,73.7589,1.6343,0.2404,0.0835,0.0297,0.0039,2.027,0.3029,0.0714,0.0134,0.0068,1.2176,0.3392,0.4179,1.2031,0.4574,0.1545,0.0466,0.0244,0.0144,0.513,0.0251,1.3996,1.1445,1.1575,0.7118,0,3590,520.7895,0,0,70,1,0,1,240.2972,Baluta,0,3,1,0,27,31,5.7805,91,0,GD-4 (afternoon),43117.76417,Session,43117.72261,711.767, training,1548.9,125.4,45.8,16.1,1.6,1684.8,134.2,26.5,5.2,2,0,0,0,473,109,2653.5,130.1,108,235,93,34.3,11.6,6.5,4.2,307,7.3,2802.9,436.3,227.4,123.9,0,6.7423,19.17,False,GD+3-4,329.08333333333337
2018-01-17 00:00:00.000,Player1,27.283333333333335,0.0,0.5,2018-01-17 17:34:14.303,Set-pieces,2018-01-17 18:01:30.719,1.1432,0.0,4,139.7,0.0,4.5,16.5,0.0,33.0,14.007,82.19999999999999,18,20,,,68.19299999999998,41.9009,0,3.4175,,0,11,12,12,8,3rd block,43117,0,9,18,11,7,1.1432,41.9009,0.4115,0.0649,0.0294,0.0209,0.0039,0.4649,0.0757,0.0524,0.0128,0.0068,0.6219,0.0993,0.1517,0.0575,0.0224,0.0126,0.0066,0.0096,0.0072,0.1305,0.0238,0.6865,0.3678,0.0749,0.014,0,1637,140.377,0,0,22,1,0,1,81.2352,Baluta,0,3,1,0,0,4,3.4175,131,106,GD-4 (afternoon),43117.75105,Set-pieces,43117.73211,14.007, training,747.3,35.7,14.8,9.8,1.6,765.4,36.2,19,5,2,0,0,0,0,0,1436.8,36.3,40.2,15.7,6.7,3.8,2.1,2.9,2.3,83.1,6.9,1489.8,128.8,15.9,2.3,0,6.7423,7.5941,False,GD+3-4,
2018-01-17 00:00:00.000,Player1,16.983333333333334,0.0,1.6,2018-01-17 18:03:10.080,Int-run 15 15,2018-01-17 18:20:08.736,2.3907,0.0,27,1770.6,0.0,45.3,0.0,0.0,109.2,697.759,632.8,0,13,,,-64.95900000000006,140.7651,0,11.0447,,0,8,15,13,0,Int run 15 15,43117,0,26,18,0,0,2.3907,140.7651,0.9209,0.1147,0.0421,0.0064,0,1.132,0.162,0.0125,0,0,0.2334,0.0899,0.2444,1.1378,0.4315,0.1393,0.0388,0.0148,0.0071,0.0523,0.0013,0.2528,0.3576,1.0825,0.6978,0,1019,282.2709,0,0,29,0,0,0,98.0116,Baluta,0,0,0,0,27,27,11.0447,0,0,GD-4 (afternoon),43117.76399,Int-run 15 15,43117.7522,697.759, training,412.2,36.6,21,4.3,0,486.6,53.8,4.1,0,0,0,0,0,0,0,555.1,30.1,57.9,215.9,84.6,29.3,9,3.6,1.9,30.8,0.4,572.6,112.9,211.5,121.6,0,6.3134,42.6468,False,GD+3-4,
2018-01-17 00:00:00.000,Player1,4.866666666666666,0.0,0.5,2018-01-17 18:15:03.743,3rd-block,2018-01-17 18:19:56.640,0.7852,0.0,9,590.4999999999999,0.0,15.2,0.0,0.0,125.5,259.561,217.5,0,3,,,-42.06099999999998,161.3523,0,12.734,,0,0,7,3,0,Passing drill square,43117,0,9,5,0,0,0.7852,161.3523,0.2923,0.0463,0.012,0.0027,0,0.3752,0.0536,0.0032,0,0,0.0593,0.0286,0.0868,0.373,0.1437,0.0529,0.0111,0.0048,0.0041,0.0199,0.0009,0.067,0.1304,0.3283,0.2596,0,292,93.3431,0,0,6,0,0,0,30.1762,Baluta,0,0,0,0,9,9,12.734,0,4,GD-4 (afternoon),43117.76385,3rd-block,43117.76046,259.561, training,116.1,14,6.1,1.5,0,135.1,18.3,1,0,0,0,0,0,134,97,135.3,9.6,20.8,70.8,27.7,11.1,2.4,1,1.2,11.9,0.3,142.1,40.8,64.3,44.9,0,6.3134,49.9144,False,GD+3-4,
2018-01-17 00:00:00.000,Player1,4.7,0.0,0.5,2018-01-17 18:09:24.192,2nd-block,2018-01-17 18:14:06.720,0.7757,0.0,9,584.8000000000001,0.0,14.8,0.0,0.0,127.9,224.969,197.49999999999997,0,3,,,-27.469000000000023,165.0477,0,12.9242,,0,3,6,3,0,Set pieces,43117,0,7,6,0,0,0.7757,165.0477,0.299,0.0373,0.0143,0.0012,0,0.3684,0.0521,0.0036,0,0,0.0589,0.0311,0.0841,0.3873,0.1349,0.042,0.0164,0.0026,0.0016,0.0168,0,0.0652,0.1187,0.3669,0.225,0,282,91.5916,0,0,12,0,0,0,30.9436,Baluta,0,0,0,0,9,9,12.9242,0,0,GD-4 (afternoon),43117.7598,2nd-block,43117.75653,224.969, training,108.8,11.8,7.1,0.9,0,135.2,17.5,1.1,0,0,0,0,0,207,12,128.4,10.5,20.1,73.3,26.7,8.8,3.9,0.7,0.4,9.6,0,133.9,37.4,71.7,39.4,0,6.0645,51.3102,False,GD+3-4,
2018-01-17 00:00:00.000,Player1,12.2,0.0,0.2,2018-01-17 17:20:43.008,Passing-drill square,2018-01-17 17:32:54.816,0.7719,0.0,0,15.0,0.0,0.0,5.3,0.0,48.2,0.0,7.299999999999999,1,8,,,7.299999999999999,63.2709,0,4.7505,,0,31,14,8,0,Int run 15 15,43117,0,40,13,1,0,0.7719,63.2709,0.2562,0.0578,0.012,0.0024,0,0.3767,0.0601,0.0061,0.0006,0,0.2773,0.1497,0.0218,0.0077,0.0035,0.0026,0.0012,0,0,0.308,0,0.3604,0.4115,0,0,0,732,87.2282,0,0,16,0,0,0,52.9622,Baluta,0,0,0,0,0,0,4.7505,0,0,GD-4 (afternoon),43117.73119,Passing-drill square,43117.72272,0, training,275.2,48.7,10,2,0,353.1,39.4,3.1,0.2,0,0,0,0,0,0,474.6,63.5,9.9,3.4,1.7,1.2,0.5,0,0,176.9,0,541.9,189.8,0,0,0,3.4534,17.6985,False,GD+3-4,
2018-01-17 00:00:00.000,Player2,27.283333333333335,0.0,0.2,2018-01-17 17:34:14.303,Set-pieces,2018-01-17 18:01:30.719,0.9057,0.0,4,104.3,0.0,3.5,3.8,0.0,25.3,36.089,51.50000000000001,6,4,,,15.411000000000008,33.1959,0,2.4869,,0,20,16,4,0,Int run 15 15,43117,0,19,16,3,3,0.9057,33.1959,0.3285,0.0656,0.0137,0.0022,0,0.4007,0.0688,0.022,0.0034,0.0008,0.469,0.0923,0.0557,0.0528,0.0319,0.0126,0.0054,0.0007,0.0006,0.1845,0.0003,0.5518,0.2847,0.0331,0.0361,0,1637,102.1505,0,0,47,0,0,0,71.1525,Bancu,0,3,0,0,1,4,2.4869,0,0,GD-4 (afternoon),43117.75105,Set-pieces,43117.73211,36.089, training,868.3,46.9,10,1.7,0,659.5,37.8,10.7,1.5,0.4,0,0,0,15,0,1438,37.1,17.6,12.6,7.6,3.3,1.5,0.2,0.2,118.6,0.1,1506.3,117.6,6.7,6.2,0,6.0734,5.6574,False,GD+3-4,
2018-01-17 00:00:00.000,Player2,59.833333333333336,5.0,2.0,2018-01-17 17:20:33.503,Session,2018-01-17 18:20:24.288,4.0507,0.7,32,2039.5000000000002,52.2,53.5,17.6,49.8,52.2,936.696,810.8,11,14,,,-125.89600000000007,67.6991,0,5.2346,,0,42,54,13,1,Int run 15 15,43117,0,59,49,7,4,4.0507,67.6991,1.5404,0.2457,0.0759,0.0075,0.0002,1.8277,0.2748,0.0677,0.0093,0.0015,1.0163,0.2489,0.2776,1.2287,0.5564,0.1629,0.0529,0.0215,0.0095,0.4684,0.0076,1.2008,0.8676,1.0455,0.936,0.0007,3590,471.655,0,0,350,0,0,0,231.576,Bancu,0,4,0,0,28,32,5.2346,0,0,GD-4 (afternoon),43117.76417,Session,43117.72261,936.696, training,1721.3,131.9,45.5,5.3,0.2,1532.2,124,26.1,3.4,0.6,0,0,0,0,0,2725.9,99.7,75.5,233.7,107.5,36.1,12.3,5.2,2.4,290.5,1.7,2878.4,345.8,204,162.2,0.1,6.5889,17.0923,False,GD+3-4,299.1666666666667
2018-01-17 00:00:00.000,Player2,16.983333333333334,0.0,1.7,2018-01-17 18:03:10.080,Int-run 15 15,2018-01-17 18:20:08.736,2.402,0.7,27,1910.8,0.0,49.3,19.0,45.1,110.1,900.607,740.1999999999999,3,6,,,-160.40700000000004,141.4312,0,11.1904,,0,2,23,6,0,Passing drill square,43117,0,16,21,2,1,2.402,141.4312,0.9559,0.1279,0.0495,0.003,0,1.0794,0.1464,0.0359,0.0035,0.0007,0.1936,0.0551,0.1896,1.1706,0.5171,0.1447,0.0458,0.018,0.0076,0.0529,0.007,0.215,0.2849,1.0015,0.8999,0.0007,1019,286.0189,0,0,276,0,0,0,104.9901,Bancu,0,0,0,0,27,27,11.1904,,,GD-4 (afternoon),43117.76399,Int-run 15 15,43117.7522,900.607, training,444.6,39.1,26.1,2,0,446.3,48.6,10.6,1,0.2,0,0,0,0,0,554.8,20,46.1,219.3,97.6,31.2,10.3,3.9,1.7,32.1,1.5,573.9,93.5,195,156,0.1,6.5889,42.3662,False,GD+3-4,
