date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,gdType,rpeTl
2018-04-25 00:00:00.000,Player1,58.53333333333333,4.0,2.0,2018-04-25 17:05:53.088,Session,2018-04-25 18:04:26.112,5.5804,18.2,33,1764.8999999999999,41.5,41.7,32.4,40.0,77.6,576.966,655.2999999999998,40,32,0,0,78.33399999999983,95.3378,0,7.3376,0,93,63,25,7,43215,0,79,69,23,17,5.5804,95.3378,2.3116,0.3209,0.0938,0.0245,0.0031,2.2937,0.3667,0.1182,0.0353,0.0127,1.3313,0.6289,0.5879,1.1096,0.3652,0.1326,0.0555,0.0266,0.0246,1.2676,0.0508,1.9462,1.957,1.1002,0.5588,0.0182,3512,600.5674,0,0,253,0,0,0,302.2708,Baluta,0,13,5,1,14,33,7.3376,GD 2,43215.75308,Session,43215.71242,576.966, training,1622.6,138.6,40.8,10.7,1.6,1494.2,147,41.1,11.6,4.2,0,0,0,0,0,1946.4,227.8,160.5,223.4,73.8,30.1,12.7,6.2,6,813.2,12.3,2409,787,217.3,96.6,2.5,7.6356,23.7103,False,GD+2-3,234.13333333333333
2018-04-25 00:00:00.000,Player1,20.85,,0.8,2018-04-25 17:26:20.831,Possession-10v10 4 gates,2018-04-25 17:47:11.904,2.3598,18.2,19,489.70000000000005,0.0,16.2,25.0,14.2,94.6,142.717,285.5,33,20,0,0,142.783,113.18,0,9.2065,0,54,31,15,5,43215,0,30,37,18,15,2.3598,113.18,0.9209,0.2058,0.0555,0.0179,0.0022,0.8293,0.1993,0.0875,0.0306,0.0108,0.3532,0.4379,0.3611,0.2042,0.1078,0.0608,0.0326,0.0203,0.0188,0.7179,0.0452,0.7016,1.2665,0.249,0.1245,0.0182,1251,268.3174,0,0,133,0,0,0,122.8609,Baluta,0,13,5,1,0,19,9.2065,GD 2,43215.74111,Possession-10v10 4 gates,43215.72663,142.717, training,553.3,79,20.1,6.8,1.2,475.9,72,29.2,9.6,3.6,0,0,0,0,0,417.2,155.5,100.7,49.3,23.4,14.1,7.2,4.5,4.2,464,10.6,674.6,501.7,51.5,20.4,2.5,7.6356,31.7902,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player1,14.416666666666666,,0.8,2018-04-25 17:49:57.791,Int-run 20 40,2018-04-25 18:04:22.656,2.0003,0.0,14,1239.6,0.0,26.0,8.0,0.0,110.9,434.25,352.00000000000006,1,6,0,0,-82.24999999999994,138.7522,0,10.2841,0,6,9,6,0,43215,0,13,13,1,0,2.0003,138.7522,0.8835,0.0579,0.0257,0.002,0,0.9329,0.0822,0.0155,0.0006,0,0.3978,0.0398,0.1507,0.8876,0.2523,0.0671,0.0211,0.0055,0.0031,0.1724,0.0029,0.5453,0.1737,0.8471,0.4342,0,865,207.2212,0,0,55,0,0,0,84.1403,Baluta,0,0,0,0,14,14,10.2841,GD 2,43215.75304,Int-run 20 40,43215.74303,434.25, training,384.1,17.8,12.6,1.3,0,420.2,24.4,4.2,0.1,0,0,0,0,0,0,454.6,13.7,35,167.7,48.6,14.5,4.9,1.4,0.8,122.8,0.7,565.5,58.1,164.9,76.2,0,6.0534,33.3063,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player1,15.833333333333334,,0.2,2018-04-25 17:05:56.544,Warm-up,2018-04-25 17:21:46.944,0.8598,0.0,0,26.3,0.0,0.0,5.5,0.0,43.7,0.0,16.1,5,6,0,0,16.1,54.3042,0,4.0765,0,27,20,4,2,43215,0,33,14,4,1,0.8598,54.3042,0.3414,0.0447,0.0118,0.0046,0.0008,0.3704,0.0694,0.0116,0.004,0.001,0.3415,0.1128,0.0479,0.0102,0.0038,0.0046,0.0014,0.0009,0.0027,0.3314,0.0027,0.4346,0.423,0.0022,0,0,950,90.2735,0,0,60,0,0,0,73.0381,Baluta,0,0,0,0,0,0,4.0765,GD 2,43215.72346,Warm-up,43215.71246,0, training,454.1,34,7.2,2.6,0.4,401.5,42.7,5.8,1.7,0.3,0,0,0,0,0,682.7,44.5,16.5,4.1,1.5,1.5,0.5,0.3,1,196.7,1,756.8,193,0.5,0,0,4.2734,12.4487,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player2,58.53333333333333,4.0,1.9,2018-04-25 17:05:53.088,Session,2018-04-25 18:04:26.112,4.8336,6.3,28,1517.1000000000001,41.5,42.0,30.1,34.4,70.0,420.185,573.7999999999998,33,32,0,0,153.61499999999984,82.5788,0,6.4679,0,116,69,21,11,43215,0,107,65,26,7,4.8336,82.5788,1.8724,0.3322,0.0872,0.0188,0.0044,1.9995,0.3839,0.099,0.0266,0.0094,1.2945,0.588,0.5197,0.9433,0.3329,0.1207,0.0439,0.0201,0.0194,0.9144,0.0368,1.6385,1.7655,1.0094,0.4139,0.0063,3512,585.4772,0,0,391,1,0,1,266.975,Bancu,0,13,1,0,14,28,6.4679,GD 2,43215.75308,Session,43215.71242,420.185, training,1606,161.5,42.5,9.4,2.7,1478,163.5,36.5,9.6,2.7,0,0,0,0,0,2266.1,223.1,141.9,194.6,69.9,27.9,10.8,4.9,5.2,558.8,9.2,2537.7,701.6,200.4,71.8,0.9,7.0045,22.1672,False,GD+2-3,234.13333333333333
2018-04-25 00:00:00.000,Player2,20.85,,0.8,2018-04-25 17:26:20.831,Possession-10v10 4 gates,2018-04-25 17:47:11.904,1.7999,6.3,14,321.40000000000003,0.0,13.5,26.4,10.5,76.4,67.879,200.6,25,29,0,0,132.721,86.3251,0,7.334,0,56,39,18,11,43215,0,50,44,18,7,1.7999,86.3251,0.5887,0.1833,0.0653,0.0176,0.0044,0.6235,0.2091,0.0769,0.0216,0.0094,0.4384,0.389,0.2515,0.1208,0.075,0.0384,0.0206,0.0139,0.0171,0.3996,0.0356,0.572,1.0261,0.1338,0.0616,0.0063,1251,236.7489,0,0,160,1,0,1,102.7704,Bancu,0,13,1,0,0,14,7.334,GD 2,43215.74111,Possession-10v10 4 gates,43215.72663,67.879, training,539.9,89.9,29.3,8.5,2.7,452.2,89.9,27.9,7.6,2.7,0,0,0,0,0,711.9,146,73.7,32.4,18.1,10.5,5.7,3.6,4.7,235.1,8.9,819.8,392.4,27.5,10,0.9,7.0045,27.9866,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player2,14.416666666666666,,1.0,2018-04-25 17:49:57.791,Int-run 20 40,2018-04-25 18:04:22.656,1.9226,0.0,14,1164.8,0.0,29.0,0.0,0.0,110.4,352.306,355.8,1,0,0,0,3.494000000000028,133.3627,0,9.9845,0,15,12,0,0,43215,0,23,7,1,0,1.9226,133.3627,0.8381,0.0844,0.0099,0,0,0.8851,0.0963,0.0084,0.0003,0,0.3926,0.0448,0.2239,0.809,0.2497,0.0778,0.0217,0.0049,0.0017,0.0965,0,0.4652,0.2356,0.8695,0.3523,0,865,222.8507,0,0,201,0,0,0,79.6322,Bancu,0,0,0,0,14,14,9.9845,GD 2,43215.75304,Int-run 20 40,43215.74303,352.306, training,385.7,28,6.3,0,0,414.2,28,2.4,0.1,0,0,0,0,0,0,500.6,15.9,52.9,157,49.1,15.8,4.5,0.9,0.3,67.7,0,556.8,74.5,171.6,61.8,0,6.3489,34.405,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player2,15.833333333333334,,0.1,2018-04-25 17:05:56.544,Warm-up,2018-04-25 17:21:46.944,0.8399,0.0,0,18.899999999999995,0.0,0.0,3.1,0.0,43.6,0.0,9.4,5,3,0,0,9.4,53.0452,0,3.9118,0,41,13,3,0,43215,0,28,11,5,0,0.8399,53.0452,0.328,0.0508,0.0091,0.0012,0,0.3765,0.061,0.0106,0.0028,0,0.2973,0.1261,0.0303,0.0095,0.004,0.0018,0.0017,0.0005,0.0006,0.3674,0.0008,0.4092,0.4289,0.0018,0,0,950,95.9629,0,0,24,0,0,0,69.5844,Bancu,0,0,0,0,0,0,3.9118,GD 2,43215.72346,Warm-up,43215.71246,0, training,432.1,36,5.7,0.9,0,432.4,37,5,1.3,0,0,0,0,0,0,657.2,50.3,11.3,3.8,1.5,0.8,0.6,0.2,0.2,224.3,0.2,745.2,204.8,0.4,0,0,4.4156,11.2584,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player3,15.833333333333334,,0.1,2018-04-25 17:05:56.544,Warm-up,2018-04-25 17:21:46.944,0.777,0.0,0,13.799999999999999,0.0,0.0,3.0,0.0,39.2,0.0,8.8,4,4,0,0,8.8,49.0748,0,3.6376,0,37,14,3,1,43215,0,35,10,3,1,0.777,49.0748,0.3125,0.0447,0.0079,0.0023,0.0004,0.3333,0.0607,0.0108,0.0041,0.0003,0.355,0.0952,0.0215,0.005,0.0037,0.0003,0.002,0.0012,0,0.2915,0.0016,0.4617,0.3153,0,0,0,950,78.0823,0,0,40,0,0,0,72.1237,Barbut,0,0,0,0,0,0,3.6376,GD 2,43215.72346,Warm-up,43215.71246,0, training,432.2,37.3,5.6,1,0.2,428.2,39,5.2,1.6,0.1,0,0,0,0,0,713.7,40.4,8.2,2.3,1.3,0.1,0.7,0.5,0,182.6,0.6,799.5,150.9,0,0,0,4.1778,8.8594,False,GD+2-3,0.0
2018-04-25 00:00:00.000,Player3,14.416666666666666,,0.9,2018-04-25 17:49:57.791,Int-run 20 40,2018-04-25 18:04:22.656,1.9921,0.0,14,1214.8000000000002,0.0,26.3,0.0,0.0,110.8,455.585,377.90000000000003,0,4,0,0,-77.68499999999995,138.1797,0,10.3043,0,6,10,4,0,43215,0,16,7,0,0,1.9921,138.1797,0.8484,0.0704,0.0214,0.0021,0,0.9721,0.0731,0.0045,0,0,0.4469,0.0544,0.1963,0.8369,0.2621,0.0718,0.032,0.0074,0.0017,0.0798,0.0029,0.5038,0.205,0.8277,0.4556,0,865,201.2397,0,0,41,0,0,0,74.5917,Barbut,0,0,0,0,14,14,10.3043,GD 2,43215.75304,Int-run 20 40,43215.74303,455.585, training,381.8,22.5,9.6,1.5,0,425.1,22.5,1.7,0,0,0,0,0,0,0,511.4,18.2,44.9,158.5,50.9,14.7,7.3,1.9,0.4,55.9,0.6,556.3,65.9,162.9,79.6,0,6.16,34.4859,False,GD+2-3,0.0
