date,playerName,duration,rpe,workload,splitStartTime,splitName,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,dirty,fromCsv,gdType,rpeTl
2018-05-08 00:00:00.000,Player1,14.1,,,2018-05-08 11:49:52.608,Set-pieces,2018-05-08 12:03:57.600,0.7958,0.0,5,89.19999999999999,0,0.0,0.0,0.0,0.0,33.471,61.1,9,8,0,0,27.629000000000005,56.4372,0,4.3869,0,19,6,6,2,43228,0,12,12,4,5,0.7958,56.4372,0.3175,0.0416,0.0235,0.0057,0.001,0.3179,0.0481,0.027,0.0069,0.0065,0.3381,0.0695,0.0369,0.0281,0.0218,0.0073,0.0053,0.0043,0.0056,0.2621,0.0168,0.4845,0.249,0.0288,0.0335,0,846,86.438,0,0,28,0,0,0,52.66,Baluta,0,5,0,0,0,5,4.3869,GD-1,43228.50275,Set-pieces,43228.49297,33.471, training,386.4,26.1,9.1,3.5,0.7,379.6,25.4,10.8,2.2,1.7,0,0,0,0,0,611.2,27.7,11.2,6.9,5,1.8,1.5,1.4,1.3,173.4,4.1,722.6,111.4,5.9,5.6,0,6.6356,8.5866,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player1,29.7,,,2018-05-08 11:18:57.600,10v11,2018-05-08 11:48:40.031,2.3126,27.3,20,500.50000000000006,0,0.0,0.0,0.0,0.0,177.7,310.20000000000005,27,18,0,0,132.50000000000006,77.8649,0,6.3051,0,58,29,15,3,43228,0,31,27,17,10,2.3126,77.8649,0.8811,0.2204,0.0515,0.0189,0.0018,0.8152,0.1992,0.0784,0.0318,0.0142,0.7617,0.3283,0.291,0.1903,0.1135,0.0629,0.0411,0.037,0.0144,0.431,0.0413,0.9864,0.9585,0.1899,0.1504,0.0273,1782,261.8951,0,0,101,0,0,0,127.6318,Baluta,0,14,4,1,1,20,6.3051,GD-1,43228.49213,10v11,43228.4715,177.7, training,842.8,84,19.7,7.4,0.9,713,76.5,25.4,9,3.8,0,0,0,0,0,1193,119.4,82.4,46.6,23.8,13.5,9,8.1,3.3,274.2,9.2,1364.6,350.4,38.7,25,3.8,7.3912,19.6017,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player1,16.966666666666665,,,2018-05-08 11:00:10.080,Boxes-5v2,2018-05-08 11:17:07.872,0.667,0.0,0,27.2,0,0.0,0.0,0.0,0.0,0.0,18.9,8,10,0,0,18.9,39.3138,0,3.0248,0,22,13,9,1,43228,0,20,19,6,2,0.667,39.3138,0.2357,0.0406,0.0162,0.0052,0.0009,0.2772,0.0661,0.0206,0.0029,0.0018,0.3959,0.0476,0.0185,0.0083,0.0057,0.0044,0.002,0.0026,0.0018,0.1779,0.0024,0.4893,0.1773,0.0004,0,0,1018,71.7408,0,0,45,0,0,0,64.2005,Baluta,0,0,0,0,0,0,3.0248,GD-1,43228.47023,Boxes-5v2,43228.45845,0, training,462.8,43.3,12.7,3.3,0.6,432.8,50.1,10.6,1.1,0.5,0,0,0,0,0,858.6,20.2,6.7,3.5,2.3,1.7,0.9,0.8,0.7,121.5,0.9,934.7,83,0.1,0,0,4.1023,3.7434,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player1,64.31666666666666,0.0,1.4,2018-05-08 10:59:21.695,Session,2018-05-08 12:03:40.319,3.8678,27.3,26,630.1999999999999,0,21.9,38.6,22.6,49.7,214.075,398.30000000000007,45,36,0,0,184.22500000000008,60.1374,0,4.7732,0,98,48,30,6,43228,0,63,58,28,17,3.8678,60.1374,1.4677,0.3062,0.0929,0.0298,0.0037,1.4565,0.3194,0.1268,0.0422,0.0225,1.5759,0.4422,0.3483,0.2319,0.1421,0.0774,0.0494,0.0448,0.0232,0.8711,0.0614,2.0443,1.3796,0.23,0.1868,0.0273,3859,429.204,0,0,169,0,0,0,250.4603,Baluta,0,20,4,1,1,26,4.7732,GD-1,43228.50255,Session,43228.45789,214.075, training,1810.3,154.9,42.2,14.2,2.2,1615.9,153.6,47,12.5,6,0,0,0,0,0,2872.7,166.1,100.5,58,31.3,17.8,11.6,10.5,5.6,570.3,14.4,3234.6,542.4,46.9,31.1,3.8,7.3912,11.9208,False,True,GD+3-1,
2018-05-08 00:00:00.000,Player2,64.31666666666666,0.0,0.9,2018-05-08 10:59:21.695,Session,2018-05-08 12:03:40.319,3.0306,69.9,9,319.7999999999999,0,11.4,20.3,20.8,39.7,104.537,205.2,28,20,0,0,100.66299999999998,47.1207,0,3.6437,0,89,58,16,4,43228,0,77,53,22,6,3.0306,47.1207,1.1249,0.2327,0.0604,0.0125,0.0012,1.2323,0.261,0.0769,0.0233,0.0055,1.4071,0.4317,0.2292,0.1146,0.0556,0.0558,0.023,0.0141,0.0102,0.6429,0.0465,1.6899,1.1312,0.105,0.0346,0.0699,3859,362.9225,0,0,164,2,0,2,207.4015,Bancu,0,5,3,1,0,9,3.6437,GD-1,43228.50255,Session,43228.45789,104.537, training,1943.3,145,34.6,6.9,0.7,1545.4,144.2,29.4,7.9,1.4,0,0,0,0,0,3133.9,165.9,71.2,33,15.2,11,5.1,2.9,1.9,409.7,9,3363.6,458.5,21.8,5.6,9.3,8.0978,9.4641,False,True,GD+3-1,
2018-05-08 00:00:00.000,Player2,14.1,,,2018-05-08 11:49:52.608,Set-pieces,2018-05-08 12:03:57.600,0.4255,0.0,0,25.400000000000006,0,0.0,0.0,0.0,0.0,1.14,9.5,1,0,0,0,8.36,30.1758,0,2.1619,0,7,8,0,0,43228,0,6,5,1,0,0.4255,30.1758,0.1682,0.0206,0.0042,0.0004,0,0.2043,0.0229,0.0046,0.0003,0,0.2527,0.0523,0.0364,0.0159,0.006,0.0021,0,0.0005,0.0009,0.0587,0,0.2807,0.1288,0.0149,0.0011,0,846,47.1926,0,0,15,0,0,0,28.2316,Bancu,0,0,0,0,0,0,2.1619,GD-1,43228.50275,Set-pieces,43228.49297,1.14, training,450.3,12.4,3.2,0.5,0,363.3,13.8,2,0.2,0,0,0,0,0,0,771.4,18.3,10.4,5.1,1.7,0.5,0,0.1,0.2,38,0,793.9,48.4,3.2,0.2,0,5.3889,4.8481,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player2,29.7,,,2018-05-08 11:18:57.600,10v11,2018-05-08 11:48:40.031,1.7895,69.9,9,274.80000000000007,0,0.0,0.0,0.0,0.0,103.397,183.30000000000004,24,12,0,0,79.90300000000003,60.2533,0,4.8152,0,55,33,9,3,43228,0,43,31,20,4,1.7895,60.2533,0.6462,0.1636,0.0428,0.0085,0.001,0.6799,0.1633,0.0586,0.021,0.0046,0.6959,0.3245,0.1671,0.0915,0.0449,0.05,0.0211,0.013,0.0087,0.3273,0.0456,0.8232,0.7728,0.0902,0.0335,0.0699,1782,221.5464,0,0,113,1,0,1,106.5018,Bancu,0,5,3,1,0,9,4.8152,GD-1,43228.49213,10v11,43228.4715,103.397, training,856.4,81.7,20.4,4.1,0.6,715.1,75.5,20.7,6.9,1.1,0,0,0,0,0,1345.4,122.6,51.8,25.2,11.5,9.1,4.3,2.5,1.5,199.9,8.7,1449,300.2,18.6,5.4,9.3,8.0978,15.1473,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player2,16.966666666666665,,,2018-05-08 11:00:10.080,Boxes-5v2,2018-05-08 11:17:07.872,0.728,0.0,0,17.6,0,0.0,0.0,0.0,0.0,0.0,12.0,3,8,0,0,12.0,42.9057,0,3.2136,0,26,16,7,1,43228,0,28,15,1,2,0.728,42.9057,0.2741,0.046,0.0119,0.0037,0.0002,0.3068,0.0695,0.013,0.002,0.0009,0.4077,0.0472,0.0149,0.0056,0.0043,0.0037,0.0019,0.0006,0.0006,0.2406,0.0009,0.523,0.2049,0,0,0,1018,84.4348,0,0,31,1,0,1,67.9473,Bancu,0,0,0,0,0,0,3.2136,GD-1,43228.47023,Boxes-5v2,43228.45845,0, training,473.4,47.4,9.8,2.3,0.1,425.6,51.8,6.3,0.8,0.3,0,0,0,0,0,822.8,22.1,5.9,2.2,1.8,1.4,0.8,0.3,0.2,160,0.3,916.7,101.1,0,0,0,4.08,4.6768,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player3,29.7,,,2018-05-08 11:18:57.600,10v11,2018-05-08 11:48:40.031,1.9938,28.6,12,343.8,0,0.0,0.0,0.0,0.0,111.069,225.10000000000002,20,19,0,0,114.03100000000002,67.1298,0,5.4883,0,48,37,16,3,43228,0,43,36,12,8,1.9938,67.1298,0.7286,0.1717,0.0633,0.0149,0.001,0.7133,0.2028,0.0619,0.0232,0.0131,0.6563,0.3692,0.2583,0.1187,0.0763,0.0507,0.0191,0.022,0.0138,0.3662,0.0432,0.7742,0.9939,0.1146,0.0825,0.0286,1782,220.9414,0,0,158,0,0,0,125.8907,Barbut,0,9,3,0,0,12,5.4883,GD-1,43228.49213,10v11,43228.4715,111.069, training,812.6,79.8,24.3,5.7,0.5,745.9,83.8,20.8,5.9,3.1,0,0,0,0,0,1272.8,135.4,74.6,31.5,17.8,11.5,4.6,4.8,3.2,216.8,9.4,1367.8,373.4,23.7,13.6,3.9,7.8445,19.0081,False,True,GD+3-1,0.0
2018-05-08 00:00:00.000,Player3,64.31666666666666,0.0,1.0,2018-05-08 10:59:21.695,Session,2018-05-08 12:03:40.319,3.2321,28.6,13,404.6000000000001,0,13.0,25.7,18.1,41.4,125.462,265.7,29,33,0,0,140.238,50.2531,0,3.9773,0,79,50,26,7,43228,0,73,55,20,9,3.2321,50.2531,1.2055,0.2319,0.0846,0.023,0.0029,1.2563,0.2931,0.0878,0.0325,0.0144,1.4571,0.4453,0.2936,0.1389,0.0895,0.0597,0.0236,0.024,0.017,0.6316,0.0519,1.7168,1.2536,0.1363,0.0969,0.0286,3859,346.6234,0,0,237,1,0,1,241.9228,Barbut,0,9,4,0,0,13,3.9773,GD-1,43228.50255,Session,43228.45789,125.462, training,1801.1,136.9,37.5,9.9,1.6,1681.1,146.2,31.9,9,3.5,0,0,0,0,0,3107.7,167.4,86.3,37,22.2,14.4,6.2,5.4,4.1,396.1,11.9,3319.1,491.4,28.2,16.1,3.9,7.8445,10.6383,False,True,GD+3-1,
