TYPE,DATE,LABEL,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,WORKLOAD,INTENSITY,PERCEIVED,CARDIOVASCULAR,KINEMATIC,METABOLIC,MECHANICAL
GEN,12-Jun,12 Jun Gen,1.6,1.3,1.4,1.3,1.3,1.1,1.4,1.4,1.5,,,,,,,,,,,,,1.4,67,34.1,,27.4,6.3,33.7
GEN,13-Jun,13 Jun Gen,2.9,3.5,2.3,3,2.9,3,2.5,3.1,3.2,,,,,,,,,,,,,2.8,52,71.3,,38.7,37.8,66.9
GEN,14-Jun,14 Jun Gen,2.4,,2.6,2.3,2.4,2.6,2.4,2.4,2.5,,,,,,,,,,,,,2.5,86,69.7,,18.5,42.6,53.9
GD-8,15-Jun,15 Jun GD-8,1.6,1.8,2,2.1,1.6,1.5,1.6,1.6,1.6,,,,,,,,,,,,,1.7,69,41.1,,26.0,30.3,36.9
GD-7,16-Jun,16 Jun GD-7,4.7,4.8,4.2,4.6,3.6,4.1,5.1,5.6,4.2,,,,,,,,,,,,,4.5,49.33333333,95.0,,71.0,80.0,114.0
GD-6,17-Jun,17 Jun GD-6,2.9,3.7,3.7,3.2,0.8,3.1,4.5,3.8,3,0.8,1,,,,,,,,,,,3.1,30.5,79.0,,50.0,41.0,66.0
GD-5,18-Jun,18 Jun GD-5,0.3,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.9,0.7,,,,,,,,,,,0.3,20,7.8,,4.8,1.6,6.4
GD-4,19-Jun,19 Jun GD-4,5.2,8.2,7.9,6.6,6.3,8.1,5.7,9.4,6.5,5.5,7.8,,,,,,,,,,,6.7,49.5,120.3,,164.5,134.9,107.2
GD-3,20-Jun,20 Jun GD-3,3.5,4.7,3.2,3.8,3.5,4.1,3.9,4,3.7,3.4,3.7,,,,,,,,,,,3.6,50,101.0,,58.0,54.0,66.0
GD-2,21-Jun,21 Jun GD-2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,,,,,,,,,,,0.3,18,10.0,,6.0,1.0,3.0
GD-1,22-Jun,22 Jun GD-1,3.7,5.8,5.1,3.1,4.7,5.8,6.1,5.8,4.4,4.7,5.3,,,,,,,,,,,5.1,47.5,97.1,,75.5,99.9,123.9
GD,23-Jun,23 Jun GD,2.4,4.4,3,,3.2,3.8,2.7,3.6,2.8,2.9,4,,,,,,,,,,,2.8,104,57.0,,56.3,54.5,55.2
GD+1,24-Jun,24 Jun GD+1,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,
GD+2,25-Jun,25 Jun GD+2,6.6,5.3,4.6,0.7,5.4,5.3,5.3,,7.9,7.9,5.1,6.6,,,,,,,,,,5.6,52.5,78.7,,117.6,129.3,109.7
GD-2,26-Jun,26 Jun GD-2,3.1,3,2.1,1.4,2.9,2.7,2.4,5.2,3.8,4.1,2.8,3.1,,,,,,,,,,2.7,53,56.0,,46.7,42.4,70.3
GD-1,27-Jun,27 Jun GD-1,1.2,2.4,1.8,1.8,1.7,2.2,1.1,2.6,2,2.2,2.1,2.2,,,,,,,,,,2.0,48,28.1,,42.3,40.6,44.6
GD,28-Jun,28 Jun GD,4.1,4.4,2.9,3,4.6,3.8,4,5.2,5.7,4.5,4.4,4,,,,,,,,,,4.1,102,72.5,,93.6,89.1,68.7
GD+1,29-Jun,29 Jun GD+1,1,1,1,3.3,1,1,1,1,1,1,1,1,,,,,,,,,,1.0,20,,,,,
GD-1,30-Jun,30 Jun GD-1,1.7,1.4,1.9,2,1.7,1.5,1.2,2.5,2.2,1.8,2,1.7,,,,,,,,,,1.7,48,21.2,,32.5,33.8,45.0
GD,1-Jul,1 Jul GD,5.9,5.5,4.5,2.2,3.9,5.2,4.9,8,5.2,4,4.5,3.6,,,,,,,,,,5.4,95.5,85.4,,115.4,107.6,113.1
GD+1,2-Jul,2 Jul GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD+2,3-Jul,3 Jul GD+2,2,1.8,0.6,1.2,1.7,1.5,1.7,1.8,,1.4,1.7,3,,,,,,,,,,1.5,48,33.0,,28.0,25.0,35.0
GD-1,4-Jul,4 Jul GD-1,1.5,1.7,1,1.9,1.1,1.3,1.2,1.6,,2.1,1.6,1.5,,,,,,,,,,1.4,56,26.0,,25.0,27.0,35.0
GD,5-Jul,5 Jul GD,4.8,5.5,3.3,4.7,0,4.8,3.2,5,,4.4,3.7,3.1,,,,,,,,,,5.1,104,100.0,,95.0,109.0,103.0
GD+1,6-Jul,6 Jul GD+1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,,,,,,,,,0.5,103,10.0,,17.0,0.0,0.0
GD+2,7-Jul,7 Jul GD+2,2.4,1.9,1.5,2.9,1.9,1.6,1.8,2.1,,1.7,2,3,,,,,,,,,,1.9,54,38.0,,41.0,44.0,32.0
GEN,8-Jul,8 Jul Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,9-Jul,9 Jul Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10-Jul,10 Jul Gen,2,2.5,2.2,2.7,1.6,2.2,1.9,2.2,,2.1,2.2,3,,,,,,1.8,,,,2.2,71,43.0,,33.0,36.0,59.0
GD-3,11-Jul,11 Jul GD-3,2.9,2.1,2,2.5,2.1,2.3,2.5,2.5,,3.1,2.4,2.7,,,,,,3.1,,,,2.4,61,53.0,,39.0,48.0,53.0
GD-2,12-Jul,12 Jul GD-2,1.3,2,1.5,1.2,1.4,1.7,0.6,2,,1.2,1.6,1.4,,,,,,1.1,,,,1.3,51,28.0,,29.0,22.0,23.0
GD-1,13-Jul,13 Jul GD-1,1.4,2,0.8,1.9,1.7,1.4,1.1,1.4,,1.8,1.7,1.3,,,,,,1.2,,,,1.4,53,20.0,,25.0,28.0,36.0
GD,14-Jul,14 Jul GD,5,5,0.5,5,,4,5,5,,4.5,5,1.5,,,,,,,,,,5.0,100,100.0,,100.0,100.0,100.0
GD+1,15-Jul,15 Jul GD+1,0.5,0.5,1.8,0.5,1.8,0.5,0.5,0.5,,0.5,0.5,2.3,,,,,,2,,,,0.5,103,10.0,,17.0,0.0,0.0
GD+2,16-Jul,16 Jul GD+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD-5,17-Jul,17 Jul GD-5,2.4,2,2.5,3.3,5.3,1.9,2.2,1.9,,2.3,2.2,,,,,,,,,,,2.1,78,47.0,,39.0,48.0,32.0
GD-4,18-Jul,18 Jul GD-4,4.4,3.8,3.4,3.7,3.3,3.7,3.6,4.1,,4.4,4.1,4.9,,,,,,3,,,,3.7,48,87.0,,63.0,66.0,74.0
GD-3,19-Jul,19 Jul GD-3,1,1.3,1.2,1.3,1.5,1.3,1.3,1.3,,1.5,1.3,,,,,,,0.8,,,,1.3,43,21.0,,18.0,17.0,40.0
GD-2,20-Jul,20 Jul GD-2,2.3,2.6,2.9,2.3,2.5,2.5,2,2.5,,2.1,2.5,,3.7,,,,,1.9,,,,2.4,54,43.0,,48.0,51.0,50.0
GD-1,21-Jul,21 Jul GD-1,1.4,1.6,0.8,1.6,1.2,1.7,1.1,1.3,,1.7,1.5,1.5,3.5,2.2,,,,1.4,,,,1.3,52,25.0,,25.0,25.0,30.0
GD,22-Jul,22 Jul GD,5,5,,3.5,,4,5,5,,5,5,1.5,2,2,,,,2,,,,5.0,100,100.0,,100.0,100.0,100.0
GD+1,23-Jul,23 Jul GD+1,0.5,0.5,2.2,0.5,2.7,0.5,0.5,0.5,,0.5,0.5,2.7,3,2.1,,,,1.4,,,,0.5,103,10.0,,17.0,0.0,0.0
GD+2,24-Jul,24 Jul GD+2,1.6,1.2,0.7,1.6,1.8,1.7,1.7,1.5,0.8,2.1,1.9,1.7,2.2,1.4,,,,1.3,,,,1.6,47,32.0,,28.0,30.0,35.0
GD-2,25-Jul,25 Jul GD-2,2.1,1.8,2.1,3,2.6,2.3,2.1,2.2,0.8,2.8,2.1,3,2.5,2.5,,,,2.1,,,,2.2,56,41.0,,39.0,44.0,53.0
GD-1,26-Jul,26 Jul GD-1,1.3,1.8,1.2,1.9,1.5,1.6,1,1.4,1.4,1.5,1.7,1.3,1.7,1.6,,,,1.3,,,,1.4,49,25.0,,25.0,26.0,32.0
GD,27-Jul,27 Jul GD,5,5,,5,1,5,5,4.5,,,5,1.5,,3.8,,,,4,,,,5,100,100.0,,100.0,100.0,100.0
GD+1,28-Jul,28 Jul GD+1,,,1.7,,1.1,,,,1.4,1.3,,1.7,2.3,,,,,,,,,,,,,,,
GD-1,29-Jul,29 Jul GD-1,1.4,0.9,1.1,2,1.6,1.3,1.9,2,,1.8,2,2,1.6,1.7,,,,1.1,,,,1.6,65,32.0,,27.0,31.0,34.0
GD,30-Jul,30 Jul GD,1,2,,5,,5,5,5,,5,5,,4.3,3.2,,,,1,,,,5,100,100,,100,100,100
GD+1,31-Jul,31 Jul GD+1,1,1,2.5,1,2.5,1,1,1,,1,1,2.5,1,1,,,,1,,,,1,100,10,,17,0,0
GD+2,1-Aug,01 Aug GD+2,1.1,2.2,1,1.8,1.9,1.4,1.7,1.5,2.7,1.7,1.8,1.4,1.8,1.7,,,,1.6,,,,1.5,61,34,,26,29,30
GD-1,2-Aug,02 Aug GD-1,0.8,0.8,0.8,1.7,0.9,0.8,1.2,1.2,1.5,0.8,0.8,1.7,1.6,1.6,,,,0.6,,,,1.1,42,32,,18,13,20
GD,3-Aug,03 Aug GD,5,5,2,5,3,5,0.5,5,2.5,0.5,3.2,1,5,4,,,,3,,,,5,100,100,,100,100,100
,4-Aug,04 Aug GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Aug,05 Aug GD-1,1.4,1.5,1.8,2.2,1.5,1.1,1.9,1.2,2.6,1.8,1.3,2.4,2,1.4,,,,,,,,1.5,45,31,,28,27,35
,6-Aug,06 Aug GD,5,5,,5,,1.5,5,4.5,,5,1.5,3.5,1,3.5,,,,,,,,5,100,100,,100,100,100
,7-Aug,7 Aug GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8-Aug,8 Aug GD-1,1.2,0.9,2.3,1.8,1.6,1.9,1.6,1.2,1.2,1.8,,1,2.4,1.5,,,,,,,,1.4,45,29,,27,28,32
,9-Aug,9 Aug GD,1,1.3,4,5,4.2,5,5,5,2,1.5,,,5,4,,,,,,,,5,100,100,,100,100,100
,10-Aug,10 Aug GD+1,,,,,,,,,,,,1.9,,,,,,0.6,,,,,,,,,,
,11-Aug,11 Aug GD+2,2,1.7,1.9,2,1.3,1.4,1.9,1.6,1.8,1.9,0.8,2,2.1,1.3,,,,0.8,,,,1.7,49,40,,30,25,37
,12-Aug,12 Aug GD-1,1.2,1.4,1.3,1.4,1.4,1.3,1.1,1.3,1.4,1.8,0.4,1.2,1.6,1.3,,,,0.2,,,,1.3,60,27,,24,25,29
,13-Aug,13 Aug GD,5,2.3,4,5,4,5,5,5,2.5,2.3,,2,,5,,,,,,,,5,100,100,,100,100,100
,14-Aug,14 Aug GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-Aug,15 Aug GD+2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-Aug,16 Aug GD-4,4.7,4.8,4.2,4.6,5.2,3.4,3.5,3.8,5.1,4.6,2.5,4.9,6.7,3.1,,,,,,,,3.7,57,76,,77,77,56
,17-Aug,17 Aug GD-3,1.7,2.9,2.4,2.4,2.1,2.3,1.8,2.4,2.2,,2.6,2.5,2.1,2.7,,,,,,,,2.2,55,51,,40,42,43
,18-Aug,18 Aug GD-2,1.9,1.9,2,2.4,1.7,1.8,1.7,1.7,1.3,1.7,2.1,2.4,2.6,1.8,,,,0.8,,,,1.9,52,40,,29,30,47
,19-Aug,19 Aug GD-1,1.2,1.2,1,1.6,1.2,1.3,1.3,1.3,1,1.1,1.1,1,1.5,1.4,,,,1.9,,,,1.2,58,28,,20,23,27
,20-Aug,20 Aug GD,,5,,5,5,5,1.3,5,,,1.4,2.5,5,5,,,,1.2,,,,5,100,100,,100,100,100
,21-Aug,21 Aug GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22-Aug,22 Aug GD+2,,2.2,1.5,1.7,1.5,1.3,2.1,2,,2.5,2,1.7,2.7,0.5,,,,0.8,,,,1.8,51,44,,30,33,33
,23-Aug,23 Aug GD-2,,2.5,2.6,2.6,1.8,2.4,1.9,2.5,,2.1,2.6,2.8,2.6,2.4,,,,1.6,,,,2.3,61,44,,38,40,58
,24-Aug,24 Aug GD-1,,1.7,1.2,1.8,1.5,1.8,1.3,1.5,,1.9,2.1,1.5,2.6,1.8,,,,1.3,,,,1.6,54,32,,29,31,38
,25-Aug,25 Aug GD,,5,0.5,5,3.5,5,1.5,5,,5,4.5,,5,5,,,,2,,,,5,100,100,,100,100,100
,26-Aug,26 Aug GD+1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
,27-Aug,27 Aug GD+2,,1.3,1.3,1.3,1.4,1.1,1.9,,,,,,2,0.9,,,,0.9,,,,1.4,57,36,,23,26,24
,28-Aug,28 Aug GEN,4.2,5.7,5.2,8.4,5.8,3.5,5.5,,5.9,,,4.8,6.6,4.8,,,,,,,,5.9,57.5,94,,134,111,83
,29-Aug,29 Aug GEN,1.7,4.7,3.2,5.3,4.5,3.3,3.5,0.4,1.3,,,4.2,0.8,3.4,,,,,,,,3.9,53,75,,78,69,81
,30-Aug,30 Aug GEN,2.8,2.1,2,4.9,2.4,2,1.9,2.7,2.9,,,4.4,1.5,2.2,,,,,,,,2.4,118,36,,56,70,10
,31-Aug,31 Aug GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Sep,01 Sept GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Sep,2 Sept GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Sep,3 Sept GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Sep,4 Sept GD-6,1.9,2,1.6,2.6,2,1.7,2,2,2.3,2.4,,2.5,2.7,1.7,2.2,,,1.6,,,,2,77,39,,28,32,56
,5-Sep,5 Sept GD-5,2.9,3.3,3.4,4.3,3.2,3.5,3.3,3.2,3.6,3.8,,3.5,4.3,3.1,4.3,,,3,,,,3.2,56,65,,45,55,86
,6-Sep,6 Sept GD-4,3.6,2.8,2.6,5.9,4.1,2.8,3.1,3.1,3.7,4.1,1.5,3.9,4.4,2.7,3.2,,,2.4,,,,3.1,68,61,,58,70,55
,7-Sep,7 Sept GD-3,0.6,0.9,0.8,0.9,0.7,1.2,0.7,0.4,0.7,1,0.9,1.1,0.8,1.1,0.7,,,0.6,,,,0.8,20,25,,13,5,12
,8-Sep,8 Sept GD-2,2.1,2.7,2.2,3,1.9,2.4,2.2,2.7,2.2,2.6,2.4,2.4,3.4,2.2,2.7,,,1.7,,,,2.3,68,44,,40,44,52
,9-Sep,9 Sept GD-1,1.3,1.2,1,1.5,1.1,1.3,1.2,1.2,1.5,1.4,1.2,1.3,1.7,1.2,1,,,1,,,,1.2,60,25,,20,21,28
,10-Sep,10 Sept GD,5,5,1.5,5,1.5,5,1.5,,1.5,4,4,1.5,2.5,4.5,5,,,5,,,,5,100,100,,100,100,100
,11-Sep,11 Sept GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-Sep,12 Sept GD+2,1.7,1.5,2.4,2.8,2.2,1.9,2.3,,2.5,3,1.8,2.6,3,2.1,2.8,,,2,,,,2.1,42,41,,32,37,57
,13-Sep,13 Sept GD-3,3.9,2.1,2.7,4.4,3.7,2.1,2.9,,5.8,3.8,2.7,3.8,4.3,2.4,2.8,,,2.3,,,,2.7,58,44,,63,58,43
,14-Sep,14 Sept GD-2,2.1,2.5,2.6,3.2,2.4,2.3,2.6,,3,3,2.6,2.8,2.6,2.3,3,,,1.9,,,,2.5,63,46,,47,50,53
,15-Sep,15 Sept GD-1,1.4,1.3,1.5,1.7,1.8,1.7,1.2,,1.7,1.9,1.4,1.3,3.5,1.5,1.1,,,1,,,,1.4,49,30,,26,25,31
,16-Sep,16 Sept GD,5,5,2.5,1.5,4.5,5,3.5,,,5,5,,2,4,5,,,1,,,,5,100,100,,100,100,100
,17-Sep,17 Sept GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-Sep,18 Sept GD-1,1.2,1.2,1.8,3.7,1.4,1.2,1.3,1.4,1.9,1.8,1.7,1.6,2,0.9,1.6,,,,,,,1.4,68,26,,25,28,33
,19-Sep,19 Sept GD,5,5,5,2.5,5,5,,3.5,,5,2,,5,5,5,,,,,,,5,100,100,,100,100,100
,20-Sep,20 Sept GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21-Sep,21 Sept GD-1,1.1,1.1,1.6,2.9,1.5,1.3,1.5,1.4,2,2,2,1.9,2.3,1.5,1.5,,,,,,,1.6,62,28,,31,32,35
,22-Sep,22 Sept GD,,2,2.5,2.5,5,4.5,4,2,3,5,5,1,5,2.5,5,,,,,,,5,100,100,,100,100,100
,23-Sep,23 Sept GD+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24-Sep,24 Sept GD+2,2.1,0.8,1.7,1.9,1.2,1.4,1,1.2,2.3,2.4,2,1.8,2.9,0.9,0.8,,,,,,,1.8,53,39,,26,34,39
,25-Sep,25 Sept GD-4,4.9,6.2,6.4,7.1,4.2,4.8,5.1,5.8,2.3,6.3,6.2,7,7.2,,5.7,,,,,,,5.1,61,108,,92,92,112
,26-Sep,26 Sept GD-3,1,1.2,1.1,0.9,0.9,0.9,1.1,0.9,1,0.8,1.2,1.4,1,1.1,1,,,,,,,1,37,25,,19,16,18
