date,playerName,duration,rpe,workload,splitStartTime,splitName,complete,splitEndTime,totalDistance,sprintDistance,powerPlays,powerDistance,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,intensity,highspeedRunningDistance,highPowerDistance,highIntensityDeceleration,highIntensityAcceleration,heartRateGr90,heartRate85to90,explosiveDistance,distancePerMinute,cardioWorkload,averageMetabolicPower,,85-89%,90-100%,Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,DRILL,Date,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s,Distance (km),Distance Per Min (m/min),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Duration,Energy (kcal),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: > 20 G (Impacts),Impacts,PLAYER NAME,Player Load,Player Name,Power Play Duration Zones: 0 - 2_5 s (Power Plays),Power Play Duration Zones: 2_5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7_5 s (Power Plays),Power Play Duration Zones: 7_5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Power Plays,Power Score (w/kg),Sec 85-89%,Sec 90-100%,Session Title,Split End Time,Split Name,Split Start Time,Sprint Distance (m),Tags,Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 89% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 90% - 100% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Top Speed (m/s),Work Ratio,_$visited,gdType,rpeTl
2017-06-17 00:00:00.000,Player2,41.083333333333336,0.0,0.9,2017-06-17 10:38:34.313,Functional-trainin,True,2017-06-17 11:19:39.007,1.5787,72.6,9,288.5,0.0,11.6,24.9,16.0,33.3,122.634,227.09999999999997,32,26,0.0,0.0,104.46599999999997,38.4261,0,3.1402,,,,0,16,25,13,13,,42903,0,8,34,18,14,1.5787,38.4261,0.5872,0.1083,0.05,0.0195,0.0053,0.588,0.1036,0.0752,0.0255,0.0159,0.8963,0.0988,0.0855,0.0614,0.0363,0.065,0.0359,0.0306,0.0192,0.2096,0.0401,1.004,0.3581,0.0939,0.05,0.0726,2465,194.2371,0,0,177,0,0,0,,146.3604,Bancu,0,5,4,0,0,9,3.1402,,,GD-6 (morning),42903.471979259,Functional-trainin, 42903.443452708,122.634, training,1227.1,60.1,23,10.5,2.9,1045,57.5,26.6,7.8,4.3,0,0,0,,0,,0,2194.9,40.4,25.6,16.4,9.4,12.1,7.1,6.9,4.7,137.3,10,2282.7,144.9,19.3,8.1,9.8,7.7556,5.5177,,,
2017-06-17 00:00:00.000,Player2,24.333333333333332,0.0,0.3,2017-06-17 11:21:04.550,4vs4-plus 2 or 4vs,True,2017-06-17 11:45:24.120,0.7272,10.5,5,130.80000000000004,0.0,5.4,6.9,5.4,25.4,62.248,91.5,5,8,0.0,0.0,29.252000000000002,29.8859,0,2.3633,,,,0,8,5,5,3,,42903,0,10,7,3,2,0.7272,29.8859,0.283,0.0422,0.0176,0.0066,0.0019,0.2957,0.0473,0.0222,0.006,0.0048,0.2894,0.0872,0.0606,0.0393,0.0277,0.0221,0.006,0.0075,0.0067,0.1592,0.0215,0.3764,0.2492,0.0394,0.0518,0.0105,1460,86.5717,0,0,56,2,0,2,,62.0436,Bancu,0,4,0,1,0,5,2.3633,,,GD-6 (morning),42903.4898625,4vs4-plus 2 or 4vs, 42903.472969329,62.248, training,850.4,17.3,5.8,2.6,0.9,555.6,18.4,6.2,1.3,1.2,0,0,0,,0,,0,1278.4,31.3,17.3,9,5.7,4.6,1.1,1.9,1.3,104.3,4.8,1344.1,97.7,8,8.5,1.4,7.7334,5.693,,,
2017-06-17 00:00:00.000,Player2,82.25,6.0,2.1,2017-06-17 10:22:58.773,Session,True,2017-06-17 11:45:13.987,2.8963,83.1,16,504.29999999999995,70.1,19.5,35.5,23.8,30.0,216.837,360.29999999999995,39,39,0.0,0.0,143.46299999999997,35.2136,0,2.7964,,,,0,38,32,21,18,,42903,0,29,46,23,16,2.8963,35.2136,1.1086,0.1763,0.0743,0.0281,0.0079,1.1538,0.1882,0.1062,0.0323,0.0207,1.4732,0.2486,0.1634,0.144,0.0909,0.0957,0.044,0.04,0.026,0.5067,0.0637,1.714,0.7934,0.1721,0.1338,0.0831,4935,346.3296,0,0,285,2,0,2,,261.468,Bancu,0,9,4,3,0,16,2.7964,,,GD-6 (morning),42903.48974522,Session, 42903.432624699,216.837, training,2571.4,99.7,32.7,14.2,4.2,2065.3,96.7,36.1,9.4,5.5,0,0,0,,0,,0,4352.2,96.5,47.7,34.5,20.6,18.8,8.8,9.4,6.1,325,15.6,4542.4,324.6,34.9,22.1,11.2,7.7556,5.7708,,,
2017-06-17 00:00:00.000,Player2,13.816666666666666,0.0,0.2,2017-06-17 10:22:58.693,Warm-up,True,2017-06-17 10:36:47.386,0.55,0.0,2,84.99999999999999,0.0,2.7,4.0,0.0,32.9,31.956,41.7,2,5,0.0,0.0,9.744000000000003,39.8061,0,2.9622,,,,0,13,2,3,2,,42903,0,11,5,2,0,0.55,39.8061,0.2183,0.0255,0.0067,0.002,0.0006,0.2501,0.0371,0.0088,0.0008,0,0.2481,0.0626,0.0173,0.0433,0.0269,0.0085,0.002,0.0019,0.0002,0.1369,0.0022,0.2931,0.1861,0.0388,0.032,0,829,61.5947,0,0,52,0,0,0,,47.9841,Bancu,0,0,0,2,0,2,2.9622,,,GD-6 (morning),42903.442215116,Warm-up, 42903.432623762,31.956, training,381.5,21.9,3.9,1.1,0.4,395.6,20.6,3.3,0.3,0,0,0,0,,0,,0,697.7,24.8,4.8,9.1,5.5,2.1,0.6,0.6,0.1,82.5,0.8,733.5,82,7.6,5.5,0,6.1467,7.929,,,
2017-06-17 00:00:00.000,Player5,21.216666666666665,0.0,0.4,2017-06-17 11:21:09.384,4vs4-plus 2 and 4v,True,2017-06-17 11:42:22.080,1.0309,10.9,10,188.79999999999995,0.0,8.9,10.0,6.9,42.5,67.637,126.39999999999999,12,10,0.0,0.0,58.76299999999999,48.5877,0,4.0353,,,,0,21,13,6,4,,42903,0,21,12,7,5,1.0309,48.5877,0.3655,0.0715,0.0369,0.0132,0.003,0.3968,0.0911,0.0281,0.0143,0.0105,0.3451,0.1224,0.0954,0.0624,0.0355,0.0242,0.0102,0.0053,0.0055,0.2792,0.0457,0.4727,0.4005,0.09,0.0568,0.0109,1273,128.8918,0,0,61,0,0,0,,65.1769,Briceag,0,10,0,0,0,10,4.0353,,,GD-6 (morning),42903.487755556,4vs4-plus 2 and 4v, 42903.473025278,67.637, training,641.8,40.9,12.1,4.6,1.2,515.4,41.7,8.8,3.8,2.5,0,0,0,,0,,0,977,45.2,25.5,14.5,7.4,5.1,2.1,1.7,1.3,182.8,10.2,1075.6,168,18.5,9.2,1.5,7.4845,9.6559,,,
2017-06-17 00:00:00.000,Player5,33.06666666666667,0.0,1.1,2017-06-17 10:44:54.978,Defensive-tactic,True,2017-06-17 11:17:58.736,1.9539,0.0,13,300.09999999999997,0.0,11.8,28.4,0.0,51.1,20.89,137.1,39,29,0.0,0.0,116.21,59.0912,0,4.8176,,,,0,44,34,19,10,,42903,0,31,35,32,7,1.9539,59.0912,0.7176,0.1429,0.0472,0.0167,0.0086,0.7321,0.1866,0.0706,0.0245,0.0072,0.5055,0.3858,0.2572,0.163,0.0503,0.032,0.0157,0.0052,0.0073,0.5053,0.0266,0.6733,1.0498,0.21,0.0209,0,1984,239.8494,0,0,106,0,0,0,,123.215,Briceag,0,9,2,2,0,13,4.8176,,,GD-6 (morning),42903.470818715,Defensive-tactic, 42903.447858553,20.89, training,868.7,79.5,26.7,8.7,3.7,872.6,85.2,27.2,9.3,2.3,0,0,0,,0,,0,1388.2,145.7,73.1,40.8,13.4,8.4,4.9,1.6,2.1,297.9,7.8,1519.4,417.9,43,3.6,0,6.0756,18.1108,,,
2017-06-17 00:00:00.000,Player5,13.4,0.0,0.1,2017-06-17 10:23:06.356,Warm-up,True,2017-06-17 10:36:30.325,0.5108,0.0,2,65.3,0.0,2.1,1.3,0.0,31.3,17.301,27.200000000000006,2,1,0.0,0.0,9.899000000000008,38.1193,0,2.8041,,,,0,15,9,0,1,,42903,0,9,6,2,0,0.5108,38.1193,0.2008,0.0298,0.0038,0,0.0004,0.2375,0.0318,0.0063,0.0004,0,0.234,0.0634,0.0355,0.0381,0.0158,0.0073,0.0032,0.0005,0,0.1125,0.0004,0.2674,0.1792,0.0469,0.0173,0,804,56.5842,0,0,48,0,0,0,,37.4641,Briceag,0,0,1,1,0,2,2.8041,,,GD-6 (morning),42903.442017662,Warm-up, 42903.432712465,17.301, training,372,25,2.5,0,0.3,383.9,17.8,2.4,0.2,0,0,0,0,,0,,0,687,24.5,10.6,8.2,3.3,1.5,0.7,0.2,0,67.9,0.2,714.1,77.5,9.5,3,0,6.1912,7.7602,,,
2017-06-17 00:00:00.000,Player5,79.38333333333334,5.0,1.9,2017-06-17 10:23:13.453,Session,True,2017-06-17 11:42:36.216,3.857,10.9,25,555.4,57.6,22.8,40.4,21.8,41.5,105.828,291.09999999999997,54,41,0.0,0.0,185.27199999999996,48.5866,0,3.8723,,,,0,86,60,26,15,,42903,0,68,57,41,13,3.857,48.5866,1.4461,0.2553,0.09,0.0303,0.012,1.5332,0.3245,0.1074,0.0398,0.0184,1.3024,0.5967,0.3942,0.2643,0.102,0.0635,0.029,0.011,0.0129,1.0083,0.0727,1.7088,1.6954,0.3469,0.0949,0.0109,4763,462.8331,0,0,219,0,0,0,,248.3761,Briceag,0,19,3,3,0,25,3.8723,,,GD-6 (morning),42903.487919178,Session, 42903.432794595,105.828, training,2273.7,156.8,43.1,13.7,5.2,2055.6,155.9,40.1,13.5,5.1,0,0,0,,0,,0,3663,225.7,111.9,63.9,24.3,15,7.7,3.5,3.4,626.1,18.2,3979.2,695.2,71,15.8,1.5,7.4845,11.7748,,,
2017-06-17 00:00:00.000,Player6,82.25,6.5,2.1,2017-06-17 10:22:58.773,Session,True,2017-06-17 11:45:13.987,2.8975,54.5,17,512.2,76.0,16.4,26.1,19.1,28.9,173.43,327.0,38,30,0.0,0.0,153.57,35.2275,0,2.7677,,,,0,39,43,17,13,,42903,0,38,29,24,14,2.8975,35.2275,1.0945,0.1983,0.0735,0.0199,0.0054,1.1891,0.1826,0.0805,0.0337,0.0199,1.4094,0.2383,0.1793,0.1852,0.1016,0.0671,0.0478,0.0301,0.0223,0.5582,0.0581,1.6795,0.8154,0.2291,0.1189,0.0545,4935,342.7854,1,0,141,6,0,6,,232.5536,Burlacu,0,5,10,2,0,17,2.7677,,,GD-6 (morning),42903.48974522,Session, 42903.432624699,173.43, training,2415.8,107.7,32.9,9.2,2.6,2229.2,95.5,26.8,10.5,5.1,0,0,0,,0,,0,4318.2,91.6,51.4,43.5,21.3,15.1,9.8,6.7,5.4,358.7,13.6,4526.9,335.2,46.4,19.7,7.1,8.5267,5.9895,,,
2017-06-17 00:00:00.000,Player6,24.333333333333332,0.0,0.3,2017-06-17 11:21:04.550,4vs4-plus 2 or 4vs,True,2017-06-17 11:45:24.120,0.6565,36.900000000000006,2,115.3,0.0,3.6,4.1,7.6,22.0,63.292,90.8,7,4,0.0,0.0,27.507999999999996,26.9813,0,2.0828,,,,0,5,9,4,0,,42903,0,10,4,4,3,0.6565,26.9813,0.249,0.0537,0.0137,0.0018,0,0.277,0.0367,0.0138,0.0033,0.0075,0.2892,0.051,0.0471,0.0245,0.0192,0.0148,0.0202,0.0076,0.0049,0.1539,0.0241,0.3773,0.193,0.023,0.0264,0.0369,1460,76.2893,1,0,24,2,0,2,,60.7824,Burlacu,0,0,2,0,0,2,2.0828,,,GD-6 (morning),42903.4898625,4vs4-plus 2 or 4vs, 42903.472969329,63.292, training,752.7,21.3,4.6,0.9,0,657.4,16,3.9,1.1,1.7,0,0,0,,0,,0,1303.4,19.4,13.3,7,4,3,3.2,1.4,0.8,100.2,3.9,1369.3,76.7,4.7,4.3,4.6,8.5267,4.5766,,,
